OBJECTID,REF_WISSEL_KRUISING_PUIC,NAAM,LENGTE,X_BEGIN,Y_BEGIN,Z_BEGIN,X_EIND,Y_EIND,Z_EIND,REF_WISSEL_KRUISING_NAAM,M_GANG_VAN_T,M_GANG_TOT_T,GELDIG_VANAF,PUBLICATIEDATUM,LATITUDE_BEGIN,LATITUDE_EIND,IS_BERIJDBAAR,BI_DIRECTIONEEL,LONGITUDE_BEGIN,LONGITUDE_EIND,M_GANG_TOT,M_GANG_VAN,SPOORSTAAF_LINKS_RECHTS
4,d66fa7ba-faa3-4c47-bf0b-eabf7c3cb5d2,Rechts-Links,39.84531585,83442.456,454291.45899999,0.329,83407.883,454311.26699999,0.329,966/967,"-13,035","26,810",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.07227836,52.0724519,Ja,Ja,4.34347584,4.34296749,26.81,-13.035,Rechts
5,84aa4500-ffc9-4267-9c0d-bc807921f9b2,Links,127.17922812,151986.253,396711.663,10.416,151923.45199999,396822.255,10.416,1251B,"-5,699","121,480",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.55934438,51.56033811,Ja,Ja,5.34374074,5.34283416,121.48,-5.699,Rechts
6,828c353d-c086-4e16-ae07-aa802b3d08dd,Links,35.30837505,63542.42599999,440493.26,5.11899999,63507.728,440486.72399999,5.11899999,990,"-4,501","30,808",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.94535624,51.9452918,Ja,Ja,4.05696843,4.05646563,30.808,-4.501,Rechts
7,6555bc03-be6c-4ca0-9343-8799b4b37280,Rechts-Rechts,45.43119204,103464.039,489225.29999999,4.62,103509.41,489223.793,4.625,113B/115,"-8,859","36,572",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.38845911,52.38844983,Ja,Ja,4.63016038,4.63082704,36.572,-8.859,Rechts
8,609eb773-bef2-4553-8459-43f575b2b80f,Links-Rechts,41.17971887,134962.984,456950.117,1.661,134992.98999999,456921.91399999,1.661,821A/821B,"-11,495","29,684",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.10043374,52.10018133,Ja,Ja,5.0947686,5.09520818,29.684,-11.495,Rechts
10,ae694dfe-69fb-4cee-89fb-8b4e596d6331,Rechts,40.37032354,84551.576,432621.435,3.777,84511.23699999,432619.84499999,3.777,960,"-3,900","36,470",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.87767199,51.87765259,Ja,Ja,4.36410128,4.36351586,36.47,-3.9,Rechts
11,bd300272-64a5-4e41-96ed-56aae00745dc,Rechts,38.58811429,79422.61699999,431700.396,4.359,79461.16599999,431699.798,4.359,929,"-4,500","34,088",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.86872211,51.86872196,Ja,Ja,4.2898297,4.29038946,34.088,-4.5,Rechts
16,dc0f1409-1ea6-46a9-b407-acb2853ee537,Links,95.04714452,139970.18799999,459141.913,2.773,139883.54199999,459102.868,2.748,1005,"-5,701","89,346",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.12029196,52.11993867,Ja,Ja,5.16774986,5.16648647,89.346,-5.701,Rechts
17,44919d6d-5ec9-4a47-9e93-ee916434b91a,Links,40.36999169,131699.899,397403.12,14.529,131739.108,397393.50799999,14.529,61A,"-3,900","36,470",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.56508507,51.5650003,Ja,Ja,5.05115954,5.05172565,36.47,-3.9,Rechts
22,469b2e56-122a-4611-ba6a-7cfb046abc3e,Links,40.3695461,192323.25599999,349915.902,28.14,192294.643,349887.424,28.14,433B,"-3,900","36,470",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.13749329,51.13723919,Ja,Ja,5.92047191,5.92006013,36.47,-3.9,Rechts
24,b1f53fd0-b1b5-4d4e-b638-09543fe7b3ea,Rechts,38.58772806,95649.82399999,433399.76799999,-0.312,95660.94999999,433362.85499999,-0.312,1005,"-4,500","34,087",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.88595983,51.88562926,Ja,Ja,4.52512518,4.52529313,34.087,-4.5,Rechts
26,2f9ac404-0345-4c61-a7de-f6f419927c26,Links-Links,37.18237178,215212.508,427541.01299999,18.15599999,215249.62899999,427539.362,18.064,935a/935b,"-11,495","25,687",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.83320936,51.83319051,Ja,Ja,6.26078222,6.26132043,25.687,-11.495,Rechts
