FID,naam_laagdefinitie,geometrie
O10002_Open_Strooiroutes.1,Wegen,"MULTILINESTRING ((177574.775 503956.749, 177564.982 503844.351, 177543.837 503634.278, 177639.586 503368.881))"
O10002_Open_Strooiroutes.2,Wegen,"MULTILINESTRING ((175528.258 496146.939, 175558.927 496173.758))"
O10002_Open_Strooiroutes.3,Wegen,"MULTILINESTRING ((171712.645 509334.999, 171720.594 509322.257))"
O10002_Open_Strooiroutes.4,Wegen,"MULTILINESTRING ((176820.496 501561.847, 177184.315 502431.475))"
O10002_Open_Strooiroutes.5,Wegen,"MULTILINESTRING ((178108.783 503993.773, 178224.98 503994.665))"
O10002_Open_Strooiroutes.6,Wegen,"MULTILINESTRING ((176572.784 505451.103, 176571.661 505451.423, 176570.52 505451.67, 176569.366 505451.843, 176568.202 505451.941, 176567.035 505451.964, 176565.869 505451.912, 176564.708 505451.785, 176563.558 505451.584, 176562.424 505451.309, 176561.309 505450.962, 176560.219 505450.543, 176559.159 505450.056, 176558.131 505449.501, 176557.142 505448.881, 176556.195 505448.199, 176555.293 505447.457, 176554.442 505446.659, 176553.643 505445.807, 176552.901 505444.906, 176552.218 505443.959, 176551.597 505442.97, 176551.042 505441.943, 176550.554 505440.883, 176550.135 505439.793))"
O10002_Open_Strooiroutes.7,Wegen,"MULTILINESTRING ((176720.737 505000.199, 176730.488 505047.121))"
O10002_Open_Strooiroutes.8,Wegen,"MULTILINESTRING ((176745.159 505117.691, 176760.379 505190.895))"
O10002_Open_Strooiroutes.9,Wegen,"MULTILINESTRING ((176532.18 496751.642, 176581.893 496787.174))"
O10002_Open_Strooiroutes.10,Wegen,"MULTILINESTRING ((175959.334 496536.06, 175900.103 496482.633))"
O10002_Open_Strooiroutes.11,Wegen,"MULTILINESTRING ((175870.965 496578.9, 175735.919 496459.01))"
O10002_Open_Strooiroutes.12,Wegen,"MULTILINESTRING ((175885.549 496499.664, 175900.103 496482.633, 175882.322 496466.77, 175906.812 496439.319, 175846.034 496384.334))"
O10002_Open_Strooiroutes.13,Wegen,"MULTILINESTRING ((175664.651 496442.797, 175720.653 496379.021, 175769.162 496421.73))"
O10002_Open_Strooiroutes.14,Wegen,"MULTILINESTRING ((172748.272 508477.308, 172873.98 508393.649))"
O10002_Open_Strooiroutes.15,Wegen,"MULTILINESTRING ((171486.555 507582.828, 171456.965 507507.557))"
O10002_Open_Strooiroutes.16,Wegen,"MULTILINESTRING ((176720.737 505000.199, 176714.903 504993.665))"
O10002_Open_Strooiroutes.17,Wegen,"MULTILINESTRING ((176734.747 504864.373, 176677.334 504917.582))"
O10002_Open_Strooiroutes.18,Wegen,"MULTILINESTRING ((176755.246 505608.969, 176700.412 505621.846, 176638.165 505643.272))"
O10002_Open_Strooiroutes.19,Wegen,"MULTILINESTRING ((176786.699 505742.682, 176786.401 505741.632, 176755.246 505608.969))"
O10002_Open_Strooiroutes.20,Wegen,"MULTILINESTRING ((171464.116 507329.678, 171481.105 507324.796, 171496.765 507319.055, 171514.772 507310.352, 171532.155 507301.136, 171547.301 507290.794, 171560.021 507282.249, 171584.92 507265.516, 171609.82 507248.782, 171626.42 507237.626, 171659.87 507215.689, 171676.47 507204.533, 171701.369 507187.799, 171723.49 507173.527, 171741.365 507163.905, 171759.525 507155.527, 171781.809 507148.627, 171808.17 507142.417, 171830.981 507140.351, 171847.625 507139.437, 171864.289 507140.121, 171883.798 507141.928, 171918.501 507146.214, 171996.88 507155.479, 172044.601 507169.138, 172088.599 507193.493))"
O10002_Open_Strooiroutes.21,Wegen,"MULTILINESTRING ((175796.825 496390.707, 176018.853 496141.714, 176040.988 496100.891, 176164.042 495961.59, 176206.531 495942.163))"
O10002_Open_Strooiroutes.22,Wegen,"MULTILINESTRING ((172873.98 508393.649, 172904.634 508373.248))"
O10002_Open_Strooiroutes.23,Wegen,"MULTILINESTRING ((171464.116 507329.678, 171415.596 507337.874))"
O10002_Open_Strooiroutes.24,Wegen,"MULTILINESTRING ((171422.811 507380.59, 171415.596 507337.874))"
O10002_Open_Strooiroutes.25,Wegen,"MULTILINESTRING ((178070.879 503950.85, 178075.038 503992.635))"
O10002_Open_Strooiroutes.26,Wegen,"MULTILINESTRING ((177862.986 503576.211, 177903.442 503464.074))"
O10002_Open_Strooiroutes.27,Wegen,"MULTILINESTRING ((177674.133 504541.416, 177604.854 504556.419))"
O10002_Open_Strooiroutes.28,Wegen,"MULTILINESTRING ((176757.5 506135.168, 176839.041 506089.128))"
O10002_Open_Strooiroutes.29,Wegen,"MULTILINESTRING ((176375.13 505829.004, 176569.672 505718.237))"
O10002_Open_Strooiroutes.30,Wegen,"MULTILINESTRING ((176553.646 505392.336, 176560.871 505416.867))"
O10002_Open_Strooiroutes.31,Buitengebied,"MULTILINESTRING ((186675.981 506449.572, 186699.541 506453.138, 186916.711 506487.728, 187000.495 506503.604))"
