Start Opbouw,Einde Afbouw,Datum,Starttijd,Eindtijd,Naam evenement,Locatie,Activiteit,Vergunning / Aanvraag
07-01-2017,08-01-2017,08-01-2017,18:00,00:00,Enfusion,Jaarbeurs,Versterkt geluid  bouwsels,Gaat niet door
11-01-2017,02-02-2017,11-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,12-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,13-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,14-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
15-01-2017,15-01-2017,15-01-2017,11:00,13:30,Hellas-7-Loop,Atletiekbaan Maarschalkerweerd,,Vergunning verstrekt
15-01-2017,15-01-2017,15-01-2017,12:00,18:00,Culturele Zondag: Nieuwjaarsduik,Korte Minrebroederstraat,,Vergunning verstrekt
15-01-2017,15-01-2017,15-01-2017,12:00,18:00,Culturele Zondag: Nieuwjaarsduik,Smakkelaarsveld,,Vergunning verstrekt
15-01-2017,15-01-2017,15-01-2017,12:00,18:00,Culturele Zondag: Nieuwjaarsduik,Stadhuisbrug,,Vergunning verstrekt
11-01-2017,02-02-2017,15-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,16-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,17-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,18-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,19-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
09-01-2017,21-01-2017,20-01-2017,18:00,23:00,DAS Personeelsfeest,Euclideslaan ,Versterkt geluid  bouwsels,Vergunning verstrekt
20-01-2017,20-01-2017,20-01-2017,18:00,20:00,Winterlichtjes optocht,Gangesdreef,,Vergunning verstrekt
11-01-2017,02-02-2017,20-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
21-01-2017,21-01-2017,21-01-2017,12:30,13:30,Landelijk Inluid moment Kerkbalans,Domplein,Versterkt geluid wegafsluiting bouwsels,Vergunning verstrekt
21-01-2017,21-01-2017,21-01-2017,16:00,22:00,Glow in the Park,Gagelbos,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,21-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
22-01-2017,22-01-2017,22-01-2017,14:00,17:00,Opening park Oosterspoorbaan,Oosterspoorbaan,,Vergunning verstrekt
11-01-2017,02-02-2017,22-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,23-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,24-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,25-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,26-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,27-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
20-01-2017,31-01-2017,28-01-2017,14:00,23:00,Sneeuwbal,Park transwijk,Versterkt geluid wegafsluiting bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,28-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,29-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,30-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,31-01-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,01-02-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
11-01-2017,02-02-2017,02-02-2017,,,Filmopname Talpa,Werkspoorkathedraal,bouwsels,Vergunning verstrekt
