OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,OBEGINTIJD,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,BRON,REF_OVERWEG_PUIC,REF_PORTAAL_PUIC,GELDIG_VANAF,PUBLICATIEDATUM,OPPERVLAKTE,LENGTE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,X,Y,LATITUDE,LONGITUDE,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT
1,10acc7e8-f36d-4ce7-ae25-7c83138b5efe,,60,,Bestaand,,,Arcadis,a37923b3-6a53-43eb-9d3d-1d307db6a518,2aa2cc7b-9d46-4e1b-873b-9d8085b462a3,,,,,Zp-Esg,Zutphen - Enschede Grens ,031,a,31,031_a,Zutphen - Hengelo,3.133114,"3,133114",-8.618977,"-8,618977",ProRail,212292.363,464287.442,52.16377094,6.2245673,Zutphen,ZP,PPLG
2,9bb5839a-9d8b-4501-9450-a36c1b973279,,60,,Bestaand,,,Arcadis,a37923b3-6a53-43eb-9d3d-1d307db6a518,ec1113cb-bf09-47d6-bbf5-71f3dc4dbb3f,,,,,Zp-Esg,Zutphen - Enschede Grens ,031,a,31,031_a,Zutphen - Hengelo,3.13571,"3,135710",10.864702,"10,864702",ProRail,212300.872,464269.723,52.16361081,6.22468866,Zutphen,ZP,PPLG
3,836269fd-b8c9-44cd-9d7b-2601e40a14cb,,60,,Bestaand,,,Arcadis,0e94bf21-70b6-4dde-a3e3-09b023409e07,8f9dc401-a264-44e1-a830-062eb9da0078,,,,,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,80.369698,"80,369698",5.530474,"5,530474",ProRail,208597.555,504333.688,52.52403444,6.17695069,Zwolle - Dedemsvaart,ZL-DDV,Vrije baan
4,2078469c-4c4a-40b5-a95b-a0bdacb4c508,,60,,Bestaand,,,Arcadis,0e94bf21-70b6-4dde-a3e3-09b023409e07,203d050b-78e8-4b74-b25d-4fb6fa31589a,,,,,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,80.339879,"80,339879",-5.604628,"-5,604628",ProRail,208566.967,504323.82,52.52394876,6.17649844,Zwolle - Dedemsvaart,ZL-DDV,Vrije baan
5,7dd302e7-193f-40fa-926b-cae294a8665b,,60,,Bestaand,,,Arcadis,36757f46-4ccd-4f60-a312-a7981cfef74b,e5a69d35-6df9-4d67-befc-23f8e494343e,,,,,Zp-Esg,Zutphen - Enschede Grens ,031,a,31,031_a,Zutphen - Hengelo,24.104981,"24,104981",6.295083,"6,295083",ProRail,231926.798,468716.147,52.20118324,6.51249449,Lochem - Goor,LC-GO,Vrije baan
6,d20b2c01-3cf0-46c6-b85e-1a9a37c95f60,,60,,Bestaand,,,Arcadis,36757f46-4ccd-4f60-a312-a7981cfef74b,bbec3bc5-a6b0-404d-a56b-b72911dd8717,,,,,Zp-Esg,Zutphen - Enschede Grens ,031,a,31,031_a,Zutphen - Hengelo,24.098276,"24,098276",-6.109405,"-6,109405",ProRail,231913.673,468721.244,52.20123088,6.51230369,Lochem - Goor,LC-GO,Vrije baan
7,6225631b-ddcc-4620-bd37-cffe740aa009,,60,,Bestaand,,,Fugro,d268213b-9c40-4b7f-8247-b6635b8df276,782f0e26-8b8e-4784-b093-bc9a015bcabb,,,,,Gd-Gvc,Gouda - Den Haag Centraal ,107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,12.968841,"12,968841",12.33837,"12,338370",ProRail,93507.36,451307.092,52.04666599,4.49079932,Zoetermeer Oost,ZTMO,PPLG
8,b3831c8f-2bbd-431e-b8b9-b47a819bb263,,60,,Bestaand,,,Fugro,d268213b-9c40-4b7f-8247-b6635b8df276,782f0e26-8b8e-4784-b093-bc9a015bcabb,,,,,Gd-Gvc,Gouda - Den Haag Centraal ,107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,12.977811,"12,977811",16.695399,"16,695399",ProRail,93499.095,451312.729,52.04671573,4.49067784,Zoetermeer Oost,ZTMO,PPLG
9,160d1f7a-d561-4ad0-9f56-c7f9dcd7b99e,,60,,Bestaand,,,Fugro,29949768-5a37-458d-8a14-166d47687871,bb5df37e-8e20-4885-ae02-ee0fe92b1ef5,,,,,Ah-Vl,Arnhem - Venlo ,516,b,516,516_b,Blerick,75.217121,"75,217121",-6.530791,"-6,530791",ProRail,207693.976,377242.668,51.38189304,6.14412279,Blerick,BR_108,NCBG
10,c9772275-7f08-4c79-9e71-7cff68f25641,,60,,Bestaand,,,Fugro,29949768-5a37-458d-8a14-166d47687871,dc86b11f-8d32-43f3-a652-681d452bb6ce,,,,,Ah-Vl,Arnhem - Venlo ,516,b,516,516_b,Blerick,75.237034,"75,237034",7.639101,"7,639101",ProRail,207685.796,377219.5,51.38168557,6.14400184,Blerick,BR_108,NCBG
11,d96cb230-3fa5-4d3b-960c-5dc0113dcadd,,60,,Bestaand,,,Fugro,29949768-5a37-458d-8a14-166d47687871,dc86b11f-8d32-43f3-a652-681d452bb6ce,,,,,Ah-Vl,Arnhem - Venlo ,516,b,516,516_b,Blerick,75.22725,"75,227250",7.468808,"7,468808",ProRail,207683.279,377229.037,51.38177152,6.14396711,Blerick,BR_108,NCBG
12,ea390e41-6228-4f14-80d8-4da8683ff35e,,60,,Bestaand,,,Fugro,d7a2d052-ef9a-406d-bbbf-546da1b11239,15ae60ae-d201-471a-903b-3c6abb3f9ff6,,,,,Bon-Bonoh,Born-Born Overlaadhaven ,851,a,851,851_a,Born Franciscushaven,100.503806,"100,503806",-4.627732,"-4,627732",ProRail,184566.802,339964.837,51.04850369,5.80883037,Born Franciscushaven,BONFH,NCBG
13,fe32b926-7221-49de-92f8-3d331d25ffa0,,60,,Bestaand,,,Arcadis,9dfee5b3-4917-4a8b-b96e-2cf7ec40e99e,8b319055-c3da-453f-8c1c-ede92c3d4a19,,,,,Zp-Esg,Zutphen - Enschede Grens ,031,a,31,031_a,Zutphen - Hengelo,43.823679,"43,823679",5.558895,"5,558895",ProRail,249738.33,475769.472,52.26179055,6.77495188,Hengelo - Delden,HGL-DDN,Vrije baan
14,60d7358d-cbd7-4ef3-83d0-fe1148f4d79d,,60,,Bestaand,,,Arcadis,9dfee5b3-4917-4a8b-b96e-2cf7ec40e99e,dc0086b4-ba4b-4424-95e8-3d8bed234f57,,,,,Zp-Esg,Zutphen - Enschede Grens ,031,a,31,031_a,Zutphen - Hengelo,43.801605,"43,801605",-4.472576,"-4,472576",ProRail,249715.632,475778.142,52.26187236,6.77462192,Hengelo - Delden,HGL-DDN,Vrije baan
15,70b24894-cbed-41cc-814a-8b09ea3ade12,,60,,Bestaand,,,Arcadis,62bbff90-e4a0-4d30-b22c-f88109208dae,990898a0-c1e2-4f06-852c-fac220431d22,,,,,Bnn-Ed,Barneveld Noord - Ede=Wageningen ,211,,211,211__,Barneveld Noord - Ede=Wageningen,26.683671,"26,683671",-9.005222,"-9,005222",ProRail,174196.129,451528.971,52.05173764,5.66706019,Lunteren - Ede = Wageningen,LTN-ED,Vrije baan
16,c7aba803-a24f-43ec-bb20-8951afc122b8,,60,,Bestaand,,,Arcadis,62bbff90-e4a0-4d30-b22c-f88109208dae,694a0ede-cbd9-4177-b92d-bcf7adc0efe3,,,,,Bnn-Ed,Barneveld Noord - Ede=Wageningen ,211,,211,211__,Barneveld Noord - Ede=Wageningen,26.685709,"26,685709",9.034049,"9,034049",ProRail,174182.774,451516.67,52.05162755,5.6668648,Lunteren - Ede = Wageningen,LTN-ED,Vrije baan
17,4907845c-ed46-45df-895d-6d99292c408a,,60,,Bestaand,,,Arcadis,90099c9d-8994-483c-afec-5cff0b38818c,ac970a11-6d27-49cc-85af-f26140c8e20c,,,,,Hdr-Zd,Den Helder - Zaandam ,078,,78,078__,Uitgeest - Zaandam,67.530569,"67,530569",12.633511,"12,633511",ProRail,115429.898,498257.835,52.4706287,4.80485755,Wormerveer - Zaandam,WM-ZD,Vrije baan
18,f24d75b7-454c-4c2e-8505-1370f45ba565,,60,,Bestaand,,,Fugro,c70b4ebd-bf9c-4bf4-bae9-9b17ef8d2607,bd994311-4ae4-46f2-b7cf-c1d45bcf5d59,,,,,Rsd-Vs,Roosendaal - Vlissingen ,127,a,127,127_a,Roosendaal - Vlissingen,30.316492,"30,316492",-10.65066,"-10,650660",ProRail,67649.194,382805.115,51.42759088,4.13116393,Rilland = Bath - Kruiningen = Yerseke,RB-KRG,Vrije baan
19,3f9f3860-26c0-42b4-87d6-9787dff476aa,,60,,Bestaand,,,Fugro,c70b4ebd-bf9c-4bf4-bae9-9b17ef8d2607,31576a2b-7965-4697-ae47-b3898953147f,,,,,Rsd-Vs,Roosendaal - Vlissingen ,127,a,127,127_a,Roosendaal - Vlissingen,30.31019,"30,310190",12.296608,"12,296608",ProRail,67667.111,382820.786,51.42773449,4.13141762,Rilland = Bath - Kruiningen = Yerseke,RB-KRG,Vrije baan
20,09f8906c-98e5-475f-92a2-a88065d7dc8f,,60,,Bestaand,,,Fugro,cd124d56-371f-4419-99f1-78b128d14b0a,a658e809-0747-490b-ad14-7cb4447b4ac9,,,,,Ehv-Wt,Eindhoven - Weert ,057,,57,057__,Eindhoven - Weert,16.790847,"16,790847",7.281466,"7,281466",ProRail,170445.698,371438.303,51.331967,5.60882426,Oud Heeze - Maarheeze,OHZE-MZ,Vrije baan
21,1dcc538b-df63-4da4-9ad2-034d71e3a0ed,,60,,Bestaand,,,Fugro,bd1c0703-79a3-4187-aafc-f777c39eed37,b50118d2-158e-4a8e-8f5c-f35ee5379268,,,,,Rsd-Bd,Roosendaal - Breda ,122,,122,122__,Roosendaal - Breda,15.404613,"15,404613",-11.904502,"-11,904502",ProRail,104519.322,399363.376,51.58092039,4.65889312,Roosendaal - Breda,RSD-BD,Vrije baan
22,3ae2ccd7-8f55-4643-92a3-b5f59163cb5e,,60,,Bestaand,,,Fugro,8c180d7d-a22c-45c0-9ef7-ad6ae6b0df01,58edf6ac-0a5b-4977-9036-7c0a969c172b,,,,,Ht-Nm,s-Hertogenbosch - Nijmegen ,047,,47,047__,s Hertogenbosch - Nijmegen,54.477789,"54,477789",-7.997899,"-7,997899",ProRail,176834.113,424481.676,51.80853554,5.7037989,Wijchen - Ravenstein,WC-RVS,Vrije baan
