Handelsnaam;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Doxis;;;;;3;;;;;3
Dr. W.R. de Vries B.V.;;;;;1;;;;;1
Dräger Nederland B.V.;;;;;;;;1;;1
Drentea Holding B.V.;;;;;;;1;;;1
Drentea Kantoormeubelen;;;;;;;1;;;1
Drukkerij De Zuid V.O.F.;;;;;1;;;;;1
Drukkerij Excelsior B.V.;;;;;2;;;;;2
Drukkerij Tripiti;;;;;1;;;;;1
DTG B.V.;;;;;;;;1;;1
Easy Ergonomics B.V.;;;;;;;;1;;1
EcoSmart Nederland B.V.;;;;;;1;;;;1
Eden Springs Nederland B.V.;1;;;1;;1;;;;1
Eduard Bos Electronic Publishing II B.V.;;;;;;;1;;;1
Efficienta Visuele Organisatiemiddelen B.V.;;;;;;;;1;;1
EHBO Vereniging Castricum;;;;;;;;1;;1
Eijgendaal's Kantoorvakhandel;;;;;;;;1;;1
Eijsink Afrekensystemen;;;;;;;;1;;1
Elcometer NL;;;;;;;;1;;1
Elektrostores Nederland;;;;;;;;1;;1
Elsto-Boekholt-Dynatec B.V.;;;;;;;;1;;1
en Manuele Therapie S.K.S.;;;;;;;1;;;1
Engels B.V.;1;;;;;;;;;1
EOM Design B.V.;;;;;;;2;;;2
ER;;;;;1;;;;;1
Erik Bouma Manager Tentoonstellingen;;;;;;;1;;;1
ESE B.V.;;;2;;;;;;;2
ESN Automatisering B.V.;;;;;;;1;;;1
Eurest Services B.V.;4;;;;;;;;;4
Europe Caribbean Line (ECL) B.V.;;;;1;;;;;;1
Everest B.V.;;;;;;;;2;;2
Evi Vingerling;;;;;;;1;;;1
Expo Display Service;;;1;;;;;;;1
F2D FLK B.V.;1;;;;;;;;;1
Fa. C. van den Heuvel;;;;;;;1;;;1
Fashiontalk B.V.;;;;;;;1;;;1
FEM Products;;;;;;;;1;;1
Fine Asian Gourmet B.V.;1;;;;;;;;;1
Finitouch Interieurbouw B.V.;;;;;;;1;;;1
Firma Vernooij thodn GroenRijk Leidsche Rijn;1;;;;;;1;;;1
First Aid Stichting (Fast);;1;;;;;;;;1
Fish & Meat B.V.;1;;;;;;;;;1
Fisher Emergo B.V.;;;;;;;;1;;1
Fisher Scientific of the Netherlands B.V.;;;;;;;;1;;1
Flevobird Koeriers;;;;1;;;;;;1
Flora Nova Interieurbeplanting B.V.;;;;;;;1;;;1
Flying Camera;;;;;;;1;;;1
Fonger Huisman;;1;;;;;;;;1
Fonq.nl B.V.;;;;;;;;1;;1
Foto Konijnenberg B.V.;;;;;;;;1;;1
Frama Nederland;;;;1;;;;;;1
Francis Boeske Projects;;;;;;;1;;;1
Fruitkwekerij De Braacken;1;;;;;;;;;1
G10 B.V.;;1;;;;;;;;1
Gaesp B.V.;;;;;;;;1;;1
Garcia Golfing;;1;;;;;;;;1
Geling's Langste Autowasstraat B.V.;;;;;;1;;;;1
Gert Jan Slagter grafisch ontwerper;;;;;2;;;;;2
Gispen Kantoorinrichting;;;;;;;1;1;;2
Graziosi Progetti B.V.;;;;;;;1;;;1
Green Touch resources Holding B.V.;;;;;1;;;;;1
H. Verwoert;;;;;;;;1;;1
H.A.E. Ali / New York Pizza Den Haag Centrum;1;;;;;;;;;1
H.D. Ansell;;;;;;;1;;;1
Hafo B.V.;;;;;1;;;;;1
Hageman Party Catering Haaglanden;1;;;;;;;;;1
Hallmark Cards Nederland B.V.;;;;;;;;1;;1
Happy Meat B.V.;1;;;;;;;;;1
Harvey Nash B.V.;;;;;;;1;;;1
Heilige Boontjes Holding B.V.;;;;;1;;;;;1
Hein Post Wijnen Gastronomie;;;;;;;;1;;1
Heleen Haijtema Fotografie;;;;;;;1;;;1
Hennekes Preventie en Reïntegratie;;;;;;;1;;;1
Hesbak 2 B.V.;1;;;;;;;;;1
Het Kookplein;1;;;;;;;;;1
Het NIC B.V.;;;1;;;;;;;1
High Security International B.V.;;3;;;;;;;;3
HJM;;;;;;;;1;;1
Hobeka B.V.;1;;;;;;;;;1
Holland Service Koeriers C.V.;;;;1;;;;;;1
Hollandse Hoogte B.V.;;;;;1;;;;;1
Hoogduin Papierrestauratoren;;;;;5;;;;;5
Horeca Exploitatie in De Doelen B.V.;1;;;;;;;;;1
Hotel Contact B.V.;1;;;;2;;1;;1;2
Hotel New York B.V.;1;;;;;;;;;1
HT Service B.V.;;;;;;;;1;;1
HTCE Site Management B.V.;1;;;;;;;;;1
Hurricane Textile & Sportswear B.V.;;;;;;;;1;;1
IBP Interieurbouw;;;;;;;1;;;1
Imming Logistics;;;;;;;1;;;1
Immolab B.V.;;;;;;1;;;;1
In Edition;;;;;;;1;;;1
Inbraakpreventie 'M.I.B.' B.V.;;1;;;;;;;;1
ING Bank;;;;;;;;;2;2
Ingenico e-Commerce Solutions B.V.;;;;;;;;;1;1
Initial B.V.;;;3;1;;1;;;;3
Interlabshop;;;;;;;;1;;1
International Card Services B.V.;;;;;;;;1;;1
Interscience B.V.;;;;;;;;1;;1
Intexso Adviesbureau B.V.;;;1;;;;;;;1
Intimus International Netherlands B.V.;;;;1;;;;1;;1
Irma Boom B.V.;;;;;;;1;;;1
J. & K. Catering;;;;;1;;;;;1
Jaager B.V.;;;;;;;;;1;1
Jalema B.V.;;;;;;;;1;;1
Janne van Gilst;;;;;;;1;;;1
JAVO Bedrijfshulpverlening;;1;;;;;;;;1
JBM Koeriers B.V.;;;;1;;;;;;1
Jeol (Europe) B.V.;;;;;;;;1;;1
JonkersenKo;;;;;2;;;;;2
Joost de Haas Vormgeving;;;;;;;1;;;1
Jos ten Berg's Handelmaatschappij B.V.;1;;;;;;;;;1
Jura Nederland B.V.;1;;;;;;;;;1
Jurrie Klok Koeriers;;;;1;;;;;;1
K. de Jong Beheer B.V.;1;;;;;;;;;1
Kaars Koffie B.V.;1;;;;;;;;;1
Kartinie Cateringservice;1;;;;;;;;;1
Kentie Nederland B.V.;;;;;1;;;;;1
Kian onroerend goed B.V.;;;;;;;;1;;1
Kick Smeets Fotografie;;;;;1;;;;;1
Klein Poelhuis Emmeloord B.V.;;;;;;;1;;;1
Klinks Bakkerij;1;;;;;;;;;1
Koerier Company;;;;1;;;;;;1
Kong Advertising B.V.;;;;;1;;;;;1
Koninklijke Ahrend B.V.;;;;;;;;1;;1
Koninklijke Fabrieken Posthumus B.V.;;;;;;;;1;;1
Koninklijke PostNL B.V.;;;;2;;;;;;2
Koninklijke van der Most B.V.;;;;4;2;;;5;;6
Koole B.V.;;;;;;1;;;;1
Kop & Schoud. Conc. & Promot. Services B.V.;;;;;1;;;;;1
Kop Beveiliging B.V.;;1;;;;;;;;1
Kredietbank Utrecht;1;;;;;;;;;1
Kroon B.V.;;;;;;;;1;;1
Kunst.nl B.V.;;;;;;;1;;;1
Langenberg Uitgeverij;;;;;;;;1;;1
Larson-Juhl Netherlands B.V.;;;;;;;;1;;1
Lasaulec B.V.;;;;;;1;;1;;1
Leferink Office Works B.V.;;;;;;;;3;;3
Lekker Brood;2;;;;;;;;;2
Lieverd;1;;;;;;;;;1
Linda Koelink print en borduurservice;;1;;;;;;;;1
Linde Gas Benelux B.V.;;;;;;;;1;;1
Link Art Company B.V.;;;;;;;1;;;1
Livelap B.V.;1;;;;;;;;;1
Loek van Vliet Fotografie;;;;;;;1;;;1
Lokenberg Training & Consultancy;;;;;;;;;1;1
LSV Gbkn Grootschalige Basiskaart Nederland;;;;;;;;1;;1
Lupprian's Computer Express B.V.;;;;1;;;;;;1
Lyreco Nederland B.V.;1;;;;;1;;3;;4
M. Ex. T. Netherlands B.V.;;;;;;;;1;;1
M. Voormeulen t.h.o.d.n. Spar New Babylon;1;;;;;;;;;1
M.A. van der Horst Beheer B.V.;;;;3;;;;;;3
M.C.I. Media Consultancy International;;;;;2;;;;;2
Maarten Balyon Grafische Vormgeving;;;;;2;;;;;2
Maas International B.V.;2;;;;;;;;;2
Magneet Grafische Communicatie B.V.;;;;;1;;;;;1
Making Photographic Promotion B.V.;;;;;;;1;;;1
MaMa Kelly B.V.;1;;;;;;;;;1
Mama Makeup B.V.;;;;;;;1;;;1
Mama Maria Swimwear;;;;;;;;2;;2
Manutan B.V.;;;1;;;;1;2;;2
Marc de Haan Fotografie;;;;;1;;;;;1
Marc Mulders;;;;;;;1;;;1
Maria Roosen;;;;;;;1;;;1
Marinus Augustijn;;;;;;;1;;;1
Marjolein Rothman;;;;;;;1;;;1
Martin Roemers;;;;;;;1;;;1
Masterkey-Plus B.V.;;;;;;1;;1;;1
Matsu Consultancy;;;;;1;;;;;1
MATT Library B.V.;;;;;;;;1;;1
MCT Design B.V.;;;;;1;;;1;;1
MeetingLinq B.V.;;;;;1;;;;;1
MegaSnel B.V.;;;;;;;;1;;1
Merkelbach B.V.;1;;;;;;;;;1
Merlijn Beheer B.V.;;;;;;;1;;;1
MicroFormat Systems B.V.;;;;;6;;;;;6
MicroPort Scientific;;;;;1;;;;;1
Mikropakket Nederland B.V.;;;;6;;;;;;6
Moduli Print B.V.;;;;;2;;;5;;5
Monique Groenewegen EHBO instructie;;1;;;;;;1;;1
Montafors B.V.;;;;1;1;;;;;1
Morepix;;;;;;;;1;;1
Multi Copy Groningen Rengerspark;;1;;;;;;;;1
MultiCopy Utrecht Centrum B.V.;;;;;1;;;;;1
Multi-Post Services B.V.;;;;;;;;1;;1
MV Levievandermeer;;;;;;;;1;;1
N. de Groot Verhuizingen B.V.;;;;1;;;;;;1
N200.Com B.V.;;;;;1;;;1;;1
Nederlands Kunststoffen Centrum Harjon B.V.;;;;;;;;1;;1
Nederlof Mode voor Mannen;;;;;;;;1;;1
Neopost;;;;;1;;;2;;2
New Babylon Meeting Center B.V.;1;;;;;;;;;1
New Netherland Advisors;;;;;1;;;;;1
Nick Wendels Music Productions;;;;;;;1;;;1
NPN Drukkers B.V.;;;;;2;;;;;2
Nsecure B.V.;;1;;;;;;;;1
Oasis Data & Archief;;;;;;5;;;;5
OEC;;;;;1;;;;;1
Office Depot B.V.;1;;;;;1;;3;;3
Olivier van Herpt B.V.;;;;;;;1;;;1
Onderw. Maak Je Samen Advies & Training B.V.;;;;;1;;;;;1
One Media & Communicatie;;;;;;;;1;;1
Ontwerpwerk B.V.;;;;;;;;;1;1
Openbare Bibliotheek Amsterdam;1;;;;;;;;;1
Originart;;;;;;;1;;;1
P.W.G. Bedrijfsveilige Kleding B.V.;;1;;;;;;;;1
Papyrus Groep Nederland B.V.;;;;;2;;;2;;2
Parthen Meeting Essentials B.V.;;;;;1;;;;;1
Peel Solar B.V.;;;;1;;;;;;1
Peter Verwey Grafische Produkties B.V.;;;;;1;;;;;1
PhotoLogiX;;;;;;;1;;;1
