Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd door de bezoekers (in seconden),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec) na het hier in te voeren.,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=registrerenGrofvuil,1912,2926,320715,5,2227,0.004,28.14,28,141,11011,15,161,1890,25,157,168,54%,8%,0.585,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=registrerenGrofvuil,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3DregistrerenGrofvuil,
startpagina/verkeer-en-bereikbaarheid/index,1849,2622,61037,24,1884,0.001,29.306,64,382,26013,11,82,1824,63,80,33,17%,4%,0.513,http://www.utrecht.nl/startpagina/verkeer-en-bereikbaarheid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fverkeer-en-bereikbaarheid%2F,
werk-en-inkomen/uitkeringen/index,1842,2549,120513,55,2073,0.001,22.024,388,2799,204788,97,250,1774,365,235,65,25%,14%,0.561,http://www.utrecht.nl/werk-en-inkomen/uitkeringen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fuitkeringen%2F,
startpagina/toerisme-en-vrije-tijd/index,1819,2476,73396,20,1858,0.001,12.487,68,368,19589,22,250,1784,66,244,40,32%,14%,0.512,http://www.utrecht.nl/startpagina/toerisme-en-vrije-tijd/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Ftoerisme-en-vrije-tijd%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Verklaring omtrent het gedrag,1807,2220,211125,312,1828,0.002,23.88,943,5718,484324,261,460,1709,873,433,117,28%,25%,1.108,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Verklaring+omtrent+het+gedrag,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DVerklaring+omtrent+het+gedrag,
wijk-vleuten-de-meern/index,1798,2390,186611,51,1692,0.001,19.789,960,6420,505655,249,461,1732,919,447,104,26%,26%,0.571,http://www.utrecht.nl/wijk-vleuten-de-meern/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2F,
sport-in-utrecht/zwembaden/zwembad-de-krommerijn/index,1715,2437,144819,33,1625,0.001,32.073,810,3512,292089,157,404,1662,778,391,84,19%,24%,0.599,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-krommerijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-krommerijn%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/index,1683,2261,107213,12,1451,0.001,7.999,148,693,51218,42,203,1628,142,184,64,28%,12%,0.598,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fvrij-zwemmen%2F,
Loket/cases/mycases/getAllMyCasesAction.do,1680,3026,152048,12,2631,0.001,231.664,37,151,7616,20,235,1635,34,222,91,54%,14%,3.004,https://pki.utrecht.nl/Loket/cases/mycases/getAllMyCasesAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fcases%2Fmycases%2FgetAllMyCasesAction.do,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=overview,1659,1864,99934,,1430,0.001,181.035,15,54,2075,8,62,1649,13,58,60,53%,4%,2.903,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=overview,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3Doverview,
wmo-in-utrecht/index,1648,2231,165523,95,1711,0.001,53.989,808,6001,454802,266,461,1595,775,443,100,33%,28%,0.481,http://www.utrecht.nl/wmo-in-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2F,
werken-en-leren-bij-utrecht/index,1636,2035,137721,141,1517,0.001,24.985,872,2611,199251,304,610,1618,859,606,84,35%,37%,0.502,http://www.utrecht.nl/werken-en-leren-bij-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2F,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=confirmation,1603,1675,196102,1,1266,0.006,53.566,43,92,10505,35,679,1586,39,668,122,81%,42%,0.898,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=confirmation,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3Dconfirmation,
sport-in-utrecht/zwembaden/aqua-activiteiten/index,1575,2123,230419,17,1320,0.001,31.714,313,983,96452,175,581,1474,264,511,146,56%,37%,0.702,http://www.utrecht.nl/sport-in-utrecht/zwembaden/aqua-activiteiten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Faqua-activiteiten%2F,
utrecht-fietst/fiets-weg/gemeentelijk-fietsendepot/index,1551,2085,298131,22,1320,0.001,29.048,734,2053,265374,348,785,1423,654,720,192,47%,51%,0.772,http://www.utrecht.nl/utrecht-fietst/fiets-weg/gemeentelijk-fietsendepot/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-fietst%2Ffiets-weg%2Fgemeentelijk-fietsendepot%2F,
werk-en-inkomen/extras-bij-laag-inkomen/index,1526,2302,254218,85,1744,0.001,136.823,438,2277,211157,194,460,1476,414,444,167,44%,30%,0.772,http://www.utrecht.nl/werk-en-inkomen/extras-bij-laag-inkomen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fextras-bij-laag-inkomen%2F,
wonen-in-veemarkt/index,1500,2027,113285,12,1311,0.001,47.236,1068,6720,539130,137,271,1450,1036,264,76,13%,18%,0.591,http://www.utrecht.nl/wonen-in-veemarkt/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2F,
Page URL not defined,1442,2105,0,14,16,0.001,2.49,,,,,,1421,,,0,0%,0%,0.96,,,
gevonden-voorwerpen/index,1421,1809,128061,72,1280,0.001,42.664,989,4228,380175,212,342,1368,944,335,90,21%,24%,0.677,http://www.utrecht.nl/gevonden-voorwerpen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgevonden-voorwerpen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=392,1421,1687,98846,26,1291,0.001,32.939,172,932,86609,74,196,1393,164,195,70,43%,14%,1.628,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=392,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D392,
leidsche-rijn/index,1416,1918,113401,10,1413,0.001,15.579,830,4604,309199,272,416,1379,808,409,80,33%,29%,0.541,http://www.utrecht.nl/leidsche-rijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2F,
werk-en-inkomen/contact/index,1402,1921,206303,31,1493,0.001,25.36,394,2497,235755,158,415,1341,361,386,147,40%,30%,0.575,http://www.utrecht.nl/werk-en-inkomen/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fcontact%2F,
utrecht-bereikbaar/index,1380,1731,132325,30,1290,0.001,56.128,800,2798,214324,352,561,1352,776,545,96,44%,41%,0.575,http://www.utrecht.nl/utrecht-bereikbaar/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-bereikbaar%2F,
werk-en-inkomen/index,1356,1861,106990,56,1497,0.001,60.235,576,4699,356875,121,250,1313,551,237,79,21%,18%,0.703,http://www.utrecht.nl/werk-en-inkomen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2F,
werk-en-inkomen/hoogte-bijstandsuitkering-en-kostendelersnorm/index,1342,1757,188609,23,1379,0.001,13.163,878,1935,165075,580,936,1304,851,908,141,66%,70%,0.583,http://www.utrecht.nl/werk-en-inkomen/hoogte-bijstandsuitkering-en-kostendelersnorm/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fhoogte-bijstandsuitkering-en-kostendelersnorm%2F,
Loket/form/view/viewPageAction.do?process=cases&name=paymentResult&forward=/process/closeWindowAction.do&result=ok,1316,1435,144658,1,1241,0.002,7.879,10,14,40,8,670,1310,9,665,110,80%,51%,0.486,https://pki.utrecht.nl/Loket/form/view/viewPageAction.do?process=cases&name=paymentResult&forward=/process/closeWindowAction.do&result=ok,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fform%2Fview%2FviewPageAction.do%3Fprocess%3Dcases%26name%3DpaymentResult%26forward%3D%2Fprocess%2FcloseWindowAction.do%26result%3Dok,
gemeenteraad/index,1303,1656,49224,26,1282,0.001,23.168,236,1522,103632,27,90,1205,226,88,38,11%,7%,0.486,http://www.utrecht.nl/gemeenteraad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=wat_wilt_u,1293,1761,100310,13,1554,0.001,84.221,393,4243,346392,31,95,1243,375,91,78,8%,7%,0.765,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=wat_wilt_u,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Dwat_wilt_u,
bouwen-en-verbouwen/index,1278,1741,116563,29,1328,0.001,6.401,369,2485,216822,93,203,1243,353,195,91,25%,16%,0.501,http://www.utrecht.nl/bouwen-en-verbouwen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/aangepast-rooster-in-april-en-mei/index,1276,1484,240106,4,809,0.003,17.393,115,285,28360,72,569,1198,105,527,188,63%,45%,0.623,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/aangepast-rooster-in-april-en-mei/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2Faangepast-rooster-in-april-en-mei%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=744,1269,1581,257338,14,1054,0.001,15.887,706,2525,277347,411,685,1190,645,635,203,58%,54%,1.093,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=744,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D744,
utrecht-fietst/fiets-weg/index,1252,1609,84636,14,1091,0.001,17.641,752,3822,385367,97,192,1210,726,187,68,13%,15%,0.691,http://www.utrecht.nl/utrecht-fietst/fiets-weg/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-fietst%2Ffiets-weg%2F,
verkeersbeleid/milieuzone/subsidies-en-ontheffingen/index,1249,1653,100109,10,1261,0.001,7.832,85,370,36783,24,247,1236,83,244,80,28%,20%,0.516,http://www.utrecht.nl/verkeersbeleid/milieuzone/subsidies-en-ontheffingen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Fmilieuzone%2Fsubsidies-en-ontheffingen%2F,
afval/het-nieuwe-inzamelen/index,1230,1532,162733,33,1096,0.001,9.217,464,1943,177432,160,355,1217,455,346,132,34%,29%,0.534,http://www.utrecht.nl/afval/het-nieuwe-inzamelen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fafval%2Fhet-nieuwe-inzamelen%2F,
werken-en-leren-bij-utrecht/?osadcampaign=vacatures,1230,1429,72432,4,1123,0.001,6.527,38,88,7755,17,368,1219,38,363,59,45%,30%,0.407,http://www.utrecht.nl/werken-en-leren-bij-utrecht/?osadcampaign=vacatures,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2F%3Fosadcampaign%3Dvacatures,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=uwgegevens_personen,1222,1581,121103,4,1336,0.002,40.574,36,187,16141,16,202,1206,34,199,99,44%,17%,1.267,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Duwgegevens_personen,
e-mailproclaimer/index,1202,1432,158414,11,1054,0.001,16.391,828,2194,165872,575,803,1173,801,783,132,69%,67%,0.588,http://www.utrecht.nl/e-mailproclaimer/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fe-mailproclaimer%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/index,1190,1500,94605,10,980,0.001,67.014,100,450,38104,32,171,1160,90,160,80,32%,14%,0.772,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fvrij-zwemmen%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Verhuizen,1183,1516,121228,68,1252,0.001,59.971,95,497,42890,45,150,1160,86,144,102,47%,13%,1.314,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Verhuizen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DVerhuizen,
leidsche-rijn/actueel/index,1170,1478,149878,40,1057,0.001,15.183,490,2047,211759,216,421,1155,483,413,128,44%,36%,0.918,http://www.utrecht.nl/leidsche-rijn/actueel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Factueel%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=564,1167,1655,140308,11,1383,0.001,20.682,437,3877,253671,86,233,1134,421,225,120,20%,20%,0.938,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=564,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D564,
parkeren/contact/index,1153,1388,150125,17,941,0.001,24.34,453,1847,161001,207,431,1107,424,406,130,46%,37%,0.679,http://www.utrecht.nl/parkeren/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fcontact%2F,
sport-in-utrecht/zwembaden/zwemmen-0-5-jaar/index,1150,1450,216817,43,790,0.001,5.544,410,1769,211139,222,530,1075,369,488,189,54%,46%,0.65,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwemmen-0-5-jaar/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwemmen-0-5-jaar%2F,
kabinetzaken/utrechts-oranje-comite/leden-en-lid-worden/index,1142,1517,80168,7,990,0.001,23.386,29,79,8271,15,202,1124,27,199,70,52%,18%,0.522,http://www.utrecht.nl/kabinetzaken/utrechts-oranje-comite/leden-en-lid-worden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fkabinetzaken%2Futrechts-oranje-comite%2Fleden-en-lid-worden%2F,
parkeren/mijnparkeren/index,1141,1509,55910,15,1119,0.001,15.707,296,1915,142473,61,118,1114,278,113,49,21%,10%,0.53,http://www.utrecht.nl/parkeren/mijnparkeren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fmijnparkeren%2F,
Formulieren/process/add/report/initAction.do,1135,1530,99441,1,1166,0.007,84.364,24,187,14514,7,79,1107,22,77,88,29%,7%,3.849,https://pki.utrecht.nl/Formulieren/process/add/report/initAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FinitAction.do,
Loket/prodcat/process/checkPreconditionsAction.do?name=Bewoners vergunning&processName=Aanvraag met DigiD,1126,1298,97211,16,951,0.003,14.027,44,342,28916,6,90,1070,38,90,86,14%,8%,0.769,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Bewoners+vergunning&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DBewoners+vergunning%26processName%3DAanvraag+met+DigiD,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/tarieven-zwembad-den-hommel/index,1125,1233,161501,10,737,0.001,23.801,58,172,26946,38,398,1094,54,383,144,66%,35%,0.735,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/tarieven-zwembad-den-hommel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2Ftarieven-zwembad-den-hommel%2F,
parkeren/parkeren-bewoner/wachtlijst-parkeervergunning/index,1112,1384,61246,18,1001,0.001,77.805,309,1478,107123,58,131,1082,293,130,55,19%,12%,0.654,http://www.utrecht.nl/parkeren/parkeren-bewoner/wachtlijst-parkeervergunning/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2Fwachtlijst-parkeervergunning%2F,
startpagina/zorg-welzijn-onderwijs/index,1110,1593,26205,20,1251,0.001,11.667,20,390,25458,3,56,1088,18,56,24,15%,5%,0.484,http://www.utrecht.nl/startpagina/zorg-welzijn-onderwijs/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fzorg-welzijn-onderwijs%2F,
werk-en-inkomen/veelgestelde-vragen/index,1102,1501,135592,139,1183,0.001,112.738,454,1640,120049,208,417,1077,440,409,123,46%,38%,1.12,http://www.utrecht.nl/werk-en-inkomen/veelgestelde-vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fveelgestelde-vragen%2F,
college-van-b-en-w/index,1101,1417,80715,39,1026,0.001,5.81,210,814,70739,86,289,1037,201,255,73,41%,26%,0.456,http://www.utrecht.nl/college-van-b-en-w/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2F,
castellum-hoge-woerd/index,1078,1490,161926,11,1031,0.001,17.763,793,2815,235691,305,483,1046,765,467,150,38%,45%,0.636,http://www.utrecht.nl/castellum-hoge-woerd/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcastellum-hoge-woerd%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=565,1065,1419,153921,51,1192,0.001,12.639,389,6798,409604,93,217,1037,381,209,145,24%,20%,0.842,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=565,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D565,
vergunningen-openbare-ruimte/vrijmarkt-2015/vaarregels-koningsdag/index,1062,1290,50194,22,890,0.001,12.748,56,182,17291,22,139,1053,55,137,47,39%,13%,0.551,http://www.utrecht.nl/vergunningen-openbare-ruimte/vrijmarkt-2015/vaarregels-koningsdag/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvergunningen-openbare-ruimte%2Fvrijmarkt-2015%2Fvaarregels-koningsdag%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=Uw_gegevens,1055,1481,104034,1,1352,0.003,19.656,16,126,8052,4,55,1025,15,54,99,25%,5%,0.588,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=Uw_gegevens,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3DUw_gegevens,
Loket/prodcat/products/getProductDetailsAction.do?id=699,1048,1307,128944,31,926,0.001,11.911,433,3196,242441,110,255,991,398,241,123,25%,24%,1.146,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=699,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D699,
aantrekkelijk-en-bereikbaar/projecten-herinrichting/herinrichting-t-goylaan/index,1039,1517,181961,15,954,0.001,6.447,660,1901,202933,279,499,972,610,463,175,42%,48%,0.516,http://www.utrecht.nl/aantrekkelijk-en-bereikbaar/projecten-herinrichting/herinrichting-t-goylaan/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Faantrekkelijk-en-bereikbaar%2Fprojecten-herinrichting%2Fherinrichting-t-goylaan%2F,
parkeren/parkeren-bezoeker/parkeergarages/parkeergarage-de-grifthoek/index,1034,1409,90350,8,891,0.001,31.628,591,1942,194635,245,414,960,527,359,87,41%,40%,0.614,http://www.utrecht.nl/parkeren/parkeren-bezoeker/parkeergarages/parkeergarage-de-grifthoek/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fparkeergarages%2Fparkeergarage-de-grifthoek%2F,
parkeren/downloads/stratenlijsten-parkeerrayons/index,1031,1380,67864,24,981,0.001,11.767,255,1078,76720,60,115,1006,241,109,66,24%,11%,0.688,http://www.utrecht.nl/parkeren/downloads/stratenlijsten-parkeerrayons/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fdownloads%2Fstratenlijsten-parkeerrayons%2F,
sport-in-utrecht/zwembaden/openingstijden-utrechtse-zwembaden/index,1030,1206,115009,2,728,0.001,22.062,36,149,17492,15,262,1014,36,256,112,42%,25%,0.556,http://www.utrecht.nl/sport-in-utrecht/zwembaden/openingstijden-utrechtse-zwembaden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fopeningstijden-utrechtse-zwembaden%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=853,1017,1329,84551,6,1077,0.001,17.445,641,3278,317034,107,187,956,588,176,83,17%,18%,0.958,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=853,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D853,
stadskaart/index,1015,1300,60603,82,946,0.001,24.892,403,1384,88426,95,228,1004,399,225,60,24%,22%,0.662,http://www.utrecht.nl/stadskaart/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadskaart%2F,
Formulieren/process/add/report/reportInfoAction.do,1010,1824,226742,1,1481,0.001,33.852,13,66,4745,6,84,987,13,83,224,46%,8%,1.711,https://pki.utrecht.nl/Formulieren/process/add/report/reportInfoAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FreportInfoAction.do,
index.php?id=7844,999,1241,165147,2,759,0.001,7.199,177,458,57502,102,497,976,170,486,165,58%,50%,0.513,http://www.utrecht.nl/index.php?id=7844,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Findex.php%3Fid%3D7844,
stadsparken-en-landgoederen/julianapark/index,976,1329,143676,8,924,0.001,20.753,621,1947,193972,325,524,945,594,504,147,52%,54%,0.713,http://www.utrecht.nl/stadsparken-en-landgoederen/julianapark/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2Fjulianapark%2F,
vastgoedaanbod/panden-in-uitgifte/index,970,1515,148079,19,889,0.001,13.815,518,1773,174056,238,506,943,502,491,153,46%,52%,0.615,http://www.utrecht.nl/vastgoedaanbod/panden-in-uitgifte/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvastgoedaanbod%2Fpanden-in-uitgifte%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/tarieven-zwembad-de-kwakel/index,969,1041,139565,14,683,0.001,61.178,65,132,13637,41,380,938,62,364,144,63%,39%,0.692,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/tarieven-zwembad-de-kwakel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2Ftarieven-zwembad-de-kwakel%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=1059,952,1120,100007,7,839,0.003,10.266,276,1456,119778,86,218,927,255,208,105,31%,23%,0.957,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1059,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1059,
Loket/prodcat/process/checkPreconditionsAction.do?name=Verklaring Omtrent Gedrag Natuurlijke Personen&processName=Aanvraag met DigiD,940,1120,110461,1,857,0.002,24.763,35,176,19906,14,171,898,29,163,118,40%,18%,0.776,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Verklaring+Omtrent+Gedrag+Natuurlijke+Personen&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DVerklaring+Omtrent+Gedrag+Natuurlijke+Personen%26processName%3DAanvraag+met+DigiD,
Loket/prodcat/process/checkPreconditionsAction.do?name=Tijdelijke kenteken registratie&processName=Aanvraag met DigiD,920,1038,72394,2,688,0.003,7.504,40,273,6813,6,74,894,38,72,79,15%,8%,0.669,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Tijdelijke+kenteken+registratie&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DTijdelijke+kenteken+registratie%26processName%3DAanvraag+met+DigiD,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=uwgegevens_personen,916,1354,32056,2,1042,0.002,24.387,5,34,2145,3,28,895,5,28,35,60%,3%,1.271,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3Duwgegevens_personen,
