"JAAR","PERIODE","BELEIDSPROGRAMMA","ORGANISATIE","SUBSIDIE_BESCHIKT","BEKOSTIGD_UIT_RIJKSINKOMSTEN","WETTELIJKE_TAAK","GLOB_OVERZ_GESUB_ACTIVITEITEN","INLEES_DATUM","GEMEENTE","GEMEENTE_CODE","LAND_CODE"
2016,"Q4","Programma Kunst en Cultuur","Stichting Anders Kijken",1000,"Nee","Nee","Organiseren Open Ateliers.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Toneelvereniging Varia",1200,"Nee","Nee","Welzijnssubsidie: repetitieactiviteiten en toneelvoorstelling.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Toneelvereniging Het Masker",1500,"Nee","Nee","Welzijnssubsidie: het aanbieden van toneelvoorstellingen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Streekmuseum Jan Anderson",1650,"Nee","Nee","Tentoonstelling en publicatie 400 jaar Rederijkers in Vlaardingen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Tamboer-, Trompetter- en Majorettekorps Liberte / Haringkoppen",1900,"Nee","Nee","Welzijnssubsidie: repeteren en optreden.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Kade40",2000,"Nee","Nee","Organisatie brugklascultuurdag Culture Candy.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Mareado",2000,"Nee","Nee","Pomonalezing op 6 september 2016.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Zomerterras",2200,"Nee","Nee","Twee zomerterrasconcerten in 2016.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Kunstalliantie",2865,"Nee","Nee","Pop-up food-art-restaurant.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Gloria Toonkunst Vlaardingen",3000,"Nee","Nee","Concert The Messiah van Handel.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Internationale Orgelweek Vlaardingen",3475,"Nee","Nee","Welzijnssubsidie: verzorgen van diverse concerten en educatie.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Geuzenmaand",3500,"Nee","Nee","Geuzenmaand activiteiten.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Aanzet",3825,"Nee","Nee","Aanbieden van schrijfles",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Metamorphose",4000,"Nee","Nee","Vluchten kan niet meer... nabouwen Berlijnse muur en theaterspectakel.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Balder Theater",5000,"Nee","Nee","Organisatie Verhalenfabriek.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Waterweg Cultuurprijs",6000,"Nee","Nee","Organiseren Waterwegcultuurprijs.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Flagen",8000,"Nee","Nee","Cultuureducatieve activiteiten: exposities, workshops, lessen en evenement.

",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","CJV Vlaardingen",8500,"Nee","Nee","Intocht van Sinterklaas.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stichting Stadspodium ",10000,"Nee","Nee","Opening cultureel seizoen samen met culturele instellingen.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Kunst en Cultuur","Stadsgehoorzaal",10000,"Nee","Nee","Begeleiding van 15 scholen.",10/02/17,"Vlaardingen",622,"NL"
