Rijlabels;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
Videonieuwsbericht B.V.;;;;;;3;3
WagenaarHoes B.V.;;;;;2;2;3
Wirtz, Film & Experience Agency B.V.;;;;;2;2;3
DeFabrique Sales B.V.;;;;;4;;4
Grey Amsterdam B.V.;;;;;;4;4
In2Content B.V.;;;;;1;4;4
JAWS Amsterdam;;;;;;4;4
Kris Kras context, content and design;;;;;;4;4
Kuiters idee en organisatie B.V.;;;;;4;;4
Pino Evenementen & Congressen B.V.;;;;;4;;4
Publiek Denken;;1;;;1;4;4
Sabel Communicatie B.V.;;;;;;4;4
SPITZ congres & event B.V.;;;;;4;;4
Bourgonje Geluid- en Lichtservice B.V.;;;;;5;;5
Meetingselect B.V.;;;;;5;1;5
The Oddshop B.V.;5;;;;;;5
Xerox (Nederland) B.V.;;1;;;;5;5
Sdu Uitgevers B.V.;;2;;;;7;7
Solvinity;;;;;;7;7
Eindtotaal;5;5;3;2;7;8;9
