OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,INWINMETHODE,AZIMUT,TIJDSTIP_REGISTRATIE,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,Z,LATITUDE,LONGITUDE,KM_SPOORTAK,KM_SPOORTAK_T,STK_OFFSET,STK_OFFSET_T
1,ec8e5bca-9d6d-4b0b-a678-b63d95b7b100,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,940,,940,940__,Amersfoort Bokkeduinen,42.807528,"42,807528",-39.327359,"-39,327359",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,152466.626,463487.305,0,52.15954702,5.35018085,,,,
2,4b0e8038-2c39-4675-9325-e657995fb855,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asd-Zp,Amsterdam Centraal - Zutphen ,506,b,506,506_b,Amersfoort,43.763567,"43,763567",-146.761682,"-146,761682",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,153209.542,462983.604,0,52.15502266,5.36104047,,,,
3,15a0c10b-3e6b-4e31-bc03-c20a966f698d,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,940,,940,940__,Amersfoort Bokkeduinen,43.044392,"43,044392",-4.619979,"-4,619979",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,152592.455,463282.525,0,52.15770702,5.35202116,,,,
4,725e7401-0c6e-4e54-b99a-8039a18ec95b,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,940,,940,940__,Amersfoort Bokkeduinen,42.941152,"42,941152",31.523711,"31,523711",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,152499.935,463339.081,0,52.15821493,5.35066871,,,,
5,f8215341-fd7a-4bfa-a33a-2ba9359f2558,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Amf-Amfwph,Amersfoort - Amersfoort Hoofdwerkplaats ,900,,900,900__,Amersfoort Hoofdwerkplaats,200.637804,"200,637804",24.38861,"24,388610",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,153170.43,463045.839,0,52.1555819,5.36046862,,,,
6,b884312f-f7b9-4153-b007-e74edd9c84c1,,60,Bestaand,,Fotogrammetrie,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,940,,940,940__,Amersfoort Bokkeduinen,43.054162,"43,054162",-39.010264,"-39,010264",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,152625.705,463295.65,0,52.15782513,5.35250696,,,,
7,ff9b6f03-fcac-4c28-a67c-7082dd61b8ac,,60,Bestaand,,Fotogrammetrie,,2022/04/18 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,87.986181,"87,986181",-7.382733,"-7,382733",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,IJsselstreek,31,Strukton Rail,194677.492,469196.706,0,52.20943996,5.9677049,,,,
8,0f11832d-8b80-4c87-a6bb-4acf6a672538,,60,Bestaand,,Fotogrammetrie,,2022/04/18 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.32589,"88,325890",-19.153748,"-19,153748",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,IJsselstreek,31,Strukton Rail,195018.031,469189.566,0,52.20935119,5.97268607,,,,
9,1e61cd11-8eb0-4736-8a8b-0bd46d6501df,,60,Bestaand,,Fotogrammetrie,,2022/04/18 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.000398,"88,000398",3.827274,"3,827274",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,IJsselstreek,31,Strukton Rail,194691.281,469184.975,0,52.20933354,5.96790526,,,,
10,7da19eec-90ec-4dc6-b4be-2e759373dc58,,60,Bestaand,,Fotogrammetrie,,2022/04/18 00:00:00+00,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.167821,"88,167821",-6.638808,"-6,638808",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,IJsselstreek,31,Strukton Rail,194859.306,469187.052,0,52.20934009,5.97036367,,,,
