ID,GEOCODE,GEOCODE_NAAM,GEOCODE_NR,NAAM,VERKORTING,KM_GEOCODE_VAN,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT,KM_GEOCODE_TOT_T,LIGGING,X_BEGIN,Y_BEGIN,X_EIND,Y_EIND,LONGITUDE_BEGIN,LATITUDE_BEGIN,LONGITUDE_EIND,LATITUDE_EIND
1,158,Ressen = Bemmel - Zevenaar,158,Pannerdensch Kanaal Tunnel,Pktl,98.251,"98,251000",100.337,"100,337000",Ondergronds,195201.86076,435565.22054,196977.78542,436638.81742,5.97141564,51.90713254,5.99735301,51.91665068
2,163,Rotterdam Lombardijen - Rotterdam Centraal,163,Rotterdam Willemsspoortunnel,Rtwtl,45.652,"45,652000",48.383,"48,383000",Ondergronds,94459.52424,435783.85092,92649.889079,437843.964921,4.50741821,51.90725839,4.48075005,51.92557354
3,165,Kijfhoek - Moerdijkbrug,165,HSL - Tunnel Dordtse Kil,Hstdk,224.352,"224,352000",225.837,"225,837000",Ondergronds,102309.16396,417254.63692,103102.49229,416000.40493,4.62430431,51.74152173,4.6359772,51.73032311
4,116,Dordrecht - Rotterdam Barendrecht,116,Barendrecht Overkapping,Brdok,39.745,"39,745000",38.251,"38,251000",Ondergronds,98024.01803,429296.35674,97178.322,430520.30055,4.56028492,51.84932812,4.54780717,51.86024129
5,663,Rotterdam Barendrecht,663,Barendrecht dive-under HSL,Brddu,40.269,"40,269000",40.679,"40,679000",Ondergronds,96944.624,430988.652,96758.328,431354.846,4.54433612,51.86442632,4.54156987,51.86769805
6,165,Kijfhoek - Moerdijkbrug,165,HSL - Tunnel Oude Maas,Hstom,215.484,"215,484000",217.04,"217,040000",Ondergronds,99807.34576,425406.7984,99825.981,423854.7224,4.58678592,51.81454958,4.58730365,51.80060188
7,166,Rotterdam Westelijke Splitsing - Nieuw Vennep,166,HSL - Groene Hart Tunnel,Hsght,122.242,"122,242000",129.92,"129,920000",Ondergronds,98637.29224,456346.65534,98224.6106,463892.877,4.56474113,52.09250328,4.55746101,52.16028057
8,166,Rotterdam Westelijke Splitsing - Nieuw Vennep,166,HSL - Rotterdam Tunnel,Hsrtdt,103.187,"103,187000",106.386,"106,386000",Ondergronds,90683.15726,439486.2818,91468.9544,442580.89242,4.45185381,51.94010954,4.46270758,51.96801195
9,611,Zevenaar,611,Zevenaar Tunnel,Zvtl,602.248,"602,248000",603.831,"603,831000",Ondergronds,200915.137381,437809.497048,202399.08425,437259.91141,6.05473551,51.92686133,6.07623249,51.92179728
10,952,Botlektunnel,952,Botlektunnel,Bott,813.406,"813,406000",816.035,"816,035000",Ondergronds,83650.1498,432458.94238,81118.5817,431797.69125,4.35104587,51.87609631,4.31442967,51.8698236
11,161,Lelystad Industrieterrein - Hattemerbroek,161,Drontermeertunnel,Drontl,29.765,"29,765000",30.562,"30,562000",Ondergronds,186676.3754,504367.14895,187412.22542,504669.4503,5.85396471,52.52604551,5.86483671,52.52871914
12,206,Zwolle - Wierden,206,Nijverdal Tunnel,Nvdtl,30.3,"30,300000",31.7,"31,700000",Ondergronds,227442.283,487115.583,228838.988,486998.465,6.45085528,52.3671363,6.47133351,52.36589777
13,054,Boxtel - Eindhoven,54,Best Spoortunnel,Bettl,48.665,"48,665000",49.6,"49,600000",Ondergronds,155063.18355,391313.3471,155525.83,390498.629,5.38811132,51.51082923,5.39477452,51.50350577
14,076,Santpoort Noord - Uitgeest,76,Velserspoortunnel,Vtl,8.759,"8,759000",10.859,"10,859000",Ondergronds,105277.742408,496455.320102,104977.824766,498522.673915,4.65572893,52.45360174,4.65100796,52.4721533
15,112,Den Haag HS - Schiedam Centrum,112,Rijswijk Tunnel,Rswtl,64.785,"64,785000",65.358,"65,358000",Ondergronds,81625.05785,450830.9793,81968.92826,450379.83118,4.31771532,52.04094154,4.32282299,52.03693255
16,112,Den Haag HS - Schiedam Centrum,112,Delft Tunnel,Dttl,68.38,"68,380000",70.21,"70,210000",Ondergronds,83777.2211,447959.5244,84444.5375,446255.1377,4.34967735,52.01541669,4.35974803,52.0001847
17,133,Amsterdam Riekerpolder - Warmond,133,Schiphol Spoortunnel,Shltl,11.629,"11,629000",16.851,"16,851000",Ondergronds,114038.68604,482218.7291,110127.79541,478998.09201,4.78634235,52.32638085,4.72940558,52.29713112
18,139,Zaandam - Amsterdam Sloterdijk,139,Hemtunnel,Hmtl,172.416,"172,416000",173.972,"173,972000",Ondergronds,116061.962003,493475.401903,115449.24488,492045.36272,4.8147159,52.4276937,4.80587654,52.41479795
19,152,Kijfhoek - Meteren Aansl.,152,Betuweroute - Giessentunnel,Brgstl,17.993,"17,993000",18.497,"18,497000",Ondergronds,118894.486,427600.30395,119384.38803,427481.93455,4.86334891,51.8358263,4.8704688,51.83479388
20,924,Kijfhoek,924,Betuweroute Sophiatunnel,Brsptl,525.264,"525,264000",525.735,"525,735000",Ondergronds,101849.87484,426567.8202,102282.602,426702.52,4.61622607,51.82518278,4.62248197,51.82643448
21,152,Kijfhoek - Meteren Aansl.,152,Betuweroute Sophiatunnel,Brsptl,0,"0,000000",5.696,"5,696000",Ondergronds,102282.602,426702.52,107237.01448,428767.49048,4.62248197,51.82643448,4.6940601,51.84544025
