OBJECTID,PUIC,NAAM,AFKORTING,RICHTING,GELDIG_VANAF,PUBLICATIEDATUM,VLPOST_PUIC,VLPOST_NAAM,VLPOST_OMSCHRIJVING
1,b121be6c-89f7-4bf4-8cae-8a207a4161be,Ht_Vga,051000,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Eindhoven
2,988d4673-7ee5-44e2-9823-c522d63a2d6b,Ktr_Op,042005,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Utrecht Centraal
3,323b59e3-128d-4d88-83cf-001d233a181c,Asdl_Asra,145003,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Centraal
4,85fef418-c568-4ff3-8d80-36c402a4c5f2,Nwh_Vh,085006,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Den Haag HS
5,736a2733-60bf-4260-910d-f2689cf6af36,Hdp_Hgka,002012,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Groningen
6,23458022-788c-4188-b617-42f79c620b28,Gbg_Hdb,204005,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,3bef168d-3932-454c-832c-82fde8c67d14,ZL,Zwolle
7,35109946-be92-4555-8493-dc5257745377,Akl_Gr,118005,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f0a9d6e5-809b-44e2-85b8-b4766ad70f15,RTD,Rotterdam Centraal
8,33f2bc93-545e-4498-b67f-78dbea86c740,Asa_Dvd,096004,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Centraal
9,9c12162c-6ca1-45c6-8050-6e25d893baff,Asdma_Dgok,586006,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Centraal
10,b5c76ec4-dedd-4ef2-bb48-7c9a2d8aaedd,Nm_Nml,044003,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Arnhem
11,a7d3e866-31cc-4f51-a826-4c7f49c83d9e,Gnn_Rdp,006002,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Groningen
12,0f2cfc77-8030-41cb-9c5c-f8f24d2b325e,Hvl_Bnva,020002,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,Amersfoort
13,78302bed-d42a-41f6-a2fd-7ea404ad5d84,Almb_Almp,135005,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Centraal
14,40ae7178-7cd5-4670-a182-ba60b4874824,Brdv_Whzan,950004,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,
15,b3539e7d-deb5-405a-b93d-d71c95dfcaa8,Apg_Dzw,201006,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Groningen
16,385fe089-07f3-42d9-bfb3-29d2ee0ee2a3,Gd_Gdg,105003,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Utrecht Centraal
17,8ce74e86-6cce-4546-ba44-e846e6497724,Bdg_Gwb,102002,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Utrecht Centraal
18,155d9413-c6b9-48c0-9d43-0f3a49f8b768,Ddzd_Wld,119003,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,
19,8c34f899-7848-4c3a-9aa8-c51469a5f760,Mdb_Vss,127011,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,6b0db470-f883-4c80-ac9d-5a57fae2a3d1,RSD,Roosendaal
20,12031008-8154-4eae-8d3a-c13bdd78c61a,Spb_Bh,026004,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,
21,604fde5e-d36e-4ca3-a560-680aeb62fc51,Bln_Hor,095003,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,
22,54547938-95d5-478c-8456-0bdb60b29628,Bkf_Ekz,217005,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a56b23bc-cb77-4f10-a828-fb5a88619d57,AMR,Alkmaar
23,aa39944a-05c4-4028-a839-ba32ade899c3,Btl_Lpe,045009,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Eindhoven
24,dcf7d9eb-6c99-4864-bb7a-daa1a398b31b,Bnk_Db,035003,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Utrecht Centraal
25,a09cf136-b0a8-4969-b11c-546f128a46ae,Dta_Rsw,112002,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Den Haag HS
26,74ab72fe-39ea-41f3-8dc2-b38ad6d5aec9,Hwd_Sgn,073005,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a56b23bc-cb77-4f10-a828-fb5a88619d57,AMR,Alkmaar
27,ad6086ed-2217-4de3-9042-c5a11ae93405,Hdr_Hdrz,073001,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a56b23bc-cb77-4f10-a828-fb5a88619d57,AMR,Alkmaar
28,47e83cc0-a30e-4203-b93f-5881232fb0f0,Apdm_Kbk,208002,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Arnhem
29,61e20de5-ab04-4f1e-8bca-970a1224f2f3,Apda_Apdo,023001,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,3bef168d-3932-454c-832c-82fde8c67d14,ZL,Zwolle
30,b9b7c029-97c5-491d-a5ef-5bf0742da957,Aml_Amlbp,205005,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,3bef168d-3932-454c-832c-82fde8c67d14,ZL,Zwolle
31,864e47d7-084d-4b8a-b2f4-2312f3239814,Gdm_Wnn,043001,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Utrecht Centraal
32,12b6abc5-c032-4a87-b03d-e8b9294bdec2,Htn_Lek,117004,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Utrecht Centraal
33,7c423fb4-99be-4abb-ac01-d9ca7435561f,Bzl_Vlk,127005,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,6b0db470-f883-4c80-ac9d-5a57fae2a3d1,RSD,Roosendaal
34,2962805b-4a00-42b3-bd0e-663d7d76fc11,Hd_Ns,017006,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,3bef168d-3932-454c-832c-82fde8c67d14,ZL,Zwolle
35,27333521-7083-4b9a-874c-f9af837e0ef0,Gdr_Tbg,212004,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Arnhem
36,e2e81e93-d854-45ae-942a-f45bc48202b8,Htda_Hto,047001,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Eindhoven
37,4f6616d5-4701-44ef-961e-43e769c4f7eb,Dr_Rh,034003,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Arnhem
38,f109d845-5c4d-486d-b3c2-f08431ea8c4e,Tpsw_Tl,043005,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Utrecht Centraal
39,296e8378-9102-4e07-bd53-6ecd9d9b91ec,Cas_Utg,075001,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a56b23bc-cb77-4f10-a828-fb5a88619d57,AMR,Alkmaar
40,371e9b9b-f323-4284-9f32-db500f1e200d,Ec_Srn,062001,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,58952f87-ac7f-4dc4-a8a2-387ad0f9930e,MT,Maastricht
41,466d5f08-909c-4006-8b57-10708800e955,Bnc_Ltn,211003,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,
42,f5ad6b67-fb4b-460d-a354-bf8bee4f9e4f,Gvm_Laa,104005,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Den Haag HS
43,94aa5d3d-d424-42c9-8405-9bc229b09637,Ledn_Vkbr,104001,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Den Haag HS
44,92e8a143-317e-40da-9350-d81c7bedcb4c,Mpa_Smvrt,009003,Onbekend,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,3bef168d-3932-454c-832c-82fde8c67d14,ZL,Zwolle
