BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;PROVINCIE VESTIGING;ONDERWIJSTYPE VO EN LEER- OF VERBLIJFSJAAR;VMBO SECTOR;AFDELING;ELEMENTCODE;OPLEIDINGSNAAM;LEER- OF VERBLIJFSJAAR 1 - MAN;LEER- OF VERBLIJFSJAAR 1 - VROUW;LEER- OF VERBLIJFSJAAR 2 - MAN;LEER- OF VERBLIJFSJAAR 2 - VROUW;LEER- OF VERBLIJFSJAAR 3 - MAN;LEER- OF VERBLIJFSJAAR 3 - VROUW;LEER- OF VERBLIJFSJAAR 4 - MAN;LEER- OF VERBLIJFSJAAR 4 - VROUW;LEER- OF VERBLIJFSJAAR 5 - MAN;LEER- OF VERBLIJFSJAAR 5 - VROUW;LEER- OF VERBLIJFSJAAR 6 - MAN;LEER- OF VERBLIJFSJAAR 6 - VROUW
01UH;00;Maartenscollege;HAREN GN;Groningen;Brugjaar 1-2;N.v.t.;N.v.t.;0011;Ljvb op HAVO/VMBO-Th/Gm Lw;39;45;27;25;0;0;0;0;0;0;0;0
01UH;00;Maartenscollege;HAREN GN;Groningen;Brugjaar 1-2;N.v.t.;N.v.t.;0015;Ljvb op VWO/HAVO;34;38;32;51;0;0;0;0;0;0;0;0
01UH;00;Maartenscollege;HAREN GN;Groningen;Engelse Stroom;N.v.t.;N.v.t.;0700;International Baccalaureate middle years programme;13;6;8;10;9;11;13;9;18;16;0;0
01UH;00;Maartenscollege;HAREN GN;Groningen;HAVO lj 4-5;N.v.t.;Cultuur en Maatschappij;0373;HAVO Prf Cul/Maat;0;0;0;0;0;0;0;0;1;5;0;0
01UH;00;Maartenscollege;HAREN GN;Groningen;HAVO lj 4-5;N.v.t.;Economie en Maatschappij;0372;HAVO Prf Ec/Maat;0;0;0;0;0;0;20;7;12;11;0;0
01UH;00;Maartenscollege;HAREN GN;Groningen;HAVO lj 4-5;N.v.t.;Economie en Maatschappij / Cultuur en Maatschappij;0379;HAVO Prf Ec/Maat & Cul/Maat;0;0;0;0;0;0;2;2;0;2;0;0
01UH;00;Maartenscollege;HAREN GN;Groningen;HAVO lj 4-5;N.v.t.;Natuur en Gezondheid;0371;HAVO Prf Nat/Gezond;0;0;0;0;0;0;11;13;9;15;0;0
01UH;00;Maartenscollege;HAREN GN;Groningen;HAVO lj 4-5;N.v.t.;Natuur en Techniek;0370;HAVO Prf Nat/Tech;0;0;0;0;0;0;1;0;1;2;0;0
01UH;00;Maartenscollege;HAREN GN;Groningen;HAVO lj 4-5;N.v.t.;Natuur en Techniek / Natuur en Gezondheid;0374;HAVO Prf Nat/Tech & Nat/Gezond;0;0;0;0;0;0;9;1;5;4;0;0
01UH;00;Maartenscollege;HAREN GN;Groningen;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4031;HAVO NW naar VAVO;0;0;0;0;0;0;0;1;3;2;0;0
01UH;00;Maartenscollege;HAREN GN;Groningen;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4036;HAVO NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;2;0;0;0
01UH;00;Maartenscollege;HAREN GN;Groningen;HAVO/VWO lj 3;N.v.t.;N.v.t.;0015;Ljvb op VWO/HAVO;0;0;0;0;40;58;0;0;0;0;0;0
