Leverancier;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
200 OK;;;;;;1;;;;;1
Addcomm Direct B.V.;;;;;;5;;;;;5
Albron Nederland B.V.;;;;;;;;;5;;5
Albyco Nederland B.V.;;;;;;;;;1;;1
Altec IndustriÃ«le Identificatie;;;;;;;;;1;;1
ALTEX Edition;;;;;;1;;;;;1
Amber Rijcken;;;;;;1;;;;;1
Ambius B.V.;;1;;1;;;;;;;2
Anoniem_VWS_8;;;;;;1;;;;;1
Antalis B.V.;;;;;;;;;1;;1
ARAS Security B.V.;;;;;;;;;1;;1
Arenda Oomen Fotografie;;;;;;;;;1;;1
Argus Etiketten B.V.;;;;;;;;;1;;1
AtmR Gifts B.V.;;;;1;;;;;;;1
Avant La Lettre;;;;;;1;;;;;1
AVB Vertalingen;;;;;;;;;1;;1
B & D Handelsonderneming B.V.;;;;;;;;;1;;1
B. Kerkhof & Zn. B.V.;;;;1;;;;;;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;;;;;;;;1;;1
Banketbakkerij Boheemen;;;;;;;;;1;;1
Banketbakkerij Maison Kelder B.V.;;;;;;;;;1;;1
Banketbakkerij Theo Blom V.O.F.;;;;;;;;;1;;1
Ben Faydherbe;;;;;;2;;;;;2
Betalingen Binnenland;;;;;;1;;;;;1
BIGA Groep B.V.;;;;6;;;;;;;6
Bijenbaas B.V.;;1;;;;;;;;;1
Bilthoven Biologicals B.V.;;;;;;;;1;;;1
BioMed Central Limited;;;;;;2;;;;;2
Bohn Stafleu Van Loghum;;;;;;1;;;;;1
bol.com B.V.;;1;;;;;;;1;;1
Brinkman Agro B.V.;;;;;;;;;1;;1
Brood en Banket Margriet B.V.;;1;;;;;;;;;1
Bruil Facilitaire Service B.V.;;;;;;;;1;;;1
Buyitdirect.com B.V.;;;;;;2;;;;;2
CarePack Holland B.V.;;;;;1;;;;;;1
Cavalier International Air Freight B.V.;;;;;1;;;;;;1
Centrum Heartwork;;1;;;;;;;;;1
Cenveo Worldwide Limited Cenveo Publisher Services;;;;;;1;;;;;1
Chubb Fire & Security Groningen;;;1;;;;;;;;1
Co. Van Beek Tweewielers;;;;;;;;;1;;1
Coeman Packaging NV;;;;;1;;;;;;1
Compass Group Nederland B.V.;;;;;;;;;1;;1
Compass Group Nederland Holding B.V.;;;;;;;;;1;;1
Conrad Electronic Benelux B.V.;;1;;;;;;;1;;1
Continu Kantoor;;;;;;;;;1;;1
Coolblue B.V.;;;;;;;;;1;;1
CoolBlue BV PDAshop.nl/Smartphoneshop .nl;;1;;;;;;;1;;1
Copyright Clearance Center Inc.;;;;;;2;;;;;2
Cross Media Nederland B.V.;;;;;;1;;;;;1
Cryo Store B.V.;;;;;2;;;;;;2
Darpo Reklame B.V.;;;;;;;;;1;;1
De Feed Fabriek;;1;;;;;;;;;1
Deerns Nederland B.V.;;;4;;;;;;;;4
Den Ouden-Woonflair;;;;;;;;1;;;1
DHL Express bv (SameDay NL);;;;;1;;;;;;1
Digidentity BV;1;;;;;;;;;;1
Discountoffice.nl B.V.;;;;;;;;;1;;1
Dokkumer Vlaggen Centrale B.V.;;1;;;;;;;;;1
Drukbedrijf.nl B.V.;;;1;;;;;;;;1
Drukkerij All Print;;;;;;1;;;;;1
Drukkerij Van der Louw B.V.;;;;;;1;;;;;1
DSA Express Nederland B.V.;;;;;4;;;;;;4
Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;;;;;;1;;;;;1
E.Novation CRM Solutions B.V.;;;;;1;;;;;;1
Easy Ergonomics B.V.;;;;;;;;;1;;1
EcoGiving B.V.;;1;;;;;;;1;;1
Elis Nederland B.V.;;;;;;;;;2;;2
Elsevier B.V.;;;;;;3;;;;;3
Elsevier Journals Customer Services (Euro);;;;;;1;;;;;1
Enveloprint Benelux B.V.;;;;;;;;;1;;1
European Medicines Agency;;;;;;;;;;;
F.W. Advies B.V.;;;;;;1;;;;;1
Fa. van der Neut Uw Groene Vakwinkel;;1;;;;;;;;;1
Facilion B.V.;;;;;;;;;1;;1
Facility Trade Group;;3;;;;;;;;;3
faculteit Koninklijk Conservatorium;;;;;;1;;;;;1
Fallen Serenity Productions;;;;;;1;;;;;1
Federal Express Europe Inc.;;;;;1;;;;;;1
Frontiers Media SA;;;;;;1;;;;;1
