;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal;
365 dagen succesvol;;;;;1;;;;1;
3Stones Keniaans Restaurant;;;;;;1;;;1;
A Cup of Cake;;;1;;;;;;1;
A.S. Cramwinckel;;;;;;1;;;1;
a4 Training;;;;;4;;;1;4;
A5tien B.V.;;;;;1;;;;1;
ABC Dutch;;;;;1;;;;1;
About Flowers;;;1;;;;;;1;
Academie voor arbeidsmarktcommunicatie B.V.;;;;;1;;;;1;
Academie voor de Rechtspraktijk B.V.;;;;;1;;;;1;
Alexander Hotel B.V.;;;;;1;;;;1;
Alliance Francaise de La Haye;;;;;1;;;;1;
Amaze Escape Events;;;;;;1;;;1;
Ambidex Promotions B.V.;;;1;;;;;;1;
Anders Eigen;;;;;1;;;;1;
Anker & Kompas;;;;;1;;;;1;
Annelies Kraan Beheer B.V.;;;;;2;;;;2;
Annet de Boer;;;;;;1;;;1;
Arbo Unie;;1;;;;;;;1;
Ardis Opleidingen B.V.;;;;;6;;;;6;
ARQ IVP B.V.;;1;;;;;;;1;
Art Copy Team;;;;;;;;1;1;
Athene Palace Den Haag B.V.;;;;;;1;;;1;
Au Petit Pont;;;1;;;;;;1;
AVK Training & Coaching;;;;;1;;;;1;
B & T Productions;;;;;;1;;;1;
B.V. Leerdam Crystal;;;;;;;;1;1;
B+B Vakmedianet B.V.;;;;;1;;;;1;
Bakkerij C.J. van Kempen;;;1;;;;;;1;
Balans & Impuls B.V.;;2;;;;;;;2;
Banketbakkerij Boheemen;;;1;;;;;;1;
Bar Restaurant Pavlov B.V.;;;;;;2;;;2;
Barbarossa Beach B.V.;;;;;;1;;;1;
Battlefield Live Nederland B.V.;;;;;;1;;;1;
Beachclub Copacabana B.V.;;;;;;1;;;1;
Beachzone events;;;;;;1;;;1;
BeBright Consultancy B.V.;;;;;3;;;;3;
Becker & More Services;;;;;1;;;;1;
Beheer Centrum voor Mindfulness;;;;;1;;;;1;
Beleving aan zee;;;;;;1;;;1;
Berenschot Groep B.V.;;;;;3;;;;3;
