verkiezing;cbs_gemeentecode;gemeente;cbs_wijkcode;wijknaam;cbs_buurtcode;buurtnaam;bag_referentienummer_stembureau;stembureau_naam;VVD;Democraten 66 (D66);CDA;Partij van de Arbeid (P.v.d.A.);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);GROENLINKS;ChristenUnie;Partij voor de Dieren;Staatkundig Gereformeerde Partij (SGP);50PLUS;DENK;U26 GEMEENTEN;Forum voor Democratie;stembureau_x;stembureau_y;latitude;longitude;wijk_x;wijk_y;wijk_latitude;wijk_longitude;buurt_x;buurt_y;buurt_latitude;buurt_longitude;woonplaats;nr_stembureau
PS2019;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040107;Omgeving Goudestein;0333100000019517;Gemeentekantoor;219;113;83;85;43;18;129;38;33;5;19;5;4;123;130768;461900;52.14476;5.03320;132100;461987;52.14476;5.03320;130880;461879;52.14560;5.52647;Maarssen;1
PS2019;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040109;Lanenkwartier;0333100000009480;Woonzorgcentrum Maria Dommer;80;26;83;68;74;43;52;28;24;8;52;6;6;109;131158;461849;52.14432;5.03890;132100;461987;52.14432;5.03890;131117;461984;52.14560;5.52647;Maarssen;2
PS2019;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040115;Zeeheldenbuurt;0333100000013689;Basisschool de Klaroen;120;63;90;66;83;55;109;52;39;11;64;12;9;138;131379;462060;52.14622;5.04211;132100;461987;52.14622;5.04211;131371;462270;52.14560;5.52647;Maarssen;3
PS2019;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040112;Schilderskwartier;0333100000019854;KBS De Pionier;233;100;127;75;48;30;127;39;36;10;34;1;4;134;131695;461473;52.14096;5.04677;132100;461987;52.14096;5.04677;131469;461697;52.14560;5.52647;Maarssen;4
PS2019;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040105;Zandweg-Oostwaard;0333100000017478;Basisschool Het Kompas;173;88;74;86;39;12;154;20;28;5;21;0;4;84;132159;460927;52.13607;5.05358;132100;461987;52.13607;5.05358;132071;461001;52.14560;5.52647;Maarssen;5
PS2019;G1904;Stichtse Vecht;WK190411;Oud Zuilen;BU19041101;Oud Zuilen;0333100000015733;Restaurant Belle;269;108;66;59;11;14;142;33;46;0;11;0;5;94;133341;459915;52.12702;5.07091;133378;460449;52.12702;5.07091;133378;460449;52.13182;5.71418;Oud Zuilen;6
PS2019;G1904;Stichtse Vecht;WK190407;Tienhoven;BU19040703;Tienhoven-Oud Maarsseveen;0333100000012122;Dorpshuis de Veenkluit;144;63;116;50;49;42;134;30;57;21;19;2;2;128;134153;464206;52.16562;5.08251;134412;463412;52.16562;5.08251;135219;464551;52.15849;5.86349;Tienhoven;7
PS2019;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040110;Centrum ten zuiden van de Vecht;0333100000017852;Basisschool Het Kompas;216;100;124;64;33;35;109;42;37;5;21;1;5;114;131125;461311;52.13948;5.03845;132100;461987;52.13948;5.03845;131219;461334;52.14560;5.52647;Maarssen;8
PS2019;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040110;Centrum ten zuiden van de Vecht;0333100000016096;WereldKidz Palet (ingang Bolensteinseweg);291;138;109;75;36;18;173;40;42;2;31;0;3;83;131041;461277;52.13917;5.03723;132100;461987;52.13917;5.03723;131219;461334;52.14560;5.52647;Maarssen;9
PS2019;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041209;Bloemstede;0333100000016357;"KBS ""De Wilde Wingerd""";69;42;37;60;100;65;84;32;27;4;45;18;9;158;130646;459853;52.12635;5.03156;130202;460563;52.12635;5.03156;130699;459932;52.13271;5.25024;Maarssen;10
PS2019;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041204;Boomstede;0333100000017447;Scouting clubgebouw De Shelter;121;61;89;51;58;37;91;31;32;6;50;3;11;136;130839;459328;52.12164;5.03442;130202;460563;52.12164;5.03442;130463;459508;52.13271;5.25024;Maarssen;11
PS2019;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041203;Fazantenkamp;0333100000017957;WereldKidz Tweesprong Fazantenkamp;193;73;70;88;86;40;133;49;37;8;44;7;9;186;129727;460378;52.13103;5.01810;130202;460563;52.13103;5.01810;129895;460178;52.13271;5.25024;Maarssen;12
PS2019;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041208;Duivenkamp;0333100000021063;WereldKidz Tweesprong Duivenkamp;76;32;49;92;88;48;99;29;20;6;49;21;7;168;130210;460651;52.13351;5.02513;130202;460563;52.13351;5.02513;130337;460475;52.13271;5.25024;Maarssen;13
PS2019;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041205;Reigerskamp;0333100000020946;RK Verrijzenisgemeenschap;150;58;93;88;68;51;128;40;45;5;51;2;11;173;129723;460566;52.13272;5.01803;130202;460563;52.13272;5.01803;129546;460664;52.13271;5.25024;Maarssen;14
PS2019;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041215;Spechtenkamp;0333100000013945;De Werkspecht;89;43;37;60;89;36;74;32;25;4;35;13;10;144;129629;461157;52.13803;5.01661;130202;460563;52.13803;5.01661;129654;461287;52.13271;5.25024;Maarssen;15
PS2019;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041207;Valkenkamp;0333100000017975;De Valkenier;162;53;71;77;69;26;106;27;17;7;46;3;3;214;129515;461078;52.13731;5.01495;130202;460563;52.13731;5.01495;129285;461181;52.13271;5.25024;Maarssen;16
PS2019;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041206;Zwanenkamp;0333100000013240;KBS Fransiscus gymzaal nst schuur;147;47;57;67;99;49;92;39;36;3;46;18;4;188;129173;461548;52.14152;5.00992;130202;460563;52.14152;5.00992;129277;461718;52.13271;5.25024;Maarssen;17
PS2019;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041210;Zebraspoor;0333100000018802;Willem van Hoornhof;79;29;33;60;102;33;62;28;31;5;32;12;4;132;129600;461535;52.14142;5.01616;130202;460563;52.14142;5.01616;129812;461502;52.13271;5.25024;Maarssen;18
PS2019;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041212;Kamelenspoor;0333100000017406;De Kameleon;62;26;39;57;76;36;58;23;23;7;39;12;10;120;130013;461259;52.13896;5.02221;130202;460563;52.13896;5.02221;130194;461139;52.13271;5.25024;Maarssen;19
PS2019;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041214;Bisonspoor;1904100000038179;Zwembad Safari;167;69;78;122;118;65;127;39;51;1;56;15;15;186;130352;460878;52.13555;5.02719;130202;460563;52.13555;5.02719;130506;460848;52.13271;5.25024;Maarssen;20
PS2019;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040105;Zandweg-Oostwaard;0333100000017478;Basisschool Het Kompas;176;75;108;71;46;16;127;36;13;5;29;0;11;118;132147;460922;52.13603;5.05341;132100;461987;52.13603;5.05341;132071;461001;52.14560;5.52647;Maarssen;21
PS2019;G1904;Stichtse Vecht;WK190402;Breukelen;BU19040209;Landgoed Nijenrode;0311100000005088;Gemeentelijke sporthal;287;121;100;86;50;32;122;48;30;15;41;0;8;187;128472;464053;52.16400;4.99949;128474;464502;52.16400;4.99949;128783;463795;52.16803;4.99478;Breukelen;22
PS2019;G1904;Stichtse Vecht;WK190402;Breukelen;BU19040213;Breukelen Zuid;0311100000006432;Gemeentehuis Boom en Bosch;284;85;115;64;59;18;111;46;29;27;35;0;3;202;128905;464814;52.17086;5.00576;128474;464502;52.17086;5.00576;128701;464677;52.16803;4.99478;Breukelen;23
PS2019;G1904;Stichtse Vecht;WK190402;Breukelen;BU19040215;Breukelen Midden;0311100000006303;Woonzorgcentrum de Aa/Driestroom;103;41;117;72;57;48;71;43;25;8;67;6;5;131;128238;465461;52.17665;4.99595;128474;464502;52.17665;4.99595;128455;465128;52.16803;4.99478;Breukelen;24
PS2019;G1904;Stichtse Vecht;WK190402;Breukelen;BU19040215;Breukelen Midden;0311100000006233;OBS De Regenboog;137;76;75;49;22;15;90;42;21;18;31;0;3;73;128553;465327;52.17546;5.00057;128474;464502;52.17546;5.00057;128455;465128;52.16803;4.99478;Breukelen;25
