STRAATNAAM;BUURT;WIJK;STADSDEEL;FOTO;ID;COUNTER
Purmerendstraat;Leyenburg;Leyenburg;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Purmerendstraat.jpg;1197989;11
Breukelensestraat;Rustenburg;Rustenburg en Oostbroek;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Breukelensestraat.jpg;1197990;12
Drentheplantsoen;Morgenstond-west;Morgenstond;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Drentheplantsoen.jpg;1197991;13
2e Eeldepad;Morgenstond-zuid;Morgenstond;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\2eeeldepad.jpg;1197992;14
Van Swindenstraat;Rond de Energiecentrale;Regentessekwartier;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\VanSwindenstraat.jpg;1197993;15
Bosjes van Poot;Vogelwijk;Vogelwijk;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Bosjesvanpoot.jpg;1197994;16
Adriaan Coenenstraat;Oud Scheveningen;Scheveningen;Scheveningen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\AdriaanCoenenstraat.jpg;1197995;17
Van Boetzelaerlaan;Statenkwartier;Geuzen- en Statenkwartier;Scheveningen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\VanBoetzelaerlaan.jpg;1197996;18
Jan Vosstraat;Moerwijk-west;Moerwijk;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\JanVosstraat.jpg;1197997;19
Crispijnstraat;Zeeheldenkwartier;Zeeheldenkwartier;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Crispijnstraat.jpg;1197998;20
Van Damstraat;Schildersbuurt-west;Schildersbuurt;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\VanDamstraat.jpg;1197999;21
Delftselaan;Schildersbuurt-west;Schildersbuurt;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Delftselaan.jpg;1198000;22
Helena van Doeverenplantsoen;Zuidwal;Centrum;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\HelenavanDoeverenplantsoen.jpg;1198001;23
Rozemarijnstraat;Zuidwal;Centrum;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Rozemarijnstraat.jpg;1198002;24
Smitstraat;Transvaalkwartier-noord;Transvaalkwartier;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Smitstraat.jpg;1198003;25
De Bockstraat;Schildersbuurt-west;Schildersbuurt;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Stortenbekerstraat.jpg;1198004;26
Teniersstraat;Schildersbuurt-noord;Schildersbuurt;Centrum;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Tenierstraat.jpg;1198005;27
Beukplein;Bomenbuurt;Bomen- en Bloemenbuurt;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Beukplein.jpg;1198006;28
Bosbesstraat;Eykenduinen;Vruchtenbuurt;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Bosbesstraat.jpg;1198007;29
Copernicuslaan;Valkenboskwartier;Valkenboskwartier;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Copernicuslaan.jpg;1198008;30
Daguerrestraat;Valkenboskwartier;Valkenboskwartier;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Daguerrestraat.jpg;1198009;31
Goudsbloemlaan;Bloemenbuurt-oost;Bomen- en Bloemenbuurt;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Goudsbloemlaan.jpg;1198010;32
Irisplein;Bloemenbuurt-oost;Bomen- en Bloemenbuurt;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Irisplein.jpg;1198011;33
Kwartellaan;Vogelwijk;Vogelwijk;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Kwartellaan.jpg;1198012;34
Laan van Poot;Vogelwijk;Vogelwijk;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\LaanvanPoot.jpg;1198013;35
Loosduinseweg;Valkenboskwartier;Valkenboskwartier;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Loosduinseweg.jpg;1198014;36
Rossinilaan;Nieuw Waldeck;Waldeck;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Rossinilaan.jpg;1197969;37
Claude Debussystraat;Nieuw Waldeck;Waldeck;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\ClaudeDebussystraat.jpg;1197970;38
Jan Le Griepstraat;Kom Loosduinen;Loosduinen;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\JanleGriepstraat.jpg;1197971;39
Plantentuinen;Nieuw Waldeck;Waldeck;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Houttuinen.jpg;1197972;40
Kapelaan Meereboerweg;Houtwijk;Loosduinen;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\KapelaanMeereboerweg.jpg;1197973;41
King Olivereiland;Nieuw Waldeck;Waldeck;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\KingOliviereiland.jpg;1197974;42
Strausslaan;Nieuw Waldeck;Waldeck;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Strausslaan1.jpg;1197975;43
Symfoniestraat;Kom Loosduinen;Loosduinen;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Symfoniestraat2.jpg;1197976;44
Symfoniestraat;Kom Loosduinen;Loosduinen;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Symfoniestraat1.jpg;1197977;45
Symfoniestraat;Kom Loosduinen;Loosduinen;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Symfoniestraat.jpg;1197978;46
Cromvlietplein;Noordpolderbuurt;Laakkwartier en Spoorwijk;Laak;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Cromvlietplein.jpg;1198057;47
Nieuwe Scheveningse Bosjes;Duttendel;Westbroekpark en Duttendel;Scheveningen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Brusselselaan.jpg;1198058;48
Trekweg;Noordpolderbuurt;Laakkwartier en Spoorwijk;Laak;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Trekweg2.jpg;1198059;49
De Horst;Burgen en Hosten;Mariahoeve en Marlot;Haagse Hout;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\DeHorst2.jpg;1198060;50
Gerstkamp;Kampen;Mariahoeve en Marlot;Haagse Hout;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Gerstkamp.jpg;1198061;51
Gradaland;Landen;Mariahoeve en Marlot;Haagse Hout;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Gradaland.JPG;1198062;52
Haverkamp;Kampen;Mariahoeve en Marlot;Haagse Hout;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Haverkamp.jpg;1198063;53
Schenkweg;Bezuidenhout-west;Bezuidenhout;Haagse Hout;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\LaurensReaelstraat.jpg;1198064;54
Jan van Riebeekstraat;Bezuidenhout-west;Bezuidenhout;Haagse Hout;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\JanvanRiebeekstraat.jpg;1198067;55
Van Nijenrodestraat;Waalsdorp;Benoordenhout;Haagse Hout;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\VanNijenrodestraat.jpg;1198068;56
Pieter Bothstraat;Bezuidenhout-west;Bezuidenhout;Haagse Hout;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\PieterBothstraat.jpg;1198069;57
Van Soutelandelaan;Waalsdorp;Benoordenhout;Haagse Hout;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\VanSoutelandelaan.jpg;1198070;58
Clingendael;;;Haagse Hout;\\APPGISIB169P02\data\data\Gisibinspectie\Speelplaats\Foto\Clingendael1198071.jpg;1198071;59
Oostduin;Arendsdorp;Benoordenhout;Haagse Hout;\\APPGISIB169P02\data\data\Gisibinspectie\Speelplaats\Foto\Oostduin1198072.jpg;1198072;60
Berkebroeklaan;De Bras;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Berkebroeklaan.jpg;1198073;61
Van Campenvaart;Waterbuurt;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\Speelplaats\Foto\VanCampenvaart.jpg;1198076;62
Albert van Dalsumstraat;Zonne Veld;Wateringse Veld;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\AlbertvanDalsumstraat.jpg;1198077;63
Broekweg;Westvliet;Forepark;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Broekweg.jpg;1198078;64
Toscaninistraat;Nieuw Waldeck;Waldeck;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Toscaninistraat.jpg;1197979;1
Maurice Ravelweg;Nieuw Waldeck;Waldeck;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\MauriceRavelweg.jpg;1197980;2
Mecklenburgplein;Kom Loosduinen;Loosduinen;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Mecklenburgplein.jpg;1197981;3
Notenplein;Rosenburg;Waldeck;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Notenplein.jpg;1197982;4
Oude Haagweg;Nieuw Waldeck;Waldeck;Loosduinen;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\OudeHaagweg.jpg;1197983;5
Van Maerlantlaan;Moerwijk-noord;Moerwijk;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\VanMearlantlaan.jpg;1197984;6
Ootmarsumstraat;Morgenstond-zuid;Morgenstond;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Oltmarsumstraat.jpg;1197985;7
Uitgeeststraat;Leyenburg;Leyenburg;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Uitgeeststraat.jpg;1197986;8
Bovendijk;Lage Veld;Wateringse Veld;Escamp;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Bovendijk.jpg;1197987;9
Appelstraat;Vruchtenbuurt;Vruchtenbuurt;Segbroek;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Appelstraat.jpg;1197988;10
Wielerbaan;De Velden;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Wielerbaan.jpg;1198111;135
Middenstip;De Velden;Leidschenveen;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Middenstip.jpg;1198112;136
Oeverwallaan;De Bras;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\Oeverwallaan1.jpg;1198124;137
Gele Lis;De Bras;Ypenburg;Leidschenveen-Ypenburg;\\APPGISIB169P02\data\data\Gisibinspectie\SpeelplekFotoWebGIS\GeleLis.jpg;1198125;138
