OBJECTID,GZNIDENT,GZNSOORT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GEONAUWKEURIGHEID,ADMINNAUWKEURIGHEID,BETROUWBAARHEID,INWINNINGSWIJZE,INWINNINGSDATUM,BRON,IDEALISATIE,OPMERKINGEN,GEONAUWKEURIGHEID_Z,IWS_KWLTGEO,IWS_EIGENAAR,GLOBALID,LEG_ZIENSWIJZE,LEG_GEREED_VOOR_CL,KWKSTATU,WSZDEELGEBIED,Shape__Area,Shape__Length
1,BC26150,2,BLAEU,2015/06/30 00:00:00+00,FONSTEMMINK,2021/12/06 15:49:15+00,,,,,,,,,,,,a6c679ce-606f-49f1-bc23-535cfc4c85ad,,,,12,302126.17855835,30484.0874589849
2,BC26153,2,BLAEU,2015/06/30 00:00:00+00,FONSTEMMINK,2021/12/06 15:32:21+00,,,,,,,,,,,,3460651a-3f8e-44ed-8c95-06e63a254013,,,,12,13091.0330505371,1944.80499994681
3,BC26162,2,BLAEU,2015/06/30 00:00:00+00,JOSKOENJER,2019/11/28 13:11:34+00,,,,,,,,,,,,0f9c2ef5-397e-4150-baf1-c6523db6fe60,,,,20,1470.16928100586,240.178701068587
4,BC26177,2,BLAEU,2015/06/30 00:00:00+00,JOSKOENJER,2019/11/28 12:58:10+00,,,,,,,,,,,,c207e1dc-2646-4239-b387-ee9b1fdcdd41,,,,12,6843.91529083252,1035.51940083716
5,BC26187,2,BLAEU,2015/06/30 00:00:00+00,JOSKOENJER,2019/11/28 12:51:35+00,,,,,,,,,,,,bf1923ba-24ec-43b1-ad81-8219d3eb6591,,,,11,2111.9543762207,312.717320887845
6,BC26204,2,BLAEU,2015/06/30 00:00:00+00,JOSKOENJER,2020/06/09 07:02:27+00,,,,,,,,,,,,94358876-f5df-4d4f-9dab-5eeba93e694b,,,,14,4469.52269744873,643.931822385819
7,BC26208,2,BLAEU,2015/06/30 00:00:00+00,JOSKOENJER,2022/01/25 10:36:24+00,,,,,,,,,,,,2c77ab62-4712-4460-b124-bdd027848b8a,,,,11,43221.7906494141,6258.57388846321
8,BC26211,2,BLAEU,2015/06/30 00:00:00+00,JOSKOENJER,2020/06/08 14:40:10+00,,,,,,,,,,,,cac80026-b633-4173-a874-2d164761186d,,,,11,15106.265625,2388.05012840529
9,BC26248,2,BLAEU,2015/06/30 00:00:00+00,JOSKOENJER,2019/11/28 13:04:28+00,,,,,,,,,,,,4702465a-45eb-4317-ad03-2da8f108317a,,,,18,810.956703186035,163.747336981893
10,BC26472,2,BLAEU,2015/06/30 00:00:00+00,JOSKOENJER,2019/11/28 13:13:37+00,,,,,,,,,,,,6606113f-3d8e-4192-a8bf-8e5d402fc5d2,,,,23,461.720794677734,108.055383452756
11,BC26252,2,JKOENJER,2015/10/19 06:43:47+00,JOSKOENJER,2019/11/28 13:13:37+00,,,,,,,,,,,,3e6c1dcf-ead6-43cd-aab8-24f37a42c21c,,,,23,3833.12949371338,414.118808752625
12,BC43606,2,THESSANIJLAND,2016/05/26 07:36:39+00,JOSKOENJER,2019/11/28 12:58:10+00,,,,,,,,,,,,10f8a064-8100-4ab0-8b9c-615798bbc289,,,,12,3678.24898529053,520.955085134475
13,BC43611,2,THESSANIJLAND,2016/06/03 09:54:11+00,JOSKOENJER,2019/11/28 13:11:34+00,,,,,,,,,,,,31631e0d-79f5-4bb3-afbe-289eca73393e,,,,20,864.787483215332,111.909922443639
14,BC43613,2,THESSANIJLAND,2016/06/03 12:10:00+00,JOSKOENJER,2019/11/28 13:11:34+00,,,,,,,,,,,,0ea23ba1-6f62-46e6-aa4b-302a86c2afca,,,,20,3966.04378509521,504.196976575861
15,BC43621,2,THESSANIJLAND,2016/06/14 08:28:42+00,JOSKOENJER,2019/11/28 13:11:34+00,,,,,,,,,,,,e89eeef2-522d-4dc9-b823-30429c24acfa,,,,20,895.324371337891,107.078762961072
16,BC74623,2,JOSKOENJER,2017/02/20 09:59:10+00,HENKRINSMA,2021/01/20 06:40:22+00,,,,,,Intern,,31-05-2017 HR Revisie Wetering Oost en West,,,,78b9ca0d-36dd-4213-82c7-e901134fcf9a,,,,8,3731412.69835663,104514.248264079
17,BC79758,2,JOSKOENJER,2017/03/09 12:50:39+00,HENKRINSMA,2020/06/08 04:20:50+00,,,,,,,,,,,,0c0fde82-8111-4c6c-89f5-06d4f7f14b03,,,,8,11302.9176025391,1742.41246284186
18,BC80386,2,JOSKOENJER,2017/03/10 08:14:50+00,JOSKOENJER,2021/08/02 12:35:59+00,,,,,,,,,,,,11c16f18-4cc1-4ad0-8420-deb9bf4bc57f,,,,8,58144.3616485596,5793.86590422421
19,BC80389,2,JOSKOENJER,2017/03/10 08:16:59+00,HENKRINSMA,2020/07/28 06:51:48+00,,,,,,,,,,,,2495600f-7f39-42be-aefc-b05b705f8c24,,,,8,34860.832901001,5008.50248522509
20,BC80393,2,JOSKOENJER,2017/03/10 08:21:13+00,HENKRINSMA,2020/08/31 13:01:17+00,,,,,,,,,,,,672e5128-b444-45d9-b86f-6f783eabebb9,,,,8,70663.3554840088,9166.53275174616
21,BC86149,2,JOSKOENJER,2017/03/31 10:12:56+00,FONSTEMMINK,2021/01/19 13:26:11+00,,,,,,,,,,,,8bbb5476-b275-4400-9b4f-7b0b708d9987,,,,7,16203.0515823364,2481.21932697381
22,BC87754,2,HENKRINSMA,2017/04/25 07:03:13+00,JOSKOENJER,2022/01/24 13:13:04+00,,,,,,BGT,,24-04-2017 HR BGT,,,,895b380b-c4f0-4961-b82a-61b4ff7f52ce,,,,4,3728854.52957153,331002.592791593
