OBJECTID,FYSIEK_VOORKOMEN,OP_TALUD,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,SUBTYPE,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,TIJDSTIP_REGISTRATIE,Shape__Area,Shape__Length
33,open verharding: gebakken klinkers,Nee,G0307,Amersfoort,bestaand,0,verkeerseiland,2.487,283,,2018/04/06 16:57:11+00,2.486367925,7.18852667485839
34,open verharding,Nee,G1916,Leidschendam-Voorburg,bestaand,0,verkeerseiland,75.03,283,,2017/12/11 21:27:52+00,75.030314,239.114327775048
35,open verharding,Nee,G1916,Leidschendam-Voorburg,bestaand,0,verkeerseiland,54.181,283,,2021/12/16 16:06:33+00,54.18056903,49.576521998443
36,open verharding: gebakken klinkers,Nee,G1916,Leidschendam-Voorburg,bestaand,0,verkeerseiland,9.81,283,,2019/10/17 12:37:40+00,9.8100515,15.0379100945528
37,open verharding,Nee,G1892,Zuidplas,bestaand,0,verkeerseiland,12.479,283,,2014/09/16 13:46:48+00,12.479147,15.8643756364326
38,open verharding,Nee,G0059,Achtkarspelen,bestaand,0,verkeerseiland,20.38,283,,2017/11/01 16:02:46+00,20.3796205,20.8190187591188
39,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,3.316,283,,2015/11/06 08:29:42+00,3.316089,7.06128684044546
40,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,2.555,283,,2015/11/06 08:29:42+00,2.554719,11.1636214091937
41,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,5.932,283,,2015/11/06 08:29:42+00,5.9323375,10.6005972041199
42,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,2.242,283,,2015/11/06 08:29:42+00,2.2423395,5.81660556941216
43,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,3.139,283,,2015/11/06 08:29:42+00,3.1388205,9.61785528109044
44,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,1.779,283,,2015/11/06 08:29:42+00,1.7786865,4.81078611176052
45,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,6.3,283,,2015/11/06 08:29:42+00,6.299906,10.1621215956715
46,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,26.887,283,,2015/11/06 08:29:42+00,26.886734,25.4157707347629
47,gesloten verharding: cementbeton,Nee,G1904,Stichtse Vecht,bestaand,0,verkeerseiland,12.414,283,,2022/11/11 08:33:59+00,12.4139205,61.1986511855357
48,gesloten verharding: cementbeton,Nee,G1904,Stichtse Vecht,bestaand,0,verkeerseiland,22.231,283,,2022/11/11 08:33:59+00,22.2312005,115.059169241531
49,gesloten verharding: cementbeton,Nee,G1904,Stichtse Vecht,bestaand,0,verkeerseiland,13.03,283,,2022/11/11 08:33:59+00,13.0296665,75.4109013284841
50,open verharding: betonstraatstenen,Nee,G0303,Dronten,bestaand,0,verkeerseiland,6.356,283,,2019/04/08 08:40:24+00,6.3560055,12.6173949699739
51,open verharding,Nee,G1916,Leidschendam-Voorburg,bestaand,0,verkeerseiland,5.124,283,,2021/12/16 16:06:33+00,5.122765665,9.05599977683918
52,open verharding,Nee,G1916,Leidschendam-Voorburg,bestaand,0,verkeerseiland,4.594,283,,2021/12/16 16:06:33+00,4.5940905,8.63906423288101
53,open verharding: betonstraatstenen,Nee,G0983,Venlo,bestaand,0,verkeerseiland,4.735,283,,2022/01/06 11:11:54+00,4.735169,11.3126220970219
54,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,6.743,283,,2015/09/09 12:59:55+00,6.74154836,11.4467574163754
55,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,6.807,283,,2018/11/12 14:53:24+00,6.806700915,15.0622602048911
56,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,6.345,283,,2014/10/17 15:02:02+00,6.342846915,10.8303358984148
57,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,1.189,283,,2015/03/13 10:12:37+00,1.18731421,4.12539476059038
58,open verharding: betonstraatstenen,Nee,G1730,Tynaarlo,bestaand,0,verkeerseiland,208.994,283,,2021/12/08 16:25:26+00,208.89376535,73.9769669633702
59,open verharding: betonstraatstenen,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,3.003,283,,2021/09/18 10:35:42+00,3.0028155,10.9976147214894
60,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,1.209,283,,2015/03/13 10:12:37+00,1.207797385,4.12256111896375
61,open verharding: betonstraatstenen,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,15.178,283,,2016/10/07 19:16:22+00,15.175938945,15.5594973905386
62,open verharding: betonstraatstenen,Nee,G0484,Alphen aan den Rijn,bestaand,0,verkeerseiland,2.037,283,,2019/01/17 13:16:51+00,2.03595628,5.62005049815244
63,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,21.965,283,,2015/09/09 12:59:55+00,21.956199905,39.0679478736525
64,groenvoorziening: gras- en kruidachtigen,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,132.064,283,,2021/06/17 10:23:24+00,131.895874145,40.7247511190357
65,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,22.358,283,,2021/09/07 07:32:58+00,22.355534625,21.1080982499144
66,open verharding: betonstraatstenen,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,11.423,283,,2014/10/06 15:25:09+00,11.422471205,14.869887954045
67,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,27.987,283,,2014/10/17 15:02:02+00,27.868522295,94.749557523712
68,open verharding,Nee,G0268,Nijmegen,bestaand,0,verkeerseiland,3.302,283,,2019/08/14 09:17:43+00,3.30002682,8.39629070680371
69,gesloten verharding: asfalt,Nee,G0345,Veenendaal,bestaand,0,verkeerseiland,3.547,283,,2021/02/02 16:54:35+00,3.547344,8.85799825373446
70,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,14.903,283,,2014/10/17 15:02:02+00,14.90274417,25.8585517302587
71,open verharding: betonstraatstenen,Nee,G0935,Maastricht,bestaand,0,verkeerseiland,7.06,283,,2018/11/06 12:04:59+00,7.059268555,15.0233300103178
72,open verharding,Nee,G0080,Leeuwarden,bestaand,0,verkeerseiland,4.287,283,,2021/01/12 15:05:14+00,4.286989,11.5618757000024
73,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,77.762,283,,2014/10/17 15:02:02+00,77.69558954,79.0795812372985
74,gesloten verharding: cementbeton,Nee,G0301,Zutphen,bestaand,0,verkeerseiland,1.422,283,,2022/12/16 15:13:08+00,1.421710655,4.64546730392136
75,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,34.16,283,,2014/10/17 15:02:02+00,34.12300399,28.9869690075262
76,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,32.903,283,,2014/10/17 15:02:02+00,32.87743124,29.8744163864812
77,open verharding: betonstraatstenen,Nee,G0301,Zutphen,bestaand,0,verkeerseiland,6.731,283,,2022/12/16 15:13:08+00,6.729418705,10.3356126156684
78,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,0.852,283,,2021/09/18 10:35:42+00,0.85186314,3.87487606363134
79,groenvoorziening: planten,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,125.931,283,,2021/06/17 10:23:24+00,125.758751335,97.6450426034346
80,open verharding: betonstraatstenen,Nee,G0301,Zutphen,bestaand,0,verkeerseiland,3.349,283,,2022/12/16 15:13:08+00,3.348573,11.0970029891334
81,gesloten verharding: cementbeton,Nee,P0025,Gelderland,bestaand,0,verkeerseiland,25.101,283,,2014/10/17 15:02:02+00,25.076696115,21.6664084909526
82,open verharding,Nee,G1742,Rijssen-Holten,bestaand,0,verkeerseiland,8.804,283,,2015/11/20 10:55:54+00,8.80183896,11.4996058744454
83,open verharding,Nee,G1742,Rijssen-Holten,bestaand,0,verkeerseiland,8.713,283,,2015/11/20 10:55:54+00,8.71124596,11.457674886866
84,open verharding: beton element,Nee,G0473,Zandvoort,bestaand,0,verkeerseiland,1.194,283,,2021/01/13 14:44:27+00,1.19397,8.5627536101473
85,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,23.599,283,,2015/11/06 09:11:47+00,23.5994245,20.5879013196353
86,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,1.789,283,,2015/11/06 09:11:47+00,1.788832,5.16897396040039
87,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,13.237,283,,2015/11/06 09:11:47+00,13.23729,20.8704648415542
88,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,7.533,283,,2015/11/06 09:11:47+00,7.533278,16.8378905377156
89,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,5.858,283,,2015/11/06 09:11:47+00,5.8583915,10.9290653108851
90,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,68.654,283,,2015/11/06 09:11:47+00,68.6543425,304.9501046385
91,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,6.892,283,,2015/11/06 09:11:47+00,6.8922175,12.0445857872075
92,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,7.029,283,,2015/11/06 09:11:47+00,7.0285155,10.6520182145204
93,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,7.161,283,,2015/11/06 09:11:47+00,7.1613405,16.7132645152406
94,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,7.526,283,,2015/11/06 09:11:47+00,7.5259855,16.8089437647687
95,open verharding,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,154.42,283,,2015/11/06 09:11:47+00,154.42026,200.896527559368
96,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,10.829,283,,2015/11/06 09:11:47+00,10.8288,13.4132951953864
97,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,4.357,283,,2015/11/06 09:11:47+00,4.357333,11.1228631298678
98,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,29.617,283,,2015/11/06 09:11:47+00,29.617319,22.2611599905055
99,gesloten verharding: asfalt,Nee,G0505,Dordrecht,bestaand,0,verkeerseiland,7.541,283,,2015/11/06 09:11:47+00,7.5413655,16.848008133563
100,open verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,31.445,283,,2015/01/26 15:17:41+00,31.43758134,22.0624228259566
101,open verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,24.763,283,,2015/08/06 07:12:37+00,24.68389609,20.8948356620014
102,open verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,6.518,283,,2014/06/26 08:02:38+00,6.51505545,9.42647027856907
103,open verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,5.763,283,,2013/07/25 07:54:59+00,5.761123415,9.88429898346028
104,open verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,14.625,283,,2021/10/06 10:24:39+00,14.62325842,21.2794049533157
105,open verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,3.723,283,,2013/08/27 08:00:10+00,3.721753785,9.11233338312736
106,open verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,11.507,283,,2015/10/14 13:26:52+00,11.50037479,12.4417027644655
107,open verharding: betonstraatstenen,Nee,G0268,Nijmegen,bestaand,0,verkeerseiland,0.639,283,,2017/09/22 10:45:18+00,0.637713435,2.83422320143547
108,gesloten verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,58.311,283,,2013/08/26 12:52:31+00,58.3075561,47.2808789917229
109,open verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,37.825,283,,2015/09/25 09:59:36+00,37.719425775,26.5087430671038
110,open verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,3.773,283,,2020/06/09 11:02:45+00,3.772743295,9.14593886332994
111,open verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,62.887,283,,2013/08/27 08:00:09+00,62.90450579,53.0554352807907
112,open verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,11.364,283,,2017/01/30 17:33:45+00,11.36337994,20.8177262420107
113,open verharding: beton element,Nee,G0014,Groningen,bestaand,0,verkeerseiland,19.43,283,,2020/06/12 13:37:38+00,19.430483,110.566874151007
114,gesloten verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,261.76,283,,2017/01/05 16:36:14+00,261.52852382,59.3140784723773
115,gesloten verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,37.293,283,,2014/08/08 13:35:39+00,37.159855175,27.0746035563946
116,open verharding: tegels,Nee,G0014,Groningen,bestaand,0,verkeerseiland,74.17,283,,2022/02/25 12:09:34+00,74.169852,63.6385133693635
117,open verharding,,G0599,Rotterdam,bestaand,0,verkeerseiland,11.786,283,,2015/09/04 07:53:27+00,11.785094305,24.6688334308519
