FID,omschr,code,rijstrknrs,wegdeelltr,kmtr,wegnummer,fk_veld4,ibn,gdb_geomattr_data,shape
strooksignalering_kenmerk.1,Autosnelwegsignalering,AU,12,R,57.37400055,006,KPK0000915361,I,,POINT (148829.2226999998 487997.61840000004)
strooksignalering_kenmerk.2,Autosnelwegsignalering,AU,21,R,58.08399963,006,KPK0000915367,I,,POINT (149390.42300000042 488415.7884999998)
strooksignalering_kenmerk.3,Kruis-pijlsignalering,KP,12,R,58.08399963,006,KPK0000915368,I,,POINT (149390.42300000042 488415.7884999998)
strooksignalering_kenmerk.4,Kruis-pijlsignalering,KP,123,R,58.79999924,006,KPK0000915371,I,,POINT (150007.38439999893 488780.5309000015)
strooksignalering_kenmerk.5,Autosnelwegsignalering,AU,123,R,58.79999924,006,KPK0000915372,I,,POINT (150007.38439999893 488780.5309000015)
strooksignalering_kenmerk.6,Kruis-pijlsignalering,KP,12,R,59.19800186,006,KPK0000915376,I,,POINT (150354.18050000072 488979.7890999988)
strooksignalering_kenmerk.7,Autosnelwegsignalering,AU,12,R,59.19800186,006,KPK0000915377,I,,POINT (150354.18050000072 488979.7890999988)
strooksignalering_kenmerk.8,Kruis-pijlsignalering,KP,12,R,57.44599915,006,KPK0000915387,I,,POINT (148989.85130000114 487850.4605999999)
strooksignalering_kenmerk.9,Autosnelwegsignalering,AU,12,R,57.44599915,006,KPK0000915388,I,,POINT (148989.85130000114 487850.4605999999)
strooksignalering_kenmerk.10,Autosnelwegsignalering,AU,12,R,48.93500137,006,KPK0000915263,I,,POINT (141800.55460000038 484617.84809999913)
strooksignalering_kenmerk.11,Kruis-pijlsignalering,KP,123,R,49.77000046,006,KPK0000915271,I,,POINT (142546.313000001 485014.1682000011)
strooksignalering_kenmerk.12,Autosnelwegsignalering,AU,12,R,51.08499908,006,KPK0000915277,I,,POINT (143843.1737000011 485200.31529999897)
strooksignalering_kenmerk.13,Kruis-pijlsignalering,KP,1234,R,56.64300156,006,KPK0000934403,I,,POINT (148335.34109999985 487476.76469999924)
strooksignalering_kenmerk.14,Autosnelwegsignalering,AU,1234,R,56.64300156,006,KPK0000934404,I,,POINT (148335.34109999985 487476.76469999924)
strooksignalering_kenmerk.15,Autosnelwegsignalering,AU,1234,R,56.88800049,006,KPK0000934406,I,,POINT (148479.684799999 487681.9624999985)
strooksignalering_kenmerk.16,Kruis-pijlsignalering,KP,1234,R,56.88800049,006,KPK0000934407,I,,POINT (148479.684799999 487681.9624999985)
strooksignalering_kenmerk.17,Kruis-pijlsignalering,KP,12,R,57.28699875,006,KPK0000934411,I,,POINT (148726.4668999985 487980.42449999973)
strooksignalering_kenmerk.18,Autosnelwegsignalering,AU,12,R,57.28699875,006,KPK0000934412,I,,POINT (148726.4668999985 487980.42449999973)
strooksignalering_kenmerk.19,Autosnelwegsignalering,AU,12345,R,12.51200008,004,KPK0001103739,I,,POINT (108811.36419999972 476771.91970000044)
strooksignalering_kenmerk.20,Kruis-pijlsignalering,KP,12345,R,12.51200008,004,KPK0001103740,I,,POINT (108811.36419999972 476771.91970000044)
strooksignalering_kenmerk.21,Kruis-pijlsignalering,KP,12,R,133.74899292,012,KPK0001085874,I,,POINT (195383.09219999984 444027.2835999988)
strooksignalering_kenmerk.22,Autosnelwegsignalering,AU,12,R,133.74899292,012,KPK0001085875,I,,POINT (195383.09219999984 444027.2835999988)
strooksignalering_kenmerk.23,Kruis-pijlsignalering,KP,12,R,134.28300476,012,KPK0001085877,I,,POINT (195833.4448999986 443743.24219999835)
strooksignalering_kenmerk.24,Autosnelwegsignalering,AU,12,R,134.28300476,012,KPK0001085878,I,,POINT (195833.4448999986 443743.24219999835)
strooksignalering_kenmerk.25,Autosnelwegsignalering,AU,123,R,134.76400757,012,KPK0001085882,I,,POINT (196164.0208999999 443405.10379999876)
strooksignalering_kenmerk.26,Kruis-pijlsignalering,KP,123,R,134.76400757,012,KPK0001085883,I,,POINT (196164.0208999999 443405.10379999876)
strooksignalering_kenmerk.27,Kruis-pijlsignalering,KP,123,R,135.14199829,012,KPK0001085884,I,,POINT (196394.0870999992 443105.5584000014)
strooksignalering_kenmerk.28,Autosnelwegsignalering,AU,123,R,135.14199829,012,KPK0001085885,I,,POINT (196394.0870999992 443105.5584000014)
strooksignalering_kenmerk.29,Autosnelwegsignalering,AU,12345,R,13.14099979,004,KPK0001103741,I,,POINT (108391.9263000004 476301.84490000084)
strooksignalering_kenmerk.30,Kruis-pijlsignalering,KP,12345,R,13.14099979,004,KPK0001103742,I,,POINT (108391.9263000004 476301.84490000084)
strooksignalering_kenmerk.31,Kruis-pijlsignalering,KP,12345,R,13.63099957,004,KPK0001103743,I,,POINT (108065.98570000008 475938.6563999988)
strooksignalering_kenmerk.32,Autosnelwegsignalering,AU,12345,R,13.63099957,004,KPK0001103744,I,,POINT (108065.98570000008 475938.6563999988)
strooksignalering_kenmerk.33,Kruis-pijlsignalering,KP,123,R,76.60399628,004,KPK0001103831,I,,POINT (86494.10520000011 431991.47470000014)
strooksignalering_kenmerk.34,Autosnelwegsignalering,AU,123,R,76.60399628,004,KPK0001103832,I,,POINT (86494.10520000011 431991.47470000014)
strooksignalering_kenmerk.35,Kruis-pijlsignalering,KP,1234,R,76.86699677,004,KPK0001103834,I,,POINT (86763.70910000056 432073.9695999995)
strooksignalering_kenmerk.36,Autosnelwegsignalering,AU,1234,R,76.86699677,004,KPK0001103835,I,,POINT (86763.70910000056 432073.9695999995)
strooksignalering_kenmerk.37,Kruis-pijlsignalering,KP,12,R,17.32500076,020,KPK0001113773,I,,POINT (78735.83159999922 437781.3881999999)
strooksignalering_kenmerk.38,Autosnelwegsignalering,AU,12,R,17.32500076,020,KPK0001113774,I,,POINT (78735.83159999922 437781.3881999999)
strooksignalering_kenmerk.39,Autosnelwegsignalering,AU,12,R,17.65699959,020,KPK0001113775,I,,POINT (79055.83920000121 437709.42229999974)
strooksignalering_kenmerk.40,Kruis-pijlsignalering,KP,12,R,17.65699959,020,KPK0001113776,I,,POINT (79055.83920000121 437709.42229999974)
strooksignalering_kenmerk.41,Autosnelwegsignalering,AU,123,R,34.40000153,002,KPK0001084613,I,,POINT (124108.7239000015 479476.35060000047)
strooksignalering_kenmerk.42,Kruis-pijlsignalering,KP,123,R,34.40000153,002,KPK0001084614,I,,POINT (124108.7239000015 479476.35060000047)
strooksignalering_kenmerk.43,Autosnelwegsignalering,AU,1,R,34.83399963,002,KPK0001084615,I,,POINT (124326.88929999992 479107.9193000011)
strooksignalering_kenmerk.44,Kruis-pijlsignalering,KP,1,R,34.83399963,002,KPK0001084616,I,,POINT (124326.88929999992 479107.9193000011)
strooksignalering_kenmerk.45,Autosnelwegsignalering,AU,12,R,38.10300064,016,KPK0001076243,I,,POINT (104078.7976000011 421062.7094999999)
strooksignalering_kenmerk.46,Kruis-pijlsignalering,KP,12,R,38.10300064,016,KPK0001076244,I,,POINT (104078.7976000011 421062.7094999999)
strooksignalering_kenmerk.47,Kruis-pijlsignalering,KP,1,R,38.82400131,016,KPK0001076249,I,,POINT (103944.91750000045 420360.5370000005)
strooksignalering_kenmerk.48,Autosnelwegsignalering,AU,1,R,38.82400131,016,KPK0001076250,I,,POINT (103944.91750000045 420360.5370000005)
strooksignalering_kenmerk.49,Kruis-pijlsignalering,KP,1234,R,35.68399811,002,KPK0001084620,I,,POINT (124715.98330000043 478348.87950000167)
strooksignalering_kenmerk.50,Autosnelwegsignalering,AU,1234,R,35.68399811,002,KPK0001084621,I,,POINT (124715.98330000043 478348.87950000167)
strooksignalering_kenmerk.51,Autosnelwegsignalering,AU,1234,R,35.88499832,002,KPK0001084622,I,,POINT (124812.86609999835 478165.95430000126)
strooksignalering_kenmerk.52,Kruis-pijlsignalering,KP,1234,R,35.88499832,002,KPK0001084623,I,,POINT (124812.86609999835 478165.95430000126)
strooksignalering_kenmerk.53,Autosnelwegsignalering,AU,12,R,34.80599976,002,KPK0001084632,I,,POINT (124259.77320000157 479099.55490000173)
strooksignalering_kenmerk.54,Kruis-pijlsignalering,KP,12,R,34.80599976,002,KPK0001084633,I,,POINT (124259.77320000157 479099.55490000173)
strooksignalering_kenmerk.55,Autosnelwegsignalering,AU,12,R,35.57699966,002,KPK0001084635,I,,POINT (124631.94819999859 478911.72309999913)
strooksignalering_kenmerk.56,Kruis-pijlsignalering,KP,12,R,35.57699966,002,KPK0001084636,I,,POINT (124631.94819999859 478911.72309999913)
strooksignalering_kenmerk.57,Kruis-pijlsignalering,KP,1,R,5.7670002,013,KPK0001068109,I,,POINT (84036.13129999861 450524.1616999991)
strooksignalering_kenmerk.58,Autosnelwegsignalering,AU,1,R,5.7670002,013,KPK0001068110,I,,POINT (84036.13129999861 450524.1616999991)
strooksignalering_kenmerk.59,Autosnelwegsignalering,AU,1,R,5.90199995,013,KPK0001068112,I,,POINT (83954.66809999943 450377.2184999995)
strooksignalering_kenmerk.60,Kruis-pijlsignalering,KP,1,R,5.90199995,013,KPK0001068113,I,,POINT (83954.66809999943 450377.2184999995)
strooksignalering_kenmerk.61,Autosnelwegsignalering,AU,12,R,134.75799561,012,KPK0001085715,I,,POINT (196138.0535000004 443385.5544000007)
strooksignalering_kenmerk.62,Kruis-pijlsignalering,KP,12,R,134.75799561,012,KPK0001085716,I,,POINT (196138.0535000004 443385.5544000007)
strooksignalering_kenmerk.63,Autosnelwegsignalering,AU,12,R,135.54299927,012,KPK0001085719,I,,POINT (196622.92460000142 442763.1367000006)
strooksignalering_kenmerk.64,Kruis-pijlsignalering,KP,12,R,135.54299927,012,KPK0001085720,I,,POINT (196622.92460000142 442763.1367000006)
strooksignalering_kenmerk.65,Kruis-pijlsignalering,KP,12345,R,6.26499987,009,KPK0001085410,I,,POINT (128817.63100000098 481590.623300001)
strooksignalering_kenmerk.66,Autosnelwegsignalering,AU,12345,R,6.26499987,009,KPK0001085411,I,,POINT (128817.63100000098 481590.623300001)
strooksignalering_kenmerk.67,Kruis-pijlsignalering,KP,12345,R,6.59499979,009,KPK0001085414,I,,POINT (128616.6959999986 481322.6862999983)
strooksignalering_kenmerk.68,Autosnelwegsignalering,AU,12345,R,6.59499979,009,KPK0001085415,I,,POINT (128616.6959999986 481322.6862999983)
strooksignalering_kenmerk.69,Autosnelwegsignalering,AU,12,R,7.09499979,009,KPK0001085427,I,,POINT (128245.40439999849 480997.6867999993)
strooksignalering_kenmerk.70,Kruis-pijlsignalering,KP,12,R,7.09499979,009,KPK0001085428,I,,POINT (128245.40439999849 480997.6867999993)
strooksignalering_kenmerk.71,Kruis-pijlsignalering,KP,123,R,7.28999996,009,KPK0001085429,I,,POINT (128083.7162999995 480888.77270000055)
strooksignalering_kenmerk.72,Autosnelwegsignalering,AU,123,R,7.28999996,009,KPK0001085430,I,,POINT (128083.7162999995 480888.77270000055)
strooksignalering_kenmerk.73,Autosnelwegsignalering,AU,123,R,7.51000023,009,KPK0001085431,I,,POINT (127892.78350000083 480779.57930000126)
strooksignalering_kenmerk.74,Kruis-pijlsignalering,KP,123,R,7.51000023,009,KPK0001085432,I,,POINT (127892.78350000083 480779.57930000126)
strooksignalering_kenmerk.75,Autosnelwegsignalering,AU,123,R,7.75,009,KPK0001085433,I,,POINT (127676.44810000062 480675.75560000166)
