OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_T,OFFSET,OFFSET_T,X,Y,Z,GELDIG_VANAF,PUBLICATIEDATUM,IN_GEBRUIK,LATITUDE,LONGITUDE,KM_GEOCODE
1,e8526ab4-de23-4c3a-9dee-6b8326086dec,TI_2L,60,Bestaand,485,d,485,485_d,Amsterdam Hemhaven (gebied),Awhv-Chv,Amsterdam Westhaven (gebied) - Amsterdam Coenhaven ,"100,113108",76.516171,"76,516171",118607.701,490486.347,1.05699999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.40100563,4.85246681,100.113108
2,29acc395-747d-4a3a-860a-a4e50231e691,TI_5L,283,Bestaand,778,,778,778__,Gronau (D) - Enschede Grens,G-Esg,Gronau (D) - Enschede Grens ,"54,678008",313.659031,"313,659031",268210.416,470734.602,39.381,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.21306642,7.04375139,54.678008
3,ea31fee1-ec9f-410f-b8d7-8da380d40b8e,TI_X0334R,60,Bestaand,063,,63,063__,Maastricht - Sittard,Mt-Vl,Maastricht - Venlo ,"17,593321",-120.929644,"-120,929644",185359.29699999,331586.309,67.63299999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,50.97315123,5.81942522,17.593321
4,edbde8fb-0309-479e-88b9-f839f9a61a4e,TI_X0017L,283,Bestaand,804,b,804,804_b,"Beverwijk Hoogovens, Van Gelder",Bvhca-Bvhc,Beverwijk Hoogovens Centraal Aansl. - Beverwijk Hoogovens Centraal ,"202,212017",-202.484582,"-202,484582",103281.274,499429.318,3.958,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.48014341,4.62590041,202.212017
5,35355837-000d-4cd5-acdf-4558ceb84162,TI_X0080R,283,Bestaand,775,,775,775__,Nieuweschans Grens - Weener (D),Nscg-Wr,Nieuweschans Grens - Weener (D) ,"8,175752",9.897383,"9,897383",285589.38699999,577040.258,2.17399999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,,,8.175752
6,002a89d9-2679-4d2c-9d24-20946bde4597,TI_W2014R,60,Bestaand,115,d,115,115_d,Schiedam Centrum - Vlaardingen Vulcaanhaven,Sdmga-Vdgvch,Schiedam Goederenoverdrachtspoor Aansluiting -  Vlaardingen Vulcaanhaven ,"501,286527",-7.784003,"-7,784003",86614.547,437997.799,0.951,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,51.92624715,4.39298882,501.286527
7,73500d66-7851-4d62-b0bf-42dd756a8f93,TI_X0050R,283,Bestaand,804,b,804,804_b,"Beverwijk Hoogovens, Van Gelder",Bvhca-Bvhc,Beverwijk Hoogovens Centraal Aansl. - Beverwijk Hoogovens Centraal ,"202,259000",68.359225,"68,359225",103260.023,499704.10999999,6.543,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.48261088,4.62554506,202.259
8,20c91520-c7c5-45db-8b20-0296fafa504b,TI_W2026R,60,Bestaand,115,d,115,115_d,Schiedam Centrum - Vlaardingen Vulcaanhaven,Sdmga-Vdgvch,Schiedam Goederenoverdrachtspoor Aansluiting -  Vlaardingen Vulcaanhaven ,"503,756956",0.617876,"0,617876",84682.652,436499.68199999,3.434,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,51.9125426,4.36521258,503.756956
9,818d34c4-8b3e-4ab4-83ec-a072e4735870,TI_4V,283,Bestaand,778,,778,778__,Gronau (D) - Enschede Grens,G-Esg,Gronau (D) - Enschede Grens ,"54,976125",-448.931448,"-448,931448",267593.446,470247.70199999,37.622,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.20881801,7.03456536,54.976125
10,489bdba5-a207-424f-92e0-a0811e4fca7b,TI_11V,283,Bestaand,790,,790,790__,Gent (B) - Zelzate (B),Gent-Fsz,Gent (B) - Zelzate (B) ,"25,101000",166.965755,"166,965755",43673.517,356594.62599999,6.158,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,51.18784531,3.79474785,25.101
11,b3cbc9d0-94ad-4a69-aa00-45ba41daf470,TI_1R,283,Bestaand,777,,777,777__,Oldenzaal Grens - Bad Bentheim (D),Bh-Odzg,Bad Bentheim (D) - Oldenzaal Grens ,"12,557372",2.412262,"2,412262",276848.92999999,481912.304,51.50699999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.31164836,7.17412824,12.557372
12,dbd53324-bfc3-4b21-a72c-dacbc7ae0a10,TI_2WR,283,Bestaand,787,,787,787__,Hazeldonk Grens - Noorderkempen (B),Andd-Bdgr,Antwerpen Noorderdokken - Breda Grens  ,"48,800000",-108.958956,"-108,958956",88076.13899999,363988.693,-1.21,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,51.26126665,4.42839656,48.8
