FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
A3.465,EHAM,KM22,"275,07", ,23.21395636,A3,,,"LINESTRING (620215.5433 5796865.454600001, 577234.5362999998 5798736.8714000005)"
A3.466,KM22,KM25,"225,14", ,18.6389367,A3,,,"LINESTRING (577234.5362999998 5798736.8714000005, 553010.2734000003 5774111.626)"
A3.467,KM25,KA4,"178,04", ,9.90858631,A3,,,"LINESTRING (553010.2734000003 5774111.626, 553835.7511 5755766.9033)"
A3.468,KA4,KA5,"268,18", ,31.5434251,A3,,,"LINESTRING (553835.7511 5755766.9033, 495416.5016999999 5753625.4976)"
A3.469,KA5,KV21,"256,37", ,16.42466348,A3,,,"LINESTRING (495416.5016999999 5753625.4976, 467040.4363000002 5742609.505100001)"
A3.470,KV21,KM32,"128,81", ,25.48532958,A3,,,"LINESTRING (467040.4363000002 5742609.505100001, 508087.66449999996 5719244.7665)"
A3.471,KM32,KM29,"31,29", ,13.60435155,A3,,,"LINESTRING (508087.66449999996 5719244.7665, 521310.95100000035 5740711.408)"
A3.472,KM29,KV17,"332,87", ,19.52376025,A3,,,"LINESTRING (521310.95100000035 5740711.408, 504794.10780000035 5772904.401799999)"
A3.473,KV17,KD1,"3,54", ,37.68345286,A3,,,"LINESTRING (504794.10780000035 5772904.401799999, 509003.08100000024 5842615.066)"
A3.474,KD1,VB9,"29,25", ,12.15388767,A3,,,"LINESTRING (509003.08100000024 5842615.066, 519950.7615 5862300.0471)"
A3.475,VB9,KD4,"14,4", ,28.27166133,A3,,,"LINESTRING (519950.7615 5862300.0471, 532493.8025000002 5913171.5561999995)"
A3.476,KD4,KB1,"315,67", ,25.09143433,A3,,,"LINESTRING (532493.8025000002 5913171.5561999995, 500000.00009999983 5946435.8708999995)"
A3.477,KB1,KB3,"31,33", ,20.4985026,A3,,,"LINESTRING (500000.00009999983 5946435.8708999995, 519684.4676999999 5978927.4945)"
A3.478,KB3,KD6,"83,8", ,36.95137657,A3,,,"LINESTRING (519684.4676999999 5978927.4945, 587672.1029000003 5987131.8882)"
A3.479,KD6,KD9,"104,28", ,12.28176556,A3,,,"LINESTRING (587672.1029000003 5987131.8882, 609856.4480999997 5982039.009099999)"
A3.480,KD9,KD10,"222,76", ,15.67486034,A3,,,"LINESTRING (609856.4480999997 5982039.009099999, 590595.3783 5960292.7662)"
A3.481,KD10,KB5,"281,3", ,33.19307978,A3,,,"LINESTRING (590595.3783 5960292.7662, 530121.3929000003 5971565.8871)"
A3.482,KB5,KB6,"217,24", ,24.50855231,A3,,,"LINESTRING (530121.3929000003 5971565.8871, 502759.51680000033 5935311.3456999995)"
A3.483,KB6,VB9,"166,89", ,40.47328425,A3,,,"LINESTRING (502759.51680000033 5935311.3456999995, 519950.7615 5862300.0471)"
A3.484,VB9,KV12,"82,95", ,25.27517766,A3,,,"LINESTRING (519950.7615 5862300.0471, 566385.2473999998 5868463.3313)"
A3.485,KV12,KV11,"49,49", ,18.945132,A3,,,"LINESTRING (566385.2473999998 5868463.3313, 592698.4241000004 5891708.977399999)"
A3.486,KV11,KV9,"22,95", ,19.5846775,A3,,,"LINESTRING (592698.4241000004 5891708.977399999, 606210.8163999999 5925395.662599999)"
A3.487,KV9,KV8,"68,27", ,20.57225879,A3,,,"LINESTRING (606210.8163999999 5925395.662599999, 641183.2054000003 5940578.5504)"
A3.488,KV8,KX5,"122,94", ,4.96865759,A3,,,"LINESTRING (641183.2054000003 5940578.5504, 649061.2518999996 5935811.107899999)"
A3.489,KX5,KW11,"218,53", ,17.26858426,A3,,,"LINESTRING (649061.2518999996 5935811.107899999, 629873.2562999995 5910197.923900001)"
A3.490,KW11,KV2,"227,66", ,29.86058545,A3,,,"LINESTRING (629873.2562999995 5910197.923900001, 589834.5553000001 5871995.989)"
A3.491,KV2,KV1,"202,24", ,11.02551999,A3,,,"LINESTRING (589834.5553000001 5871995.989, 582437.6985999998 5852948.551999999)"
A3.492,KV1,VB1,"205,34", ,19.03898513,A3,,,"LINESTRING (582437.6985999998 5852948.551999999, 567830.8257999998 5820829.6054)"
A3.493,VB1,KX2,101, ,18.38615766,A3,,,"LINESTRING (567830.8257999998 5820829.6054, 601321.0515999999 5814546.507999999)"
A3.494,KX2,EHAM,"137,44", ,13.9629116,A3,,,"LINESTRING (601321.0515999999 5814546.507999999, 620215.5433 5796865.454600001)"
