FID,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkingen,symbol,se_anno_cad_data,gdb_geomattr_data,shape
trend_2014_100.1,701503,7,1503,15,45.05,30.05,-1.78,>2024,- - - - 5 -,3,,,"POLYGON ((106594.84699999914 537659.1050000004, 106764.13500000164 537604.1009999998, 106702.33199999854 537413.8889999986, 106533.04399999976 537468.8940000013, 106594.84699999914 537659.1050000004))"
trend_2014_100.2,701524,7,1524,6,37.37,31.37,-0.54,>2024,- - - - 5 -,3,,,"POLYGON ((106528.93200000003 537446.004999999, 106580.57299999893 537430.2170000002, 106522.09800000116 537238.9569999985, 106470.45800000057 537254.745000001, 106528.93200000003 537446.004999999))"
trend_2014_100.3,701544,7,1544,-14,3.7,17.7,-2.31,2021,- - - - 5 -,3,,,"POLYGON ((106468.93299999833 537246.006000001, 106689.83900000155 537178.4679999985, 106631.36499999836 536987.2069999985, 106410.45800000057 537054.743999999, 106468.93299999833 537246.006000001))"
trend_2014_100.4,701565,7,1565,-48,-16.94,31.06,-0.66,>2024,- - - - 5 -,3,,,"POLYGON ((106409.93299999833 537050.006000001, 106473.04899999872 537030.7089999989, 106414.57499999925 536839.4479999989, 106351.45800000057 536858.745000001, 106409.93299999833 537050.006000001))"
trend_2014_100.5,701585,7,1585,-55,-47.37,7.63,-0.9,2022,- - - - 5 -,3,,,"POLYGON ((106351.93299999833 536858.006000001, 106438 536831.6920000017, 106379.52499999851 536640.4310000017, 106293.45800000057 536666.745000001, 106351.93299999833 536858.006000001))"
trend_2014_100.6,701606,7,1606,-69,-43.3,25.7,2.6,-,- - - - 5 -,1,,,"POLYGON ((106238.04399999976 536486.8940000013, 105990.76900000125 536567.2390000001, 106052.57299999893 536757.4499999993, 106299.84699999914 536677.1059999987, 106238.04399999976 536486.8940000013))"
trend_2014_100.7,701626,7,1626,-74,-51.6,22.4,1.49,-,- - - - 5 -,1,,,"POLYGON ((106174.45800000057 536269.745000001, 106031.96799999848 536313.3079999983, 106090.44299999997 536504.5689999983, 106232.93200000003 536461.006000001, 106174.45800000057 536269.745000001))"
trend_2014_100.8,701647,7,1647,-73,-55.56,17.44,2.43,-,- - - - 5 -,1,,,"POLYGON ((106114.45800000057 536070.745000001, 105882.07600000128 536141.7910000011, 105940.55000000075 536333.0520000011, 106172.93299999833 536262.004999999, 106114.45800000057 536070.745000001))"
trend_2014_100.9,701668,7,1668,-82,-51.83,30.17,3.55,-,- - - - 5 -,1,,,"POLYGON ((106051.17799999937 535855.4990000017, 105709.9299999997 535953.3500000015, 105765.05799999833 536145.6030000001, 106106.30600000173 536047.7509999983, 106051.17799999937 535855.4990000017))"
trend_2014_100.10,701688,7,1688,-87,-51.89,35.11,2.64,-,- - - - 5 -,1,,,"POLYGON ((105988.18800000101 535640.2199999988, 105733.18400000036 535708.5480000004, 105784.94799999893 535901.7340000011, 106039.95199999958 535833.4050000012, 105988.18800000101 535640.2199999988))"
trend_2014_100.11,701708,7,1708,-103,-54.71,48.29,-0.27,>2024,- - - - 5 -,3,,,"POLYGON ((105993.93299999833 535670.006000001, 106019.75299999863 535662.1110000014, 105961.27899999917 535470.8509999998, 105935.45800000057 535478.743999999, 105993.93299999833 535670.006000001))"
trend_2014_100.12,701729,7,1729,-106,-56.15,49.85,-0.58,>2024,- - - - 5 -,3,,,"POLYGON ((105932.93299999833 535470.004999999, 105988.39799999818 535453.0480000004, 105929.92399999872 535261.7870000005, 105874.45800000057 535278.745000001, 105932.93299999833 535470.004999999))"
trend_2014_100.13,701748,7,1748,-95,-52.23,42.77,0.7,-,- - - - 5 -,1,,,"POLYGON ((105822.45800000057 535104.743999999, 105755.51700000092 535125.2109999992, 105813.99100000039 535316.4710000008, 105880.93200000003 535296.006000001, 105822.45800000057 535104.743999999))"
trend_2014_100.14,701763,7,1763,-88,-47.47,40.53,0.29,-,- - - - 5 -,1,,,"POLYGON ((105779.45800000057 534961.743999999, 105751.72500000149 534970.2230000012, 105810.19999999925 535161.4840000011, 105837.93200000003 535153.004999999, 105779.45800000057 534961.743999999))"
trend_2014_100.15,701777,7,1777,-82,-40.81,41.19,0.88,-,- - - - 5 -,1,,,"POLYGON ((105738.45800000057 534827.745000001, 105654.3040000014 534853.4739999995, 105712.77800000086 535044.7349999994, 105796.93299999833 535019.006000001, 105738.45800000057 534827.745000001))"
trend_2014_100.16,701791,7,1791,-73,-36.76,36.24,0.1,-,- - - - 5 -,1,,,"POLYGON ((105698.45800000057 534693.745000001, 105688.89499999955 534696.6680000015, 105747.37000000104 534887.9290000014, 105756.93299999833 534885.006000001, 105698.45800000057 534693.745000001))"
trend_2014_100.17,701808,7,1808,-60,-22.47,37.53,0.1,-,- - - - 5 -,1,,,"POLYGON ((105655.10300000012 534576.0309999995, 105645.70600000024 534579.4510000013, 105714.1099999994 534767.3900000006, 105723.50699999928 534763.9690000005, 105655.10300000012 534576.0309999995))"
trend_2014_100.18,701827,7,1827,-53,-17.9,35.1,0.83,-,- - - - 5 -,1,,,"POLYGON ((105593.10300000012 534400.0309999995, 105515.10799999908 534428.4189999998, 105583.51300000027 534616.3570000008, 105661.50699999928 534587.9690000005, 105593.10300000012 534400.0309999995))"
trend_2014_100.19,701844,7,1844,-48,-14.14,33.86,1.65,-,- - - - 5 -,1,,,"POLYGON ((105530.92799999937 534217.0109999999, 105374.91699999943 534270.7289999984, 105440.0309999995 534459.8330000006, 105596.04100000113 534406.1140000001, 105530.92799999937 534217.0109999999))"
trend_2014_100.20,701862,7,1862,-41,-14.94,26.06,1.64,-,- - - - 5 -,1,,,"POLYGON ((105473.92799999937 534055.0109999999, 105318.86199999973 534108.4039999992, 105383.97599999979 534297.5069999993, 105539.04100000113 534244.1140000001, 105473.92799999937 534055.0109999999))"
trend_2014_100.21,701880,7,1880,-41,-12.89,28.11,1.77,-,- - - - 5 -,1,,,"POLYGON ((105410.92799999937 533877.0109999999, 105243.5709999986 533934.6359999999, 105308.68499999866 534123.7399999984, 105476.04100000113 534066.1140000001, 105410.92799999937 533877.0109999999))"
trend_2014_100.22,701896,7,1896,-49,-17.68,31.32,1.22,-,- - - - 5 -,1,,,"POLYGON ((105364.10300000012 533752.0309999995, 105249.4600000009 533793.7569999993, 105317.86400000006 533981.6959999986, 105432.50699999928 533939.9699999988, 105364.10300000012 533752.0309999995))"
trend_2014_100.23,701910,7,1910,-55,-17.98,37.02,1.49,-,- - - - 5 -,1,,,"POLYGON ((105317.10300000012 533620.0309999995, 105177.08799999952 533670.9919999987, 105245.49300000072 533858.9299999997, 105385.50699999928 533807.9690000005, 105317.10300000012 533620.0309999995))"
trend_2014_100.24,701925,7,1925,-61,-44.24,16.76,-0.14,>2024,- 2 - - 5 -,3,,,"POLYGON ((105335.50699999928 533666.9690000005, 105348.66200000048 533662.1810000017, 105280.25800000131 533474.2430000007, 105267.10300000012 533479.0309999995, 105335.50699999928 533666.9690000005))"
trend_2014_100.25,1201502,12,1502,-152,-125.08,26.92,-6.47,2018,- - - - - -,3,,,"POLYGON ((48918.76900000125 427149.44000000134, 49399.583000000566 426716.51199999824, 49265.756999999285 426567.8830000013, 48784.94200000167 427000.8110000007, 48918.76900000125 427149.44000000134))"
trend_2014_100.26,302160,3,2160,307,264.54,-42.46,-5.03,-,1 - - - - -,4,,,"POLYGON ((189415.50600000098 610030.5870000012, 189380.41899999976 609528.811999999, 189180.9059999995 609542.7630000003, 189215.99399999902 610044.5379999988, 189415.50600000098 610030.5870000012))"
trend_2014_100.27,302180,3,2180,326,293.78,-32.22,-4.06,-,1 - - - - -,4,,,"POLYGON ((189615.50699999928 610019.5870000012, 189587.18499999866 609614.5760000013, 189387.67300000042 609628.5269999988, 189415.99399999902 610033.5379999988, 189615.50699999928 610019.5870000012))"
trend_2014_100.28,302200,3,2200,360,314.34,-45.66,-5.16,-,1 - - - - -,4,,,"POLYGON ((189831.77600000054 610005.4719999991, 189786.8040000014 609491.4360000007, 189587.56500000134 609508.8669999987, 189632.53700000048 610022.9030000009, 189831.77600000054 610005.4719999991))"
trend_2014_100.29,302220,3,2220,360,347.2,-12.8,-5.14,-,1 - - - - -,4,,,"POLYGON ((190025.77600000054 609987.4719999991, 189980.97800000012 609475.4279999994, 189781.73900000006 609492.8590000011, 189826.53700000048 610004.9030000009, 190025.77600000054 609987.4719999991))"
trend_2014_100.30,302240,3,2240,390,387.08,-2.92,-4.44,-,1 - - - - -,4,,,"POLYGON ((190224.77600000054 609968.4719999991, 190186.0789999999 609526.1609999985, 189986.83999999985 609543.5929999985, 190025.53700000048 609985.9030000009, 190224.77600000054 609968.4719999991))"
trend_2014_100.31,302260,3,2260,350,415.61,65.61,-4.04,>2024,- - - - - -,3,,,"POLYGON ((190424.77600000054 609950.4719999991, 190389.56500000134 609548.0089999996, 190190.32600000128 609565.4409999996, 190225.53700000048 609967.9030000009, 190424.77600000054 609950.4719999991))"
trend_2014_100.32,910200,9,10200,162,224.52,62.52,-0.24,>2024,- - - - - -,3,,,"POLYGON ((76876.89499999955 457987.53400000185, 76895.00800000131 457971.7879999988, 76763.79600000009 457820.84600000083, 76745.68299999833 457836.5920000002, 76876.89499999955 457987.53400000185))"
trend_2014_100.33,910217,9,10217,137,196.24,59.24,0.5,-,- - - - - -,1,,,"POLYGON ((76630.68400000036 457704.5920000002, 76592.94799999893 457737.39499999955, 76724.16000000015 457888.3370000012, 76761.89499999955 457855.53400000185, 76630.68400000036 457704.5920000002))"
trend_2014_100.34,910235,9,10235,110,176.05,66.05,1.45,-,- - - - - -,1,,,"POLYGON ((76497.92000000179 457544.59800000116, 76385.23299999908 457635.8500000015, 76511.09699999914 457791.27899999917, 76623.78400000185 457700.02699999884, 76497.92000000179 457544.59800000116))"
trend_2014_100.35,910288,9,10288,57,115.82,58.82,1.27,-,- - - - - -,1,,,"POLYGON ((76169.68299999833 457172.5920000002, 76073.8350000009 457255.91099999845, 76205.04699999839 457406.8530000001, 76300.89499999955 457323.53400000185, 76169.68299999833 457172.5920000002))"
trend_2014_100.36,910338,9,10338,27,104.85,77.85,-13.15,2019,- - - - - -,3,,,"POLYGON ((75957.89499999955 456928.53400000185, 76950.33799999952 456065.81599999964, 76819.1259999983 455914.8740000017, 75826.68299999833 456777.5920000002, 75957.89499999955 456928.53400000185))"
trend_2014_100.37,910391,9,10391,1,97.32,96.32,-3.1,>2024,- - - - - -,3,,,"POLYGON ((75611.89499999955 456529.53400000185, 75845.85500000045 456326.1550000012, 75714.64299999923 456175.2129999995, 75480.68299999833 456378.5920000002, 75611.89499999955 456529.53400000185))"
trend_2014_100.38,910437,9,10437,3,133.73,130.73,16.68,-,- - - - - -,1,,,"POLYGON ((75180.68299999833 456026.5920000002, 73921.82699999958 457120.8979999982, 74053.0390000008 457271.83999999985, 75311.89499999955 456177.53400000185, 75180.68299999833 456026.5920000002))"
trend_2014_100.39,910468,9,10468,21,106.76,85.76,-16.15,2019,- - - - - -,3,,,"POLYGON ((75114.89499999955 455943.53400000185, 76333.7509999983 454883.9979999997, 76202.5390000008 454733.0560000017, 74983.68299999833 455792.5920000002, 75114.89499999955 455943.53400000185))"
trend_2014_100.40,910488,9,10488,20,120.63,100.63,-3.08,>2024,- - - - - -,3,,,"POLYGON ((74985.89499999955 455790.53400000185, 75218.34600000083 455588.4679999985, 75087.13399999961 455437.52600000054, 74854.68299999833 455639.5920000002, 74985.89499999955 455790.53400000185))"
