FID,jaar,type_ws,hoofdgeb,gebied,locatie,gdb_geomattr_data,shape
talud_maas_2008.1,2008,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194868.02299999818 409658.55000000075, 194867.4549999982 409628.2170000002, 194867.12799999863 409608.38599999994, 194867.30000000075 409600.38500000164, 194868.13100000098 409577.58999999985)"
talud_maas_2008.2,2008,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194863.90799999982 409753.11400000006, 194865.64400000125 409718.0760000013, 194866.8440000005 409694.1739999987, 194867.25499999896 409685.98999999836, 194867.36199999973 409682.6490000002)"
talud_maas_2008.3,2008,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194858.91299999878 409854.44900000095, 194860.98900000006 409837.35599999875, 194862.06500000134 409815.8759999983, 194861.33900000155 409799.04300000146, 194862.51799999923 409781.7179999985)"
talud_maas_2008.4,2008,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194850.30999999866 409950.3920000009, 194851.625 409924.9780000001, 194854.19799999893 409896.631000001, 194856.73999999836 409872.3770000003)"
talud_maas_2008.5,2008,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194844.76199999824 410016.5940000005, 194845.73800000176 410001.3909999989, 194846.09800000116 409993.6400000006, 194846.34299999848 409988.36199999973, 194847.12099999934 409982.4690000005, 194848.15700000152 409974.4609999992)"
talud_maas_2008.6,2008,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194840.80999999866 410052.2109999992, 194842.2899999991 410043.48600000143)"
talud_maas_2008.7,2008,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194828.39499999955 410150.05999999866, 194833.01000000164 410120.0320000015, 194836.40700000152 410091.78599999845, 194838.43299999833 410070.7950000018)"
talud_maas_2008.8,2008,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194748.66800000146 410085.188000001, 194751.29399999976 410087.02800000086, 194757.313000001 410092.01099999994, 194765.82699999958 410101.1810000017, 194791.9059999995 410133.561999999, 194805.05700000003 410150.18499999866, 194811.7039999999 410159.1169999987, 194814.75400000066 410161.95800000057, 194818.09699999914 410163.1620000005, 194821.75499999896 410162.2659999989)"
talud_maas_2008.9,2008,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194816.21700000018 410266.11199999973, 194818.72300000116 410251.93400000036, 194819.7199999988 410243.5480000004, 194818.7509999983 410242.6420000009)"
talud_maas_2008.10,2008,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194755.76799999923 410408.2960000001, 194752.98099999875 410396.18200000003, 194746.97399999946 410374.0370000005, 194738.13100000098 410349.8420000002, 194728.4759999998 410326.7270000018, 194719.37799999863 410307.55999999866)"
talud_maas_2008.11,2008,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194752.25200000033 410567.1889999993, 194756.3110000007 410540.66600000113, 194761.04300000146 410494.1400000006, 194762.50299999863 410472.74599999934, 194762.08199999854 410450.2879999988, 194759.89299999923 410427.2509999983, 194757.186999999 410413.21599999815)"
talud_maas_2008.12,2008,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194778.80200000107 410481.2010000013, 194779.87900000066 410471.08399999887, 194782.98800000176 410447.7569999993, 194787.05600000173 410423.93299999833)"
