FID,entiteit_vbda,naam_vbda,se_anno_cad_data,gdb_geomattr_data,shape
vbda_vlakken_vaargeulen_per_type_entiteit.1,vaargeul,Aanloop Eurogeul Oost,,,"POLYGON ((509458.8799999999 5759435.653899999, 509458.8914999999 5759435.6504, 514254.89360000007 5760110.777899999, 514281.1414999999 5760115.2191, 514307.4715 5760119.141799999, 514333.8739 5760122.544299999, 514360.33829999994 5760125.426200001, 514386.8543999996 5760127.7853, 514413.4117999999 5760129.621099999, 514440.00040000025 5760130.9328000005, 514466.60950000025 5760131.7203, 514493.2287999997 5760131.982799999, 514520.12689999957 5760131.7146000005, 514547.01439999975 5760130.910800001, 514573.87990000006 5760129.5715, 514600.71389999986 5760127.6971, 514627.5053000003 5760125.2884, 514654.2430999996 5760122.3463, 514680.9167999998 5760118.8718, 514707.51630000025 5760114.867000001, 514734.0307 5760110.332800001, 514760.4494000003 5760105.271400001, 514786.7622999996 5760099.6844999995, 514812.9583999999 5760093.5743, 514839.0275999997 5760086.943499999, 514864.9594999999 5760079.7947, 514890.7438000003 5760072.1306, 514916.3701999998 5760063.9541, 514941.82880000025 5760055.2689, 514967.10919999983 5760046.078, 514992.20129999984 5760036.385299999, 515017.0954 5760026.194399999, 515041.78139999975 5760015.5097, 515066.25009999983 5760004.3354, 515090.4910000004 5759992.6757, 515114.4944000002 5759980.5348000005, 515138.2516000001 5759967.9186, 515161.7527999999 5759954.831700001, 515184.9879999999 5759941.2786, 515207.94930000044 5759927.2655, 515230.6261 5759912.7981, 515253.01049999986 5759897.881100001, 515275.09339999966 5759882.521600001, 515296.8658999996 5759866.725, 515318.3189000003 5759850.4976, 515339.4447999997 5759833.845799999, 515360.2344000004 5759816.7765, 515380.6798999999 5759799.296800001, 515400.77329999954 5759781.412799999, 515420.50629999954 5759763.131899999, 515439.8706 5759744.4616, 515458.85950000025 5759725.409499999, 515477.46520000044 5759705.9824, 515495.67980000004 5759686.1888, 515513.4967 5759666.035700001, 515530.9084000001 5759645.532299999, 515547.9079 5759624.6855999995, 515564.4885999998 5759603.5044, 515580.64439999964 5759581.9969999995, 515596.3682000004 5759560.1723, 515611.6542999996 5759538.038000001, 515626.49619999994 5759515.604, 515640.8881999999 5759492.878900001, 515654.8245000001 5759469.871099999, 515668.2993999999 5759446.5901999995, 515681.3081 5759423.046, 515693.8448999999 5759399.2467, 515705.90500000026 5759375.202400001, 515717.4840000002 5759350.922900001, 515728.57660000026 5759326.417300001, 515739.1787999999 5759301.695699999, 515749.2862999998 5759276.7674, 515758.8956000004 5759251.643300001, 515768.00179999974 5759226.3321, 515776.6023000004 5759200.845000001, 515784.69269999955 5759175.191, 515792.27080000006 5759149.381200001, 515799.3331000004 5759123.4256, 515805.87689999957 5759097.3344, 515811.8992999997 5759071.118100001, 515817.3984000003 5759044.7872, 515822.3716000002 5759018.351500001, 515826.8053000001 5758991.8937, 515826.81709999964 5758991.8222, 515862.9307000004 5758823.2706, 515904.7790999999 5758526.251700001, 515988.4938000003 5757932.0918000005, 516030.26580000017 5757635.618000001, 516030.3518000003 5757635.006100001, 514702.8008000003 5757448.3572, 514681.18460000027 5757445.1395, 514659.5192 5757442.2721, 509162.12930000015 5756669.360099999, 509162.12540000025 5756669.3596, 502771.07550000027 5755768.640000001, 502767.8820000002 5761347.501, 509458.8799999999 5759435.653899999))"
vbda_vlakken_vaargeulen_per_type_entiteit.2,vaargeul,Aanloop Eurogeul West,,,"POLYGON ((500833.7290000003 5755495.6007, 500076.8393000001 5755388.929099999, 494604.7751000002 5754617.7261, 490411.3691999996 5751994.9057, 493878.64690000005 5755980.3739, 497406.0482000001 5757783.548900001, 497424.4967 5757722.3025, 497444.16559999995 5757661.4375, 497465.04700000025 5757600.977299999, 497487.1333999997 5757540.9464, 497510.4146999996 5757481.3694, 497534.88210000005 5757422.2695, 497560.52639999986 5757363.670600001, 497587.33669999987 5757305.5962000005, 497615.30229999963 5757248.0688000005, 497644.4123999998 5757191.112, 497674.65500000026 5757134.7488, 497706.0184000004 5757079.001, 497738.4896999998 5757023.8915, 497772.0558000002 5756969.4418, 497806.70409999974 5756915.6742, 497842.4199000001 5756862.6095, 497879.18929999974 5756810.2699, 497916.9977000002 5756758.6753, 497955.82940000016 5756707.8467, 497995.6699000001 5756657.8048, 498036.5025000004 5756608.5688000005, 498078.3108999999 5756560.159, 498121.0789000001 5756512.594699999, 498164.7889999999 5756465.8947, 498209.42360000033 5756420.077500001, 498254.96549999993 5756375.1620000005, 498301.3956000004 5756331.1657, 498348.6961000003 5756288.1062, 498396.8481999999 5756246.001, 498445.8317 5756204.8664, 498495.6277999999 5756164.7191, 498546.21669999976 5756125.575300001, 498597.5778000001 5756087.450300001, 498649.69039999973 5756050.359999999, 498702.5343000004 5756014.318499999, 498756.0881000003 5755979.340600001, 498810.33019999973 5755945.4399, 498865.2390999999 5755912.6302000005, 498920.79289999977 5755880.924799999, 498976.96949999966 5755850.336300001, 499033.7457999997 5755820.8763999995, 499091.10030000005 5755792.5572999995, 499149.0087000001 5755765.390699999, 499207.4491999997 5755739.3868, 499266.39719999954 5755714.556399999, 499325.83019999973 5755690.909, 499385.7237 5755668.454299999, 499446.0544999996 5755647.2015, 499506.7977999998 5755627.158600001, 499567.9297000002 5755608.333799999, 499629.4254999999 5755590.735099999, 499691.2605999997 5755574.369100001, 499753.41050000023 5755559.241800001, 499815.8509999998 5755545.360400001, 499878.5557000004 5755532.729599999, 499941.50100000016 5755521.354800001, 500004.66050000023 5755511.2403, 500068.0097000003 5755502.3904, 500131.5235000001 5755494.808800001, 500195.176 5755488.4980999995, 500258.9417000003 5755483.4608, 500322.79569999967 5755479.699100001, 500386.71160000004 5755477.214500001, 500450.6651999997 5755476.008199999, 500514.6294 5755476.0802, 500578.5795 5755477.4309, 500642.49010000005 5755480.0594999995, 500706.3354000002 5755483.9651, 500770.08970000036 5755489.146400001, 500833.7290000003 5755495.6007))"
vbda_vlakken_vaargeulen_per_type_entiteit.3,vaargeul,MG_00-06,,,"POLYGON ((571607.9348999998 5760175.7129, 570687.7571 5760570.8431, 569939.5702 5760892.120100001, 569765.8870000001 5760959.438100001, 568833.4840000002 5761320.8277, 567901.0813999996 5761682.2173, 566969.3492 5762043.346999999, 566036.2614000002 5762404.9965, 566241.5581 5762934.609300001, 567174.6213999996 5762572.9646000005, 568106.3772999998 5762211.8266, 569038.7799000004 5761850.4377999995, 569971.1832999997 5761489.0491, 570161.9497999996 5761415.109999999, 570884.9967999998 5761079.726399999, 571795.0299000004 5760657.610099999, 571717.0701000001 5760456.8037, 571618.0372000001 5760201.7323, 571607.9348999998 5760175.7129))"
vbda_vlakken_vaargeulen_per_type_entiteit.4,vaargeul,MG_06-K1,,,"POLYGON ((566241.5581 5762934.609300001, 566036.2614000002 5762404.9965, 565103.8526999997 5762766.3826, 564171.4386999998 5763127.7709, 563239.0344000002 5763489.155200001, 563051.8284 5763561.7129, 562970.3366999999 5763593.297900001, 562878.9823000003 5763627.411900001, 562786.9831999997 5763659.749299999, 562694.3940000003 5763690.3541, 562601.2407999998 5763719.196799999, 562507.5568000004 5763746.267000001, 562413.3767999997 5763771.5548, 562318.7331999997 5763795.051200001, 562287.8482999997 5763802.0995000005, 562223.6611000001 5763816.7478, 562128.1948999995 5763836.636600001, 562032.3683000002 5763854.711200001, 561936.2159000002 5763870.964, 561839.7725 5763885.389699999, 561743.0727000004 5763897.9827, 561646.1513 5763908.739499999, 561549.0433 5763917.655200001, 561451.7838000003 5763924.7267, 561354.4075999996 5763929.9519, 561266.1229999997 5763933.0107, 561256.9496999998 5763933.328500001, 561159.4457 5763934.855699999, 561160.5405000001 5764042.062000001, 561169.3091000002 5764900.572000001, 561579.5137 5764741.579700001, 562257.2944999998 5764478.876700001, 562511.9334000004 5764380.180400001, 563444.3386000004 5764018.786900001, 564376.7397999996 5763657.3946, 564556.1583000002 5763587.8541, 565094.9071000004 5763379.0407, 565309.1512000002 5763295.9998, 566241.5581 5762934.609300001))"
vbda_vlakken_vaargeulen_per_type_entiteit.5,vaargeul,Noord Hinder I,,,"POLYGON ((484653.9023000002 5748393.823000001, 479042.17140000034 5742620.534, 477321.32830000017 5744293.125700001, 481691.6172000002 5748789.703299999, 484463.90529999975 5748789.701099999, 485286.8372999998 5748789.7006, 484653.9023000002 5748393.823000001))"
vbda_vlakken_vaargeulen_per_type_entiteit.6,vaargeul,Noord Hinder II,,,"POLYGON ((490377.26659999974 5751973.5757, 485286.8372999998 5748789.7006, 484463.90529999975 5748789.701099999, 481691.6172000002 5748789.703299999, 483547.47190000024 5750699.186799999, 489326.59020000044 5753653.410499999, 493878.64690000005 5755980.3739, 490411.3691999996 5751994.9057, 490377.26659999974 5751973.5757))"
vbda_vlakken_vaargeulen_per_type_entiteit.7,vaargeul,YG_05-11.8,,,"POLYGON ((599250.0029999996 5815045.232899999, 599176.7531000003 5814601.323000001, 598190.7849000003 5814766.732799999, 597204.5647999998 5814932.1851, 596218.3542999998 5815097.6357, 595232.1432999996 5815263.086300001, 594245.9227 5815428.5386, 593259.7122 5815593.9892, 592470.9368000003 5815726.317, 592545.4523 5816170.1843, 593332.9424 5816038.0518, 594319.1489000004 5815872.577099999, 595253.2174000004 5815715.850400001, 595305.3656000001 5815707.1006000005, 596291.5721000005 5815541.625499999, 597277.7786999997 5815376.150699999, 598263.9952999996 5815210.6743, 599250.0029999996 5815045.232899999))"
vbda_vlakken_vaargeulen_per_type_entiteit.8,vaargeul,YG_11.8-23,,,"POLYGON ((584453.9413000001 5817508.528899999, 585440.5977999996 5817345.723200001, 586427.2451 5817182.9188, 587413.9016000004 5817020.112600001, 588400.5483999997 5816857.3082, 589387.1974 5816694.503799999, 590373.8539000005 5816531.697699999, 590565.3953 5816500.1118, 591360.5143999998 5816368.9925, 592346.7328000003 5816203.508099999, 592545.4523 5816170.1843, 592470.9368000003 5815726.317, 592273.4219000004 5815758.9529, 591286.8092999998 5815921.9728, 590491.7194999997 5816053.3467, 590300.1886999998 5816084.994100001, 589313.5674 5816248.0154, 588326.9543000003 5816411.0353, 587340.3430000003 5816574.0548, 586353.7216999996 5816737.0765, 585367.1098999996 5816900.096000001, 584380.4890000001 5817063.1173, 583393.8772999998 5817226.1372, 582407.2654999997 5817389.1567, 582017.3102000002 5817453.5901999995, 581401.7100999998 5817437.470000001, 581494.0099999998 5817996.940400001, 582480.6467000004 5817834.137700001, 583467.2939999998 5817671.3333, 584453.9413000001 5817508.528899999))"
vbda_vlakken_vaargeulen_per_type_entiteit.9,vaargeul,YG_23-29.4,,,"POLYGON ((575461.3558999998 5817281.9197, 575013.1401000004 5817270.1831, 575005.4702000003 5817870.1929, 575445.6501000002 5817881.7195999995, 576368.4482000005 5817905.8837, 576445.2969000004 5817907.896, 577444.9186000004 5817934.071900001, 577973.3953 5817947.9103, 578444.6119999997 5817960.249600001, 579444.2626999998 5817986.4264, 580443.9292000001 5818012.6032, 581268.2998000002 5818034.1899999995, 581494.0099999998 5817996.940400001, 581401.7100999998 5817437.470000001, 580459.6354999999 5817412.8015, 579459.9685000004 5817386.6247000005, 578460.3181999996 5817360.4483, 578239.4709999999 5817354.6657, 577460.6249000002 5817334.2711, 576634.5239000004 5817312.6395, 576461.0027000001 5817308.0956, 575461.3558999998 5817281.9197))"
vbda_vlakken_vaargeulen_per_type_entiteit.10,vaargeul,YG_29.4-35.9,,,"POLYGON ((569463.1705 5817124.856699999, 568571 5817101.495100001, 568563.3398000002 5817701.496099999, 569447.4647000004 5817724.6483, 570447.3793000001 5817750.832599999, 571446.8455999997 5817777.005000001, 572446.506 5817803.182600001, 573446.1546 5817829.3599, 574445.7746000001 5817855.536699999, 575005.4702000003 5817870.1929, 575013.1401000004 5817270.1831, 574461.4803999998 5817255.737600001, 573461.8607999999 5817229.5626, 572462.2117999997 5817203.386700001, 571462.5519000003 5817177.2107, 570463.0850999998 5817151.0392, 569463.1705 5817124.856699999))"
