FID,length,filenaam,br_links,br_rechts,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2006_2.1,5265.837,s01,423.6000061,-327.70001221,10-12-2006,,,"LINESTRING (174037.438000001 603246.063000001, 169788 606355.938000001)"
vlieglijnen_kust_2006_2.2,5649.447,s02,437.3999939,-445.6000061,10-12-2006,,,"LINESTRING (174205.7190000005 603450.375, 169813.4530000016 607003.438000001)"
vlieglijnen_kust_2006_2.3,5242.49,s03,422.70001221,-406.6000061,10-12-2006,,,"LINESTRING (174126.313000001 604160.813000001, 170035.9530000016 607439.938000001)"
vlieglijnen_kust_2006_2.4,2836.85,s04,484.79998779,-451.1000061,10-12-2006,,,"LINESTRING (170667.125 605257.313000001, 172382.2969999984 607516.938000001)"
vlieglijnen_kust_2006_2.5,4959.074,s05,409.6000061,-383,10-12-2006,,,"LINESTRING (171885.6090000011 604366.313000001, 171896.4219999984 609325.375)"
vlieglijnen_kust_2006_2.6,1566.706,s06,321.20001221,-338.8999939,10-12-2006,,,"LINESTRING (193190.7340000011 607680.5, 193206.688000001 609247.125)"
vlieglijnen_kust_2006_2.7,2190.196,s07,143.6000061,-112.59999847,10-12-2006,,,"LINESTRING (172002.7969999984 604355.563000001, 170270.5469999984 605695.813000001)"
vlieglijnen_kust_2006_2.8,11353.562,s08_2,320.20001221,-336,10-12-2006,,,"LINESTRING (181360.2809999995 607448.563000001, 170006.7340000011 607430.625)"
vlieglijnen_kust_2006_2.9,12516.831,s09_1,423.1000061,-396.20001221,10-12-2006,,,"LINESTRING (193760.875 607947.063000001, 181244.0469999984 607939.125)"
vlieglijnen_kust_2006_2.10,11739.767,s09_3,345.79998779,-348.20001221,10-12-2006,,,"LINESTRING (182001.063000001 607963, 170261.5469999984 607886.188000001)"
vlieglijnen_kust_2006_2.11,8287.753,s10_1,425.8999939,-445.5,10-12-2006,,,"LINESTRING (179005.7340000011 608309, 170721.313000001 608543.938000001)"
