NaamPlaatsingsadres,ClusterCode,ClusterOmschrijving,ContainerCode,Fractie,latitude,longitude
loc3631,3631,Pleiadenlaan,T30,textiel - loc3631,53.2298,6.5458
loc3631,3631,Pleiadenlaan,T50,textiel - loc3631,53.2298,6.54587
loc3637,3637,Esdoornlaan,T54,textiel - loc3637,53.2336,6.5523
loc3637,3637,Esdoornlaan,T56,textiel - loc3637,53.2336,6.55237
loc3510,3510,Goudlaan,T68,textiel - loc3510,53.22896,6.53081
loc3507,3507,Siersteenlaan,T42,textiel - loc3507,53.22557,6.52811
loc3507,3507,Siersteenlaan,T44,textiel - loc3507,53.22557,6.52819
loc3507,3507,Siersteenlaan,T46,textiel - loc3507,53.22557,6.52826
loc3633,3633,De Savornin Lohmanlaan,T36,textiel - loc3633,53.1969,6.5894
loc3623,3623,Eikenlaan/Wilgenpad,T10,textiel - loc3623,53.2312,6.5474
Loc3685,3685,Suikerlaan 5,T77,textiel - Loc3685,53.21181,6.54063
Loc3558,3558,Curacaostraat/Oosterhamriklaan,T22,textiel - Loc3558,53.23666,6.56708
Loc3649,3649,Reitdiephaven Midden t.o. supermarkt,T60,textiel - Loc3649,53.23559,6.5228
loc3504,3504,De Held,T74,textiel - loc3504,53.22786,6.5145
loc3645,3645,Eemsgolaan,T72,textiel - loc3645,53.1985,6.52292
Loc3741,3741,Werumeus Buningstraat,T83,textiel - Loc3741,53.1982,6.57072
loc3632,3632,Barestraat,T34,textiel - loc3632,53.2084,6.5688
loc3625,3625,Van Schendelstraat,T14,textiel - loc3625,53.1989,6.567
Loc3657,3657,Het Hout,T79,textiel - Loc3657,53.21676,6.58158
LOC6004,6004,Westerse Drift,T91,textiel - LOC6004,53.17074,6.59908
loc3627,3627,Korreweg,T18,textiel - loc3627,53.2366,6.5671
loc3502,3502,C. Jetsesstraat,T78,textiel - loc3502,53.20566,6.50274
loc3630,3630,Rijksweg,T28,textiel - loc3630,53.2308,6.6172
loc3630,3630,Rijksweg,T48,textiel - loc3630,53.2308,6.61727
loc3652,3652,Oliemuldersweg hoek Vinkenstraat,T66,textiel - loc3652,53.23102,6.58214
loc6002,6002,Raadhuisplein (Haderaplein),T86,textiel - loc6002,53.17426,6.60488
loc6002,6002,Raadhuisplein (Haderaplein),T90,textiel - loc6002,53.17426,6.60495
loc3634,3634,Overwinningsplein,T38,textiel - loc3634,53.1977,6.5607
loc3634,3634,Overwinningsplein,T52,textiel - loc3634,53.1977,6.56077
loc3580,3580,Cuypersweg,T32,textiel - loc3580,53.24586,6.57896
LOC6000,6000,Anjerlaan,T82,textiel - LOC6000,53.17149,6.62411
Loc5502,5502,Koopmansplein,T87,textiel - Loc5502,53.277,6.6967
LOC6015,6015,Rijksstraatweg,T84,textiel - LOC6015,53.14319,6.62602
LOC6015,6015,Rijksstraatweg,T85,textiel - LOC6015,53.14319,6.6261
loc3628,3628,Madeliefstraat,T64,textiel - loc3628,53.22714,6.59888
loc3628,3628,Madeliefstraat,T76,textiel - loc3628,53.22714,6.59895
Loc3635,3635,Johan Dijkstralaan,T58,textiel - Loc3635,53.20531,6.50892
Loc3635,3635,Johan Dijkstralaan,T62,textiel - Loc3635,53.20531,6.509
loc3624,3624,Park Selwerd,T12,textiel - loc3624,53.235,6.5439
loc3622,3622,Pleiadenlaan,T8,textiel - loc3622,53.2295,6.5448
Loc3609,3609,Waterland,T24,textiel - Loc3609,53.24083,6.6157
