;7110 - Gebruik en onderhoud gebouw en terreinen;7410 - Verwerven en afstoten;Eindtotaal;
A Company B.V.;1;;1;
A.S. Cramwinckel;1;;1;
ABC Display Industry B.V.;1;;1;
Abonnementenland;1;;1;
ACE Translations B.V.;1;;1;
Adang Organisatieadvies;2;;2;
Advocatenkantoor van Baaren;1;;1;
Antea Nederland B.V.;;3;3;
AON Nederland C.V.;1;;1;
Aon Rotterdam3;1;;1;
Arabisch Vertaalbureau Abdellatif (Ava);2;;2;
Ardis Opleidingen B.V.;1;;1;
Atrium Vastgoedmanagement B.V.;2;;2;
ATS Systems B.V.;2;;2;
Audenaert Producties;1;;1;
Axez ICT Solutions B.V.;5;;5;
Axiell ALM Netherlands B.V.;2;;2;
B.V. Golfbaan Rijswijk;1;;1;
bagsandboxes;1;;1;
Banketbakkerij Boheemen;1;;1;
Banketbakkerij H.F. Borsboom;1;;1;
Banketbakkerij Maison Kelder B.V.;1;;1;
Bar Restaurant Pavlov B.V.;1;;1;
Bart Hoogveld beeldredactie & fotografie;1;;1;
Bartholomeus Gasthuis;1;;1;
BBK/Door Vriendschap Sterker B.V.;3;;3;
BeGlobal Relatiegeschenken;1;;1;
Beleving aan zee;1;;1;
Berenschot Groep B.V.;2;;2;
Beroepsvereniging voor Public Affairs (Bvpa);1;;1;
Beuk Touringcars;1;;1;
Billink B.V.;1;;1;
BLOOM your message;1;;1;
Bokstijn Feestartikelen;1;;1;
Brink Management & Advies B.V.;2;;2;
Broekhuizen Communicatie;2;;2;
Brouwer Tours;1;;1;
BTS;1;;1;
Budgetgift.nl B.V.;1;;1;
Buro Buchner;1;;1;
Burrata Turfmarkt B.V.;1;;1;
CafÃ© Haags Filmhuis;1;;1;
Cafe/Restaurant De Eeuwige Jachtvelden;1;;1;
CameraNU.nl;1;;1;
Capo Cucina;1;;1;
CCV Group B.V.;1;;1;
CGB Services;1;;1;
Chhatta Producties;1;;1;
CIBT Netherlands;2;;2;
CIO Platform Nederland;1;;1;
Coffeelicious Den Haag;1;;1;
COMPAREX Nederland B.V.;4;;4;
Connext Cloud B.V.;1;;1;
Constructief Tegendenken - Strategisch Advies;1;;1;
Coöp. Reg. Ambulancevoorziening Haaglanden UA;1;;1;
Coöperatief Congrestolkensecretariaat UA;1;;1;
Copex Air B.V.;2;;2;
Curve Bureau voor Grafische Vormgeving B.V.;1;;1;
Cushman & Wakefield V.O.F.;;2;2;
Customer Contact Company B.V.;1;;1;
Customeyes B.V.;1;;1;
Daniëlle Meijboom;1;;1;
De Franse Stap Culinair;1;;1;
De Roo Taxi B.V.;1;;1;
De Tuinderij;1;;1;
De Tuinkamer;1;;1;
Deloitte Amstelveen 1;;2;2;
Dennis Leusveld Beheer B.V.;1;;1;
Diana van der Stelt Change Management;1;;1;
Diner Thuis;1;;1;
Direction Briefings for Business Leaders;1;;1;
Dopper;1;;1;
Double Healix Educational Media B.V.;2;;2;
DPG Media B.V.;1;;1;
DPI;1;;1;
Dutch C B.V.;1;;1;
Ebbinge B.V.;1;;1;
enCircle B.V.;1;;1;
Energy Floors Rental & Experience B.V.;2;;2;
English Translation Service;2;;2;
Escrow Alliance B.V.;1;;1;
Eurotempest B.V.;2;;2;
EVBox B.V.;1;;1;
F. Wessels;1;;1;
FaberExposize B.V.;2;;2;
Facilion B.V.;1;;1;
Fakton B.V.;3;;3;
Ferro Explore B.V.;2;;2;
F-Fort B.V.;1;;1;
Fitchannel.com;2;;2;
FNV Veiligheid;1;;1;
Fox-IT;2;;2;
Gebr. Barendsen B.V.;1;;1;
Genootschap Onze Taal;1;;1;
Goedgaan.Org;1;;1;
Goldmund, Wyldebeast & Wunderliebe B.V.;4;;4;
Gran Mercado B.V.;1;;1;
Grandcafe Haagsche Bluf;1;;1;
GVZ2 B.V.;1;;1;
