FID,LOC_CODE,GEOMETRIE
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_316e,GE026800114,"POLYGON ((187205.68 428206.11, 187205.68 428206.11, 187215.36 428222.29, 187215.36 428222.29, 187212.94 428223.94, 187211.16 428219.87, 187207.98 428222.03, 187204.54 428217.45, 187208.23 428214.9, 187197.53 428196.81, 187190.4 428187.89, 187185.55 428190.95, 187193.2 428203.43, 187187.21 428207.26, 187187.72 428208.53, 187178.04 428214.52, 187175.62 428206.75, 187164.15 428169.42, 187182.5 428159.99, 187191.54 428168.66, 187197.02 428176.94, 187206.19 428192.61, 187209.25 428198.59, 187206.32 428200.5, 187208.74 428203.94, 187205.68 428206.11))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_316f,GE026800028,"POLYGON ((184283.94 429118.73, 184283.94 429118.73, 184264.28 429142.11, 184264.28 429142.11, 184197.33 429087.65, 184242.23 429032.13, 184291.64 429073.84, 184296.95 429081.54, 184288.19 429092.7, 184284.47 429103.06, 184283.94 429118.73))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_3170,GE026800078,"POLYGON ((184722.49 427909.61, 184722.49 427909.61, 184662.75 427975.03, 184662.75 427975.03, 184599.91 427928.23, 184653.96 427861.51, 184655.25 427861.51, 184656.81 427860.73, 184658.62 427860.48, 184659.65 427860.48, 184661.98 427860.99, 184701.28 427892.54, 184704.9 427895.13, 184722.49 427909.61))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_3171,GE026800062,"POLYGON ((185182.64 429061.48, 185182.64 429061.48, 185266.13 429213.03, 185266.13 429213.03, 185191.74 429252.21, 185107.46 429104.61, 185182.64 429061.48))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_3172,GE026800100,"POLYGON ((187725.08 428210.92, 187725.08 428210.92, 187731.46 428226.45, 187731.46 428226.45, 187724.24 428236.55, 187702.7 428236.43, 187677.92 428207.44, 187715.94 428174.35, 187736.39 428192.88, 187725.08 428210.92))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_3173,GE026800116,"MULTIPOLYGON (((183670.82 424311.87, 183670.82 424311.87, 183670.82 424312.14, 183670.82 424312.14, 183662.07 424309.49, 183673.56 424276.7, 183704.75 424295.08, 183689.37 424297.03, 183670.82 424311.87)), ((183696.89 424323.1, 183696.89 424323.1, 183691.41 424330.79, 183691.41 424330.79, 183681.07 424326.28, 183686.02 424316.47, 183696.89 424323.1)))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_3174,GE026800018,"POLYGON ((183697.43 427017.91, 183697.43 427017.91, 183691.25 427026.08, 183691.25 427026.08, 183669.37 427008.2, 183675.31 427000.79, 183697.43 427017.91))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_3175,NM026800027,"POLYGON ((183719.04 427005.5, 183719.04 427005.5, 183714.34 427009.03, 183714.34 427009.03, 183698.34 427031.38, 183691.75 427025.97, 183707.51 427004.55, 183693.87 426993.97, 183695.28 426991.38, 183678.57 426977.97, 183680.46 426975.14, 183657.87 426958.91, 183658.34 426957.97, 183670.1 426944.55, 183731.28 426989.26, 183726.1 426995.38, 183719.04 427005.5))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_3176,GE026800099,"POLYGON ((188261.5 428817.4, 188261.5 428817.4, 188174.44 428817.98, 188174.44 428817.98, 188148.56 428841.51, 188146.79 428757.4, 188227.97 428731.51, 188278.56 428698.57, 188363.26 428699.75, 188420.91 428717.4, 188456.2 428828.57, 188389.15 428877.98, 188343.26 428842.1, 188261.5 428817.4))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_3177,GE026800149,"POLYGON ((185518.83 429310.96, 185518.83 429310.96, 185423.68 429423.86, 185423.68 429423.86, 185374.21 429460.02, 185365.96 429437.18, 185362.16 429405.47, 185378.02 429337.6, 185446.52 429264.02, 185518.83 429310.96))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_3178,GE026800117,"POLYGON ((189800.03 427620.36, 189800.03 427620.36, 189758.01 427641, 189758.01 427641, 189707.88 427678.6, 189700.14 427651.32, 189686.87 427600.46, 189679.5 427553.64, 189706.41 427538.9, 189701.25 427526.73, 189717.47 427526.37, 189800.03 427620.36))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_3179,GE026800083,"POLYGON ((186188.44 427537.3, 186188.44 427537.3, 186205.89 427611.86, 186205.89 427611.86, 186200.73 427616.42, 186199.74 427618.01, 186158.5 427580.13, 186158.1 427578.35, 186158.3 427576.17, 186188.44 427537.3))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_317a,GE026800063,"POLYGON ((184787.04 427655.9, 184787.04 427655.9, 184769.8 427686.65, 184769.8 427686.65, 184730.19 427736.05, 184617.88 427653.57, 184729.25 427495.13, 184842.96 427573.89, 184787.04 427655.9))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_317b,GE026800082,"POLYGON ((188033.34 427933.92, 188033.34 427933.92, 188047.9 427913.7, 188047.9 427913.7, 188059.49 427923.03, 188044.5 427943.67, 188033.34 427933.92))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_317c,GE026800102,"POLYGON ((186850.16 429189.8, 186850.16 429189.8, 186860.73 429174.58, 186860.73 429174.58, 186868.96 429173.69, 186844.61 429195.53, 186822.59 429162.23, 186837.27 429152.38, 186837.45 429152.38, 186835.48 429145.76, 186828.5 429136.09, 186832.08 429133.76, 186851.24 429162.23, 186837.63 429171.54, 186850.16 429189.8))"
MIL_BOD_VERONT.fid-36cc8544_1861f90ef02_317d,GE026800133,"POLYGON ((186229.68 429558.87, 186229.68 429558.87, 186269.98 429543.67, 186269.98 429543.67, 186350.58 429646.07, 186304.33 429667.87, 186286.5 429672.5, 186261.39 429675.8, 186219.77 429675.14, 186229.68 429558.87))"
