OBJECTID,PUIC,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,AZIMUT,REF_OVERWEG_PUIC,REF_OVERWEG_NAAM,TYPE_ANDREASKRUIS,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,X,Y,LATITUDE,LONGITUDE,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT
1,4a616980-756c-47fa-915c-5e43dbbbedd8,60,Bestaand,,2021/08/24 00:00:00+00,,519a3018-fb48-4007-95c5-1de018256939,3.5,Enkel spoor,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,3.563903,"3,563903",-4.060252,"-4,060252",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,160010.654,576156.149,53.17207443,5.46213866,Harlingen - Franeker,HLG-FN,Vrije baan
2,ca72f701-721d-4d3f-9207-15277b4cd3f5,60,Bestaand,,2021/08/24 00:00:00+00,,c82eed53-c713-42a6-944e-f2d8267596d8,18.3,Enkel spoor,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,18.329612,"18,329612",3.522411,"3,522411",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,174193.059,563638.227,53.05927123,5.6734857,Sneek Noord - Mantgum,SKND-MG,Vrije baan
3,dd9973be-2173-4557-8b22-d430ca00f235,60,Bestaand,,2021/08/24 00:00:00+00,,1dcceb0f-d6dc-40a5-a1ea-f473fffd76f9,20.5,Enkel spoor,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,20.502684,"20,502684",4.996688,"4,996688",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,173501.011,561575.674,53.0407615,5.66304583,Sneek Noord,SKND,PPLG
4,377a057b-1071-4ceb-9eab-214ecf5133c1,60,Bestaand,,2021/08/24 00:00:00+00,,1dcceb0f-d6dc-40a5-a1ea-f473fffd76f9,20.5,Enkel spoor,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,20.490921,"20,490921",-4.624859,"-4,624859",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,173513.884,561583.741,53.04083354,5.66323821,Sneek Noord,SKND,PPLG
5,cd0ccdbd-2225-4c49-bcab-d25a688605b5,60,Bestaand,,2021/08/24 00:00:00+00,,77c8d913-fcd6-43ab-8285-ee5de05a53e7,13.2,Enkel spoor,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,13.216285,"13,216285",4.643037,"4,643037",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,175817.632,568492.746,53.10283261,5.69802902,Sneek Noord - Mantgum,SKND-MG,Vrije baan
6,3d49efb2-9aae-4c81-94d9-746f2fd20682,60,Bestaand,,2021/08/24 00:00:00+00,,77c8d913-fcd6-43ab-8285-ee5de05a53e7,13.2,Enkel spoor,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,13.203023,"13,203023",-5.086194,"-5,086194",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,175831.068,568502.314,53.10291807,5.69823024,Sneek Noord - Mantgum,SKND-MG,Vrije baan
7,9859746e-f772-42ca-8a83-2434c1407e02,60,Bestaand,,2021/08/24 00:00:00+00,,d6375651-e12d-480d-97ba-49c8929d1703,6.9,Enkel spoor,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,6.988002,"6,988002",3.935144,"3,935144",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,177797.285,574400.815,53.15584026,5.72800371,Mantgum - Leeuwarden,MG-LW,Vrije baan
8,886ea4d9-d5f6-4414-b18a-b94bc44f00fa,,Onbekend,0,,,d6375651-e12d-480d-97ba-49c8929d1703,6.9,Enkel spoor,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,6.988894,"6,988894",4.636777,"4,636777",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,177796.336,574400.193,53.15583471,5.72798948,Mantgum - Leeuwarden,MG-LW,Vrije baan
9,c3dbb4e7-850f-4dc0-8a9f-2d9277c54d64,60,Bestaand,,2021/08/24 00:00:00+00,,f68ca9ce-2270-4c81-be8c-9b67005eea5e,0.9,Enkel spoor,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,0.948929,"0,948929",-3.646246,"-3,646246",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,157398.905,575963.927,53.17036532,5.42307979,Harlingen,HLG,PPLG
10,d5cefe27-fa5e-4a26-8ec3-30a009afd441,60,Bestaand,,2021/08/24 00:00:00+00,,f68ca9ce-2270-4c81-be8c-9b67005eea5e,0.9,Enkel spoor,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,0.937887,"0,937887",4.064276,"4,064276",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,157388.293,575955.779,53.17029216,5.42292104,Harlingen,HLG,PPLG
