FID,AANT_SB,OPENINGSTIJDEN,ROLSTOELTOEG,SB_AANDUIDING,SB_ADRES,SB_NAAM,SB_POSTCODE,SB_WOONPLAATS,LONGITUDE,LATITUDE

Stembureaus2021_Woe.161,1,7:30 tot 21:00 uur,Ja,,Ariaweg 111,Gymzaal Ariaweg,3816HJ,Amersfoort,5.41454854132399,52.1559243247319

Stembureaus2021_Woe.162,2,7:30 tot 21:00 uur,Ja,,Oceaan 10,ABC-school De Bron,3825WC,Amersfoort,5.42176522195847,52.1934943773965

Stembureaus2021_Woe.163,1,7:30 tot 21:00 uur,Ja,,Ringweg-Kruiskamp 74,Adventkerk,3814TE,Amersfoort,5.4026036519893,52.1634250291075

Stembureaus2021_Woe.164,1,7:30 tot 21:00 uur,Ja,,Meridiaan 39,Apostolisch Genootschap,3813AT,Amersfoort,5.38691858972668,52.1641485984694

Stembureaus2021_Woe.165,2,7:30 tot 21:00 uur,Ja,,Dr. Abraham Kuyperlaan 2,Bergkerk,3818JC,Amersfoort,5.36709260396049,52.1485087883456

Stembureaus2021_Woe.166,1,7:30 tot 21:00 uur,Ja,,Watersteeg 2,Boogkerk,3824EM,Amersfoort,5.37587299177173,52.2001380043221

Stembureaus2021_Woe.167,1,7:30 tot 21:00 uur,Ja,,Verzetsplein 6,Burgemeester Molendijkflat,3815ZH,Amersfoort,5.41674156304716,52.1666112921494

Stembureaus2021_Woe.168,1,7:30 tot 21:00 uur,Ja,,Coelhorsterweg 21,Café De Plank,3828PA,Hoogland,5.36126350189442,52.1824844768029

Stembureaus2021_Woe.169,2,7:30 tot 21:00 uur,Ja,,Vogelplein 1,De Bron (kerk),3815GV,Amersfoort,5.40826237188974,52.1659614539733

Stembureaus2021_Woe.170,1,7:30 tot 21:00 uur,Ja,,Hamseweg 5,De Faam,3828AA,Hoogland,5.37321556997427,52.1809451238146

Stembureaus2021_Woe.171,1,7:30 tot 21:00 uur,Ja,,Magelhaenstraat 70,De Schaapskooi,3814XP,Amersfoort,5.40243164610187,52.1603772615901

Stembureaus2021_Woe.172,1,7:30 tot 21:00 uur,Ja,,Noordewierweg 131,Emmauskerk,3812DD,Amersfoort,5.36532331714555,52.1601747524894

Stembureaus2021_Woe.173,1,7:30 tot 21:00 uur,Ja,,Amersfoortsestraat 10,Feefa,3821CB,Amersfoort,5.43645509569352,52.1725026346085

Stembureaus2021_Woe.174,1,7:30 tot 21:00 uur,Ja,,Oliemolenhof 22,Fluor poppodium,3812 PB,Amersfoort,5.37918922618617,52.1601810500478

Stembureaus2021_Woe.175,2,7:30 tot 21:00 uur,Ja,,Robert Kochstraat 4,Fonteinkerk,3817JM,Amersfoort,5.38040130450982,52.1386272413538

Stembureaus2021_Woe.176,2,7:30 tot 21:00 uur,Ja,,Stadhuisplein 1,Gemeentehuis,3811 LM,Amersfoort,5.38416415437293,52.1567164715687

Stembureaus2021_Woe.177,2,7:30 tot 21:00 uur,Ja,,Dopheide 1,Gymzaal Dopheide,3823HL,Amersfoort,5.39388655454428,52.1906508946764

Stembureaus2021_Woe.178,1,7:30 tot 21:00 uur,Ja,,Evertsenstraat 39,Gymzaal Kindcentrum Vlinderslag,3814SG,Amersfoort,5.39322943453604,52.1632856327625

Stembureaus2021_Woe.179,2,7:30 tot 21:00 uur,Ja,,Hugo de Grootlaan 25,Gymzaal Lyceum De Amersfoortse Berg,3818TA,Amersfoort,5.37377773060323,52.1409068861275

Stembureaus2021_Woe.180,1,7:30 tot 21:00 uur,Ja,,Angelinapolder 3,Hart van Vathorst,3825 LX,Amersfoort,5.42897496704089,52.1962189800631

Stembureaus2021_Woe.181,2,7:30 tot 21:00 uur,Ja,,Soesterweg 330,Holland Opera/ De Veerensmederij,3812 BH,Amersfoort,5.36222715945053,52.1565780750846

Stembureaus2021_Woe.182,1,7:30 tot 21:00 uur,Ja,,Euroweg 101,IKEA Drive-In,3825 HB,Amersfoort,5.41745272660287,52.1853723501505

Stembureaus2021_Woe.183,1,7:30 tot 21:00 uur,Ja,,Veenslagen 2,Informatiecentrum Vathorst,3825RV,Amersfoort,5.41412692105962,52.1941066060554

Stembureaus2021_Woe.184,1,7:30 tot 21:00 uur,Ja,,Klaartje Donzepad 59,Kerkelijk Centrum De Hoeksteen,3813PZ,Amersfoort,5.38924130156686,52.1729854570973

Stembureaus2021_Woe.185,1,7:30 tot 21:00 uur,Ja,,Laan naar Emiclaer 1,Kerkgebouw De Lichtkring,3823EG,Amersfoort,5.39723413341329,52.1843879547035

Stembureaus2021_Woe.186,1,7:30 tot 21:00 uur,Ja,,Laan naar Emiclaer 101,Kerkgebouw Het Brandpunt,3823EG,Amersfoort,5.40061983490029,52.1867721025597

Stembureaus2021_Woe.187,2,7:30 tot 21:00 uur,Ja,,Daam Fockemalaan 10,Leerschool Het Klooster,3818 KG,Amersfoort,5.35345934782656,52.1413063156128

Stembureaus2021_Woe.188,2,7:30 tot 21:00 uur,Ja,,Albert Schweitzersingel 69,Leger des Heils,3822 BV,Amersfoort,5.40394931616006,52.1783680651212

Stembureaus2021_Woe.189,2,7:30 tot 21:00 uur,Ja,,Copernicusstraat 18,Martuskerk,3817VJ,Amersfoort,5.38184539428527,52.1429091660626

