OBJECTID,KDUVORM,KDUHGA1,KDUBOKBO,KDUBOKBE,KDULENGT,KDUBREED,XXXMATER,KDUSOORT,KWKAFSL1,KWKARCH,KWKDATUM,KWKOPME,KWKPLAAN,OSMOMSCH,KWKAFSL2,IWS_MEMO,KWKNAAM,IWS_LEGGERSTATUS,IWS_OH_RENOVATIEJAAR,KDUIDENT,IWS_WATERBEHEERFUNCTIE,IWS_AFST_B,KDUMOEBE,KDUMOEBO,KWKKEREN,OBJECTID_1,KDUIDENT_1,ONDERHOUDSPLICHTIGE_1,ONDERHOUDSVERPLICHTING_1,ONDERHOUDSPLICHTIGE_2,ONDERHOUDSVERPLICHTING_2,Shape__Length,RICHTING
1,1,,-1.47,-2.93,27.7,0.5,13,,4,,2022,,,vispassage,,,,1,,D750731,3,,,,,,,Waterschap,Geheel onderhoud,,,27.7421436689266,
2,1,,10.59,10.59,7.15,0.4,21,3,4,,2021,,,Instroomduiker (Inlaat),,"Inlaat
Alles RVS
Min hgt 10,59
Max hgt 10,99
Br 0,40",,1,,D751371,3,1,,,,,,Waterschap,Geheel onderhoud,,,11.9093586877099,
3,1,,-1,-1,3.8,0.4,21,,4,,,,,,,,,1,,10576I,3,,,,,,,,,,,3.80004414765425,
4,1,0.7,-0.4,-0.52,3.94,0.7,3,,4,,2021,,,Inlaat,,"Inlaat
vierkant RVS
Min. 0,982
Max. 1,269
Br. 0,80",,1,,300I1,3,2,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,3.09767085786464,
5,1,,0.1,0.1,92,1,3,,,,1988,Geen peilscheiding,,,,Meetspijker in stuw zuidkant Vossersteeg bij HS 103,Vossersteeg,1,,SZ.270.62-D1,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,92.0222499274036,
6,1,,,,,0.5,,,5,,,,,uitlaat duiker,4,"De duiker ligt er ivm een laagte achter de kering. info van Johan Elshof.
Onderhoud: Betreffende de sluitmiddelen doet het waterschap , duiker onderhoud is onduidelijk mogelijk bij gemeente Dalfsen (1998 aangelegd moelijk dan iets te vinden ??) Victor Frankena  weet meer ",uitlaat duiker Maneweg,1,,IWK-09-0070,3,2,,,1,,,Waterschap,Onbekend,,,5.98908774367047,
7,,,,,83.5,,,,4,,,,,in/uitlaat duiker vijvers Bellingeweer,,,in/uitlaat duiker vijvers Bellingeweer,1,,OV.110-D116,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,83.4477729628649,
8,1,,,,,,21,,,,,,,Inlaat,4,,,2,,769611I,3,,,,,,,Waterschap,Geheel onderhoud,,,0.207059894503233,
9,2,,9.81,9.81,3.8,0.4,3,4,4,Revisie RAK Zuidwolde Fase 1,2006,Drempel 9.809,,Stuw met inlaatfunctie,,,628 SCHAPENDIJK (KST),1,,628 SCHAPENDIJK (KST),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,3.88063611705664,
10,1,,-0.92,-0.76,10.6,0.3,20,4,4,,,,,Dam met duiker en inlaat,,Meetbout ingemeten door RB,823E,1,,823E,3,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,10.1090838283692,
11,2,1.25,3.9,3.9,2,2.5,3,4,4,,,Min 5.00 Max. 6.5,DH4 104OV-8 telemetrie,Inlaat,,Meetspijker van de stuw 301 Koningsschut Vistrap,301 KONINGSSCHUT INLAAT,1,,301 KONINGSSCHUT INLAAT,3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,1.39897054986566,
12,1,,0.02,-0.01,10,0.5,3,,,,1992,,,,,,Middenweg,1,,SZ.270.16-D1,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,9.96334786995206,
13,2,,-2.35,-1.42,2,0.5,28,4,4,,,,,854 BLANKENHAM (KIN),,Hoogte is dezelfde hoogte als het gemaal.,854 BLANKENHAM (KIN),1,,854 BLANKENHAM (KIN),3,1,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.62141696695435,
14,1,,-1.34,-1.34,8.9,2.5,20,4,4,,,,,Dam met duiker en inlaat,,Geen meetbout. HR 19-07-2018,811M,1,,811M,3,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,9.18787108308908,
