OBJECTID,PUIC,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,FYSIEK_VOORKOMEN,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BEHEERDER,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,NAAM,OP_TALUD,Shape__Area,Shape__Length
1,19a76b5121d145b1b884f6ebb622facc,2019/09/25 14:14:27+00,L0004,Prorail,bestaand,0,open verharding,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,9.538909,"9,538909",Randstad Noord,RN,Weesp,11,BASIS,Amstelsepoort,BASIS,Randstad Noord,RN,ProRail,139105.340127,484265.0645,52.34606827,5.15394349,0.005425,283,gerealiseerd,,Ja,0.005425,0.619339020820502
2,0e1030a5ce3449178895ce39c7fa6a3e,2020/09/18 18:04:27+00,L0004,Prorail,bestaand,0,open verharding,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,5.55911,"5,559110",Randstad Noord,RN,Weesp,11,BASIS,Amstelsepoort,BASIS,Randstad Noord,RN,ProRail,136845.8345,481297.5215,52.31932734,5.12094454,8.060841,283,gerealiseerd,,Ja,8.060841,14.9698632399755
3,f07f7a63dd514d38810a7317265b5f4e,2020/09/18 18:05:26+00,L0004,Prorail,bestaand,0,open verharding,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,4.760017,"4,760017",Randstad Noord,RN,Weesp,11,BASIS,Amstelsepoort,BASIS,Randstad Noord,RN,ProRail,136077.235,481095.299362,52.31748395,5.10968329,14.111011,283,gerealiseerd,,Ja,14.111011,23.1644775404639
4,6f85a9323cf34bafbcfc7ac5a7fce850,2015/05/20 14:51:26+00,L0004,Prorail,bestaand,0,open verharding,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,34.771196,"34,771196",Randstad Noord,RN,Weesp,11,BASIS,Amstelsepoort,BASIS,Randstad Noord,RN,ProRail,158583.4975,497908.868494,52.46890972,5.43993996,6.457708,283,gerealiseerd,,Ja,6.457708,12.0210866185069
5,e4327806bad14ccd93e5be4962b2b768,2020/10/05 16:03:00+00,L0004,Prorail,bestaand,0,gesloten verharding,087,,87,087__,Weesp Aansl. - Hilversum,Asd-Zp,Amsterdam Centraal - Zutphen ,23.829625,"23,829625",Randstad Noord,RN,Amersfoort,12,BASIS,Eemland,BASIS,Randstad Noord,RN,ProRail,139689.181,475295.898783,52.26547334,5.16291854,3.995788,283,gerealiseerd,,Ja,3.9957885,8.0161379858478
6,991102bc03974e87b2fe2ed5d46bbc15,2020/09/18 18:04:07+00,L0004,Prorail,bestaand,0,open verharding,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,11.608829,"11,608829",Randstad Noord,RN,Weesp,11,BASIS,Amstelsepoort,BASIS,Randstad Noord,RN,ProRail,140445.6525,485793.095005,52.35983863,5.17354693,15.067477,283,gerealiseerd,,Ja,15.067477,21.0112350971526
7,a726e13178de4f6b933a18cf35ea96c3,2020/09/18 18:09:08+00,L0004,Prorail,bestaand,0,open verharding,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,37.211299,"37,211299",Randstad Noord,RN,Weesp,11,BASIS,Amstelsepoort,BASIS,Randstad Noord,RN,ProRail,160330.371124,499613.56,52.48421614,5.46567445,9.562717,283,gerealiseerd,,Ja,9.562717,20.1906670532539
8,e0f7a6ff4303417aac9996176cca6d3b,2015/05/20 14:51:26+00,L0004,Prorail,bestaand,0,gesloten verharding,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,34.195695,"34,195695",Randstad Noord,RN,Weesp,11,BASIS,Amstelsepoort,BASIS,Randstad Noord,RN,ProRail,158171.8665,497506.510794,52.46529613,5.43387851,6.432878,283,gerealiseerd,,Ja,6.432878,12.0867242228304
9,ef3d8e8a547b40d6ac24f6a1d6b2c331,2015/05/20 14:50:14+00,L0004,Prorail,bestaand,0,open verharding,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,43.142499,"43,142499",Randstad Noord,RN,Weesp,11,BASIS,Amstelsepoort,BASIS,Randstad Noord,RN,ProRail,161141.968055,505349.6835,52.53575982,5.47772796,12.690101,283,gerealiseerd,,Ja,12.6901015,21.0737055275595
10,738c03d9930148fea3371fbc1349e4d7,2015/05/20 14:50:02+00,L0004,Prorail,bestaand,0,open verharding,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,9.124605,"9,124605",Randstad Noord,RN,Weesp,11,BASIS,Amstelsepoort,BASIS,Randstad Noord,RN,ProRail,138968.739017,483874.6215,52.34255518,5.15195742,20.846184,283,gerealiseerd,,Ja,20.846184,19.3996369276514
