FID,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2004.1,16-04-2004,,,"LINESTRING (38909 407675, 33497 401631)"
vlieglijnen_kust_2004.2,17-03-2004,,,"LINESTRING (37760 416420, 39278 409478)"
vlieglijnen_kust_2004.3,17-03-2004,,,"LINESTRING (37511 416156, 38962 409521)"
vlieglijnen_kust_2004.4,17-03-2004,,,"LINESTRING (37270 415853, 38585 409839)"
vlieglijnen_kust_2004.5,17-03-2004,,,"LINESTRING (38021 416633, 39539 409691)"
vlieglijnen_kust_2004.6,17-03-2004,,,"LINESTRING (49110 425900, 49938 422451)"
vlieglijnen_kust_2004.7,16-04-2004,,,"LINESTRING (19859 396491, 19571 394958)"
vlieglijnen_kust_2004.8,16-04-2004,,,"LINESTRING (14243 377289, 25447 381627)"
vlieglijnen_kust_2004.9,17-03-2004,,,"LINESTRING (37046 415472, 38215 410126)"
vlieglijnen_kust_2004.10,17-03-2004,,,"LINESTRING (49754 421184, 38950 417743)"
vlieglijnen_kust_2004.11,17-03-2004,,,"LINESTRING (49637 420832, 38495 417283)"
vlieglijnen_kust_2004.12,17-03-2004,,,"LINESTRING (49436 420453, 38064 416831)"
vlieglijnen_kust_2004.13,17-03-2004,,,"LINESTRING (49129 420040, 37825 416440)"
vlieglijnen_kust_2004.14,17-03-2004,,,"LINESTRING (47727 419279, 37347 415973)"
vlieglijnen_kust_2004.15,17-03-2004,,,"LINESTRING (47769 418977, 44687 417996)"
vlieglijnen_kust_2004.16,17-03-2004,,,"LINESTRING (47888 418700, 45436 417920)"
vlieglijnen_kust_2004.17,17-03-2004,,,"LINESTRING (47930 418399, 45814 417725)"
vlieglijnen_kust_2004.18,17-03-2004,,,"LINESTRING (48056 418124, 46509 417632)"
vlieglijnen_kust_2004.19,17-03-2004,,,"LINESTRING (50214 422962, 49573 420800)"
vlieglijnen_kust_2004.20,17-03-2004,,,"LINESTRING (36829 415061, 37866 410318)"
vlieglijnen_kust_2004.21,17-03-2004,,,"LINESTRING (36620 414614, 37451 410812)"
vlieglijnen_kust_2004.22,17-03-2004,,,"LINESTRING (49921 423031, 49292 420908)"
vlieglijnen_kust_2004.23,17-03-2004,,,"LINESTRING (60213 430234, 49528 426521)"
vlieglijnen_kust_2004.24,17-03-2004,,,"LINESTRING (60678 430079, 49368 426147)"
vlieglijnen_kust_2004.25,17-03-2004,,,"LINESTRING (60965 429861, 49056 425721)"
vlieglijnen_kust_2004.26,17-03-2004,,,"LINESTRING (61095 429588, 57115 428205)"
vlieglijnen_kust_2004.27,17-03-2004,,,"LINESTRING (61218 429313, 57856 428145)"
vlieglijnen_kust_2004.28,17-03-2004,,,"LINESTRING (61370 429049, 58331 427992)"
vlieglijnen_kust_2004.29,17-03-2004,,,"LINESTRING (61510 428780, 59081 427935)"
vlieglijnen_kust_2004.30,17-03-2004,,,"LINESTRING (61639 428507, 59804 427869)"
vlieglijnen_kust_2004.31,17-03-2004,,,"LINESTRING (61732 428222, 60231 427700)"
vlieglijnen_kust_2004.32,17-03-2004,,,"LINESTRING (61830 427938, 60619 427517)"
vlieglijnen_kust_2004.33,17-03-2004,,,"LINESTRING (61929 427655, 60800 427263)"
vlieglijnen_kust_2004.34,17-03-2004,,,"LINESTRING (57789 429709, 49854 426952)"
vlieglijnen_kust_2004.35,16-04-2004,,,"LINESTRING (24670 388614, 29332 384585)"
vlieglijnen_kust_2004.36,16-04-2004,,,"LINESTRING (24331 389304, 29675 384685)"
vlieglijnen_kust_2004.37,16-04-2004,,,"LINESTRING (23895 390077, 30014 384789)"
vlieglijnen_kust_2004.38,16-04-2004,,,"LINESTRING (19585 394198, 30366 384881)"
vlieglijnen_kust_2004.39,16-04-2004,,,"LINESTRING (28033 401789, 19513 396430)"
vlieglijnen_kust_2004.40,16-04-2004,,,"LINESTRING (28656 401826, 19308 395947)"
vlieglijnen_kust_2004.41,16-04-2004,,,"LINESTRING (27393 401740, 19712 396910)"
vlieglijnen_kust_2004.42,16-04-2004,,,"LINESTRING (19203 394924, 30994 384735)"
vlieglijnen_kust_2004.43,16-04-2004,,,"LINESTRING (19263 395270, 24415 390817)"
vlieglijnen_kust_2004.44,16-04-2004,,,"LINESTRING (27973 402231, 37050 402839)"
vlieglijnen_kust_2004.45,16-04-2004,,,"LINESTRING (27077 401870, 37100 402542)"
vlieglijnen_kust_2004.46,16-04-2004,,,"LINESTRING (26996 401564, 36717 402215)"
vlieglijnen_kust_2004.47,16-04-2004,,,"LINESTRING (31737 401581, 36263 401884)"
vlieglijnen_kust_2004.48,16-04-2004,,,"LINESTRING (31762 401282, 35607 401540)"
vlieglijnen_kust_2004.49,16-04-2004,,,"LINESTRING (31798 400984, 33743 401114)"
vlieglijnen_kust_2004.50,16-04-2004,,,"LINESTRING (38489 407656, 33006 401532)"
vlieglijnen_kust_2004.51,16-04-2004,,,"LINESTRING (39117 407458, 33806 401525)"
vlieglijnen_kust_2004.52,16-04-2004,,,"LINESTRING (25120 387829, 28550 384865)"
vlieglijnen_kust_2004.53,16-04-2004,,,"LINESTRING (14069 377543, 24972 381765)"
vlieglijnen_kust_2004.54,16-04-2004,,,"LINESTRING (14451 377048, 25919 381488)"
vlieglijnen_kust_2004.55,16-04-2004,,,"LINESTRING (13889 377796, 24177 381779)"
vlieglijnen_kust_2004.56,16-04-2004,,,"LINESTRING (14342 378292, 19162 380159)"
vlieglijnen_kust_2004.57,16-04-2004,,,"LINESTRING (24536 381686, 28390 380090)"
vlieglijnen_kust_2004.58,16-04-2004,,,"LINESTRING (24903 381859, 28450 380390)"
vlieglijnen_kust_2004.59,16-04-2004,,,"LINESTRING (25848 381793, 28540 380677)"
vlieglijnen_kust_2004.60,17-03-2004,,,"LINESTRING (49397 425989, 50228 422526)"
vlieglijnen_kust_2004.61,16-04-2004,,,"LINESTRING (19564 396547, 19276 395014)"
vlieglijnen_kust_2004.62,16-04-2004,,,"LINESTRING (41068 412826, 37912 406058)"
vlieglijnen_kust_2004.63,17-03-2004,,,"LINESTRING (49663 421470, 38859 418029)"
vlieglijnen_kust_2004.64,17-03-2004,,,"LINESTRING (36469 413898, 37078 411116)"
vlieglijnen_kust_2004.65,02-04-2004,,,"LINESTRING (216541 611797, 219438 611899)"
vlieglijnen_kust_2004.66,29-03-2004,,,"LINESTRING (173854 604540, 170227 607694)"
vlieglijnen_kust_2004.67,02-04-2004,,,"LINESTRING (203491 611642, 219033 612185)"
vlieglijnen_kust_2004.68,29-03-2004,,,"LINESTRING (173428 604116, 169801 607269)"
vlieglijnen_kust_2004.69,29-03-2004,,,"LINESTRING (173190 603926, 169562 607079)"
vlieglijnen_kust_2004.70,29-03-2004,,,"LINESTRING (172985 603706, 169553 606689)"
vlieglijnen_kust_2004.71,29-03-2004,,,"LINESTRING (173657 604314, 170030 607467)"
vlieglijnen_kust_2004.72,29-03-2004,,,"LINESTRING (169864 607418, 194212 608268)"
vlieglijnen_kust_2004.73,29-03-2004,,,"LINESTRING (204707 606876, 203167 610032)"
vlieglijnen_kust_2004.74,29-03-2004,,,"LINESTRING (205069 606818, 203234 610580)"
vlieglijnen_kust_2004.75,02-04-2004,,,"LINESTRING (192968 607625, 193920 607658)"
vlieglijnen_kust_2004.76,02-04-2004,,,"LINESTRING (192856 607921, 193832 607955)"
vlieglijnen_kust_2004.77,29-03-2004,,,"LINESTRING (205327 606973, 203346 611036)"
vlieglijnen_kust_2004.78,02-04-2004,,,"LINESTRING (170060 607725, 206045 608982)"
vlieglijnen_kust_2004.79,02-04-2004,,,"LINESTRING (170276 608033, 206317 609292)"
vlieglijnen_kust_2004.80,29-03-2004,,,"LINESTRING (170414 608338, 194119 609166)"
vlieglijnen_kust_2004.81,29-03-2004,,,"LINESTRING (170644 608646, 194011 609462)"
vlieglijnen_kust_2004.82,29-03-2004,,,"LINESTRING (170930 608956, 175803 609127)"
vlieglijnen_kust_2004.83,29-03-2004,,,"LINESTRING (171299 609269, 175521 609417)"
vlieglijnen_kust_2004.84,29-03-2004,,,"LINESTRING (207704 602783, 203295 611823)"
vlieglijnen_kust_2004.85,29-03-2004,,,"LINESTRING (207963 602938, 203567 611950)"
vlieglijnen_kust_2004.86,02-04-2004,,,"LINESTRING (205859 607936, 203871 612012)"
vlieglijnen_kust_2004.87,02-04-2004,,,"LINESTRING (205915 608504, 204219 611982)"
vlieglijnen_kust_2004.88,02-04-2004,,,"LINESTRING (205984 609048, 204568 611951)"
vlieglijnen_kust_2004.89,02-04-2004,,,"LINESTRING (206133 609426, 204874 612009)"
vlieglijnen_kust_2004.90,02-04-2004,,,"LINESTRING (206411 609541, 205279 611862)"
vlieglijnen_kust_2004.91,02-04-2004,,,"LINESTRING (217670 614839, 220241 614929)"
vlieglijnen_kust_2004.92,29-03-2004,,,"LINESTRING (204498 606620, 202933 609828)"
vlieglijnen_kust_2004.93,17-04-2004,,,"LINESTRING (203481 611942, 219682 612508)"
vlieglijnen_kust_2004.94,17-04-2004,,,"LINESTRING (203656 612248, 220140 612824)"
vlieglijnen_kust_2004.95,17-04-2004,,,"LINESTRING (203822 612554, 221005 613154)"
vlieglijnen_kust_2004.96,17-04-2004,,,"LINESTRING (204123 612865, 221338 613466)"
vlieglijnen_kust_2004.97,02-04-2004,,,"LINESTRING (204434 613176, 221324 613766)"
vlieglijnen_kust_2004.98,02-04-2004,,,"LINESTRING (205016 613496, 221256 614063)"
vlieglijnen_kust_2004.99,02-04-2004,,,"LINESTRING (212203 614047, 221292 614365)"
vlieglijnen_kust_2004.100,02-04-2004,,,"LINESTRING (216085 614483, 221267 614664)"
vlieglijnen_kust_2004.101,02-04-2004,,,"LINESTRING (206678 609677, 205539 612014)"
vlieglijnen_kust_2004.102,29-03-2004,,,"LINESTRING (171499 609577, 174393 609678)"
vlieglijnen_kust_2004.103,15-04-2004,,,"LINESTRING (119913 579655, 126055 583202)"
vlieglijnen_kust_2004.104,15-04-2004,,,"LINESTRING (119613 579829, 126362 583726)"
vlieglijnen_kust_2004.105,15-04-2004,,,"LINESTRING (119385 580044, 126692 584262)"
vlieglijnen_kust_2004.106,15-04-2004,,,"LINESTRING (119168 580265, 124797 583514)"
vlieglijnen_kust_2004.107,15-04-2004,,,"LINESTRING (134915 589356, 136040 590006)"
vlieglijnen_kust_2004.108,15-04-2004,,,"LINESTRING (118990 580509, 124901 583921)"
vlieglijnen_kust_2004.109,15-04-2004,,,"LINESTRING (134768 589618, 135871 590255)"
vlieglijnen_kust_2004.110,15-04-2004,,,"LINESTRING (119008 580865, 125475 584599)"
vlieglijnen_kust_2004.111,15-04-2004,,,"LINESTRING (134615 589876, 136011 590682)"
vlieglijnen_kust_2004.112,15-04-2004,,,"LINESTRING (118781 581080, 125775 585118)"
vlieglijnen_kust_2004.113,15-04-2004,,,"LINESTRING (134458 590132, 136145 591106)"
vlieglijnen_kust_2004.114,15-04-2004,,,"LINESTRING (118507 581268, 126329 585785)"
vlieglijnen_kust_2004.115,15-04-2004,,,"LINESTRING (134313 590394, 135710 591201)"
vlieglijnen_kust_2004.116,15-04-2004,,,"LINESTRING (118481 581600, 127200 586634)"
vlieglijnen_kust_2004.117,15-04-2004,,,"LINESTRING (134175 590661, 135296 591309)"
vlieglijnen_kust_2004.118,15-04-2004,,,"LINESTRING (121423 583645, 134924 591440)"
vlieglijnen_kust_2004.119,29-03-2004,,,"LINESTRING (124133 585556, 141563 595619)"
vlieglijnen_kust_2004.120,15-04-2004,,,"LINESTRING (125352 586606, 140822 595538)"
vlieglijnen_kust_2004.121,15-04-2004,,,"LINESTRING (126059 587361, 133932 591907)"
vlieglijnen_kust_2004.122,01-04-2004,,,"LINESTRING (141745 600683, 164558 607153)"
vlieglijnen_kust_2004.123,01-04-2004,,,"LINESTRING (141549 600316, 172106 608982)"
vlieglijnen_kust_2004.124,01-04-2004,,,"LINESTRING (141405 599963, 172494 608780)"
vlieglijnen_kust_2004.125,01-04-2004,,,"LINESTRING (141096 599563, 166080 606649)"
vlieglijnen_kust_2004.126,01-04-2004,,,"LINESTRING (140504 599084, 144171 600124)"
vlieglijnen_kust_2004.127,01-04-2004,,,"LINESTRING (164314 605836, 166453 606443)"
vlieglijnen_kust_2004.128,01-04-2004,,,"LINESTRING (140095 598656, 144087 599788)"
vlieglijnen_kust_2004.129,01-04-2004,,,"LINESTRING (164426 605556, 166612 606176)"
vlieglijnen_kust_2004.130,01-04-2004,,,"LINESTRING (139591 598201, 143886 599419)"
vlieglijnen_kust_2004.131,01-04-2004,,,"LINESTRING (164530 605274, 166398 605804)"
vlieglijnen_kust_2004.132,01-04-2004,,,"LINESTRING (139350 597821, 143972 599132)"
vlieglijnen_kust_2004.133,01-04-2004,,,"LINESTRING (164675 605003, 165907 605353)"
vlieglijnen_kust_2004.134,01-04-2004,,,"LINESTRING (139111 597441, 144058 598844)"
vlieglijnen_kust_2004.135,01-04-2004,,,"LINESTRING (138924 597076, 144230 598581)"
vlieglijnen_kust_2004.136,15-04-2004,,,"LINESTRING (138948 596772, 144254 598276)"
