OBJECTID;VOLTAGE_KABEL;CLASS_CABLE;CROSSSECTION;CABLE_TYPE;CABLE_MATERIAL;NOMINAL_VOLTAGE;YEAR_OF_CONSTRUCTION;EIGENAAR;STATUS_KABEL;LENGTH;INFOTEXT;DATE_MODIFIED;BEHEERDER_OMS;FUNCTIE_KABEL;OPNAMELIGGING
56;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;2010;Gemeente Den Haag;In bedrijf;5.77;OV 4x2,5 CU;2016-10-31;Gemeente Den Haag;Aansluiting;Analoog ingemeten
57;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;1.46;OV Onb. 0;2013-01-08;Gemeente Den Haag;Aansluiting;Onbekend
59;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;10.31;OV Onb. 0;2016-05-18;Gemeente Den Haag;Aansluiting;Onbekend
60;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;;Gemeente Den Haag;In bedrijf;2.09; ;2013-12-09;Gemeente Den Haag;Aansluiting;Analoog ingemeten
62;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;1.58;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
63;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;;Gemeente Den Haag;In bedrijf;12.86; ;2013-12-18;Gemeente Den Haag;Aansluiting;Analoog ingemeten
64;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;3.02;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
66;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;1.45;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
68;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;3.54;OV Onb. 0;2016-07-25;Gemeente Den Haag;Aansluiting;Onbekend
221;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;Fysiek verwijderd;7;OV Onb. 0;2015-11-12;Gemeente Den Haag;Aansluiting;Onbekend
223;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;;Gemeente Den Haag;In bedrijf;1.83; ;2013-08-02;Gemeente Den Haag;Aansluiting;Analoog ingemeten
224;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;;Gemeente Den Haag;Buiten bedrijf;18.41; ;2014-09-29;Gemeente Den Haag;Aansluiting;Analoog ingemeten
226;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;;Gemeente Den Haag;In bedrijf;15.05; ;2014-01-28;Gemeente Den Haag;Aansluiting;Analoog ingemeten
227;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;3.73;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
230;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;9.46;OV Onb. 0;2017-03-29;Gemeente Den Haag;Aansluiting;Onbekend
231;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;3.35;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
233;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;12.59;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
235;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;1.51;OV Onb. 0;2017-03-29;Gemeente Den Haag;Aansluiting;Onbekend
238;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;3.01;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
239;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;;Gemeente Den Haag;In bedrijf;1.25; ;2013-12-06;Gemeente Den Haag;Aansluiting;Analoog ingemeten
240;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;12.42;OV Onb. 0;2016-03-14;Gemeente Den Haag;Aansluiting;Onbekend
241;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;26.02;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
242;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;;Gemeente Den Haag;In bedrijf;32.84; ;2013-07-22;Gemeente Den Haag;Aansluiting;Analoog ingemeten
92;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;15.93;OV Onb. 0;2017-03-30;Gemeente Den Haag;Aansluiting;Onbekend
93;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;12.06;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
94;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;;Gemeente Den Haag;In bedrijf;2.28; ;2014-02-25;Gemeente Den Haag;Aansluiting;Analoog ingemeten
96;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;23.32;OV Onbekend Onb.;2017-03-16;Gemeente Den Haag;Aansluiting;Onbekend
97;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;9.16;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
99;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;;Gemeente Den Haag;Fysiek verwijderd;14.53; ;2014-07-10;Gemeente Den Haag;Aansluiting;Analoog ingemeten
100;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;1.2;OV Onb. 0;2017-03-29;Gemeente Den Haag;Aansluiting;Onbekend
101;Openbare verlichting;Ondergronds;4 x 2,5;Onbekend;Onbekend;400;1800;Gemeente Den Haag;In bedrijf;1.09;OV 4x2,5 Onb.;2015-01-05;Gemeente Den Haag;Aansluiting;Analoog ingemeten
103;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;;Gemeente Den Haag;In bedrijf;4.61; ;2013-08-02;Gemeente Den Haag;Aansluiting;Analoog ingemeten
104;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;10.04;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
105;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;1.82;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
107;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;In bedrijf;5.33;OV Onb. 0;2011-09-21;Gemeente Den Haag;Aansluiting;Onbekend
109;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;;Gemeente Den Haag;In bedrijf;1.44; ;2013-08-30;Gemeente Den Haag;Aansluiting;Analoog ingemeten
110;Openbare verlichting;Ondergronds;Onbekend;Onbekend;Onbekend;0;1800;Gemeente Den Haag;Fysiek verwijderd;10.54;OV Onb. 0;2016-09-29;Gemeente Den Haag;Aansluiting;Onbekend
111;Openbare verlichting;Ondergronds;4 x 2,5;VO-YMvKas;Koper;400;;Gemeente Den Haag;In bedrijf;1.21; ;2014-02-26;Gemeente Den Haag;Aansluiting;Analoog ingemeten
