FID,id,filenaam,links,rechts,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vliegln_krib_waal_2003.1,1,w01,432.4,-460,2003-02-09T00:00:00,,,"LINESTRING (174816.7190000005 433933.813000001, 165635.9059999995 434914.2809999995)"
vliegln_krib_waal_2003.2,2,w02,460.4,-407.3,2003-02-09T00:00:00,,,"LINESTRING (209317.0940000005 427969.25, 206424.125 429392.125)"
vliegln_krib_waal_2003.3,3,w03,481.3,-443.3,2003-02-09T00:00:00,,,"LINESTRING (207705.375 429084.938000001, 202991.188000001 429111.061999999)"
vliegln_krib_waal_2003.4,4,w04,427.4,-452.5,2003-02-09T00:00:00,,,"LINESTRING (204720.686999999 428405.813000001, 200243.4840000011 432132.625)"
vliegln_krib_waal_2003.5,5,w05,414.6,-421.6,2003-02-09T00:00:00,,,"LINESTRING (201206.8590000011 431132.0309999995, 197300.2659999989 433224.625)"
vliegln_krib_waal_2003.6,6,w06,473.4,-448.2,2003-02-09T00:00:00,,,"LINESTRING (197738.5159999989 432797.4059999995, 196007.813000001 431586.7190000005)"
vliegln_krib_waal_2003.7,7,w07,416.8,-415.7,2003-02-09T00:00:00,,,"LINESTRING (196590.5469999984 431937.313000001, 195375.7659999989 429185.4690000005)"
vliegln_krib_waal_2003.8,8,w08,381.1,-447,2003-02-09T00:00:00,,,"LINESTRING (196078.811999999 429515.8440000005, 193375.063000001 429929.563000001)"
vliegln_krib_waal_2003.9,9,w09,390.3,-415.3,2003-02-09T00:00:00,,,"LINESTRING (194591.0780000016 429353.4059999995, 192148.5159999989 432391.875)"
vliegln_krib_waal_2003.10,10,w10,431.4,-431.4,2003-02-09T00:00:00,,,"LINESTRING (193128.5159999989 431964, 189853.0940000005 431611.4690000005)"
vliegln_krib_waal_2003.11,11,w11,397.8,-424.2,2003-02-09T00:00:00,,,"LINESTRING (190177.7809999995 431765.8440000005, 188236.811999999 428957.25)"
vliegln_krib_waal_2003.12,12,w12,463.1,-418.3,2003-02-09T00:00:00,,,"LINESTRING (188699.8440000005 428986.4059999995, 186152.9530000016 429947.5309999995)"
vliegln_krib_waal_2003.13,13,w13,446.1,-393.3,2003-02-09T00:00:00,,,"LINESTRING (186772.186999999 429871.375, 183358.0469999984 432203.6559999995)"
vliegln_krib_waal_2003.14,14,w14,456.7,-455.1,2003-02-09T00:00:00,,,"LINESTRING (184744.0780000016 431720.375, 177326.2659999989 433393.813000001)"
vliegln_krib_waal_2003.15,15,w15,472.4,-426.4,2003-02-09T00:00:00,,,"LINESTRING (179455.2659999989 432547.6559999995, 176090.0469999984 434390.125)"
vliegln_krib_waal_2003.16,16,w16,477.8,-386.4,2003-02-09T00:00:00,,,"LINESTRING (177510.6409999989 434000.313000001, 166225.4530000016 435172.188000001)"
vliegln_krib_waal_2003.17,17,w17,406.2,-401,2003-02-09T00:00:00,,,"LINESTRING (167380.186999999 435284.938000001, 162996.2030000016 433147.375)"
vliegln_krib_waal_2003.18,18,w18,416.5,-423.6,2003-02-09T00:00:00,,,"LINESTRING (164781.2969999984 433525.8440000005, 159161.2659999989 433361.625)"
vliegln_krib_waal_2003.19,19,w19,411.7,-433.5,2003-02-09T00:00:00,,,"LINESTRING (159774.311999999 433502.563000001, 157168.9840000011 431176.2809999995)"
vliegln_krib_waal_2003.20,20,w20,425.7,-418.8,2003-02-09T00:00:00,,,"LINESTRING (157889.4690000005 432138.875, 156268.4059999995 427593.4059999995)"
vliegln_krib_waal_2003.21,21,w21,427.4,-408.8,2003-02-09T00:00:00,,,"LINESTRING (154436.1559999995 426277.9059999995, 157094.436999999 428675.2809999995)"
vliegln_krib_waal_2003.22,22,w22,438.9,-402.2,2003-02-09T00:00:00,,,"LINESTRING (155296.6559999995 427545.625, 153333.1559999995 423838.563000001)"
