FID,datummutatie,naammuteerder,bron,status,genormeerd,type,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,objectcode,kerendehoogte,drempelhoogte,doorstroombreedte,capaciteit,afvoerdebiet,profielurl,opmerkingen,brondocumentparameters,gdb_geomattr_data,shape
waterreguleringswerk_legger.1,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,0,Sifon,Sifon Merwedekanaal,MN,Amsterdam-Rijnkanaal,31H-400-002,,-99,-99,11.4,-99,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/31H-400-002.html,"3 buizen, sifon ligt tussen beide Merwedekanalen onder het Amsterdam-Rijnkanaal",,,"POLYGON ((135572.53799999878 451417.5929999985, 135706.13500000164 451463.25, 135709.50699999928 451454.94900000095, 135709.2884999998 451454.8728, 135575.65100000054 451408.25499999896, 135559.7708999999 451401.07400000095, 135556.8150999993 451408.7135999985, 135572.53799999878 451417.5929999985))"
waterreguleringswerk_legger.2,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,0,Gemaal,Prs. Marijke Keerschuif,MN,Amsterdam-Rijnkanaal,39B-001-03,,-99,-97,-97,7,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/39B-001-03.html,,,,"POLYGON ((152941.34600000083 440621.6039999984, 152945.01199999824 440619.18499999866, 152941.40300000086 440613.756000001, 152937.44000000134 440616.3139999993, 152937.36100000143 440617.2170000002, 152937.30999999866 440617.80099999905, 152934.938000001 440619.3720000014, 152934.60799999908 440619.59800000116, 152933.5300000012 440617.98999999836, 152933.45199999958 440617.8740000017, 152907.0780000016 440579.32400000095, 152888.27899999917 440551.84800000116, 152887.00699999928 440550.05799999833, 152887.3509999998 440549.82400000095, 152890.3040000014 440547.7980000004, 152890.46700000018 440547.13699999824, 152888.00699999928 440543.51399999857, 152887.31500000134 440543.4059999995, 152881.8599999994 440547.1160000004, 152881.78200000152 440547.73099999875, 152882.9530000016 440549.5, 152884.19000000134 440551.3660000004, 152884.79899999872 440551.561999999, 152884.48099999875 440551.77699999884, 152885.77699999884 440553.6579999998, 152904.52800000086 440581.08999999985, 152930.80000000075 440619.5219999999, 152930.95199999958 440619.73900000006, 152932.0309999995 440621.2809999995, 152932.2349999994 440621.1559999995, 152932.20600000024 440621.54300000146, 152933.61499999836 440623.6460000016, 152934.82499999925 440625.4539999999, 152935.2410000004 440625.631000001, 152940.80600000173 440621.9600000009, 152941.34600000083 440621.6039999984))"
waterreguleringswerk_legger.3,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,0,Sifon,Sifon Merwedekanaal,MN,Merwedekanaal - Vaartse Rijn - Stadsbuitengracht Utrecht,31H-400-002,,-99,-99,11.4,-99,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/31H-400-002_1.html,"3 buizen, sifon ligt tussen beide Merwedekanalen onder het Amsterdam-Rijnkanaal",,,"POLYGON ((135572.53799999878 451417.5929999985, 135706.13500000164 451463.25, 135709.50699999928 451454.94900000095, 135709.2884999998 451454.8728, 135575.65100000054 451408.25499999896, 135559.7708999999 451401.07400000095, 135556.8150999993 451408.7135999985, 135572.53799999878 451417.5929999985))"
waterreguleringswerk_legger.4,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,0,Overlaat,Overlaat zuidoever Driel (beneden),ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL2.KR.L.891,605",7B25479D-3A47-4101-AEB4-A97029D79B24,-99,10.55,60,-99,,"https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/RL2.KR.L.891,605.html",,,,"POLYGON ((183709.44200000167 441649.9840000011, 183704.4210000001 441648.50400000066, 183694.6330000013 441645.1779999994, 183687.81899999827 441642.5370000005, 183686.35799999908 441641.98699999973, 183679.0390000008 441639.2329999991, 183670.8590000011 441636.2010000013, 183660.85799999908 441632.3819999993, 183652.46200000122 441629.2010000013, 183651.08900000155 441633.16699999943, 183656.60599999875 441635.2410000004, 183684.12299999967 441645.9239999987, 183692.20699999854 441649.063000001, 183693.57200000063 441649.5920000002, 183703.06700000167 441652.9829999991, 183708.01799999923 441654.7509999983, 183708.08999999985 441654.48600000143, 183709.44200000167 441649.9840000011))"
waterreguleringswerk_legger.5,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,0,Overlaat,Overlaat tussen strekdammen,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL4.KR.R.968,190",2C22A3F0-6254-4988-B574-179D541F5733,-99,-99,44,-99,,"https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/RL4.KR.R.968,190.html",,,,"POLYGON ((121142.43100000173 439269.5920000002, 121138.57400000095 439268.65900000185, 121132.76999999955 439267.25499999896, 121129.94000000134 439266.5720000006, 121127.84899999946 439266.0709999986, 121121.50699999928 439264.563000001, 121117.57899999991 439263.6319999993, 121116.12099999934 439263.28599999845, 121116.0159999989 439263.26099999994, 121114.79100000113 439262.9690000005, 121113.21299999952 439262.5929999985, 121111.86699999869 439262.2740000002, 121108.3909999989 439261.4539999999, 121107.16200000048 439261.1640000008, 121105.79899999872 439260.84099999815, 121105.0540000014 439260.6649999991, 121104.53500000015 439260.48800000176, 121103.64299999923 439260.18299999833, 121104.24199999869 439261.1629999988, 121104.3350000009 439261.43299999833, 121104.71200000122 439262.52800000086, 121104.51300000027 439264.04199999943, 121104.03400000185 439265.5170000009, 121103.93299999833 439265.8269999996, 121102.92399999872 439267.6020000018, 121100.50800000131 439268.80999999866, 121099.20699999854 439268.8420000002, 121098.45100000128 439268.8599999994, 121098.05200000107 439268.87000000104, 121097.74500000104 439268.81599999964, 121095.07800000161 439268.3429999985, 121092.6099999994 439267.9050000012, 121093.54300000146 439268.30900000036, 121094.53500000015 439269.2749999985, 121096.68699999899 439271.0159999989, 121101.46499999985 439273.0320000015, 121107.58900000155 439274.75499999896, 121117.64200000092 439276.8979999982, 121127.06100000069 439278.5729999989, 121145.1409999989 439282.13699999824, 121149.93600000069 439283.0240000002, 121156.23699999973 439283.01399999857, 121152.1099999994 439281.9210000001, 121150.47899999842 439281.0210000016, 121149.85599999875 439280.54199999943, 121148.89699999988 439279.8029999994, 121147.74399999902 439277.8020000011, 121147.50699999928 439275.93299999833, 121147.98600000143 439274.2129999995, 121149.00800000131 439272.80700000003, 121150.29399999976 439271.7349999994, 121150.90100000054 439271.4290000014, 121150.38300000131 439271.3830000013, 121149.60500000045 439271.3289999999, 121148.37999999896 439271.0329999998, 121146.65799999982 439270.6160000004, 121144.4609999992 439270.08399999887, 121142.43100000173 439269.5920000002))"
waterreguleringswerk_legger.6,2014-10-13T00:00:00,Fugro,Fugro: Handmatig,Vastgesteld,0,Aflaat,Duiker,ON,IJssel,"YS1.KZ.R.880,015",,-98,-98,-98,-98,,"https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/YS1.KZ.R.880,015.html",,,,"POLYGON ((194145.7789000012 441646.52149999887, 194143.63749999925 441647.60819999874, 194087.86400000006 441675.7113999985, 194085.71669999883 441676.76669999957, 194087.48209999874 441680.35599999875, 194089.6383999996 441679.2963999994, 194089.6550000012 441679.28810000047, 194145.44000000134 441651.17909999937, 194145.44509999827 441651.17650000006, 194147.58909999952 441650.08850000054, 194145.7789000012 441646.52149999887))"
waterreguleringswerk_legger.7,2014-10-13T00:00:00,Fugro,Fugro: Handmatig,Vastgesteld,0,Aflaat,Duiker Hondsbroeksche Pley,ON,IJssel,"YS1.KZ.R.880,240",,-98,-98,-98,-98,,"https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/YS1.KZ.R.880,240.html",,,,"POLYGON ((194011.35170000046 441955.1743000001, 194014.5062999986 441957.63369999826, 194028.55029999837 441939.6207000017, 194028.55970000103 441939.6085000001, 194025.39570000023 441937.1612999998, 194011.35170000046 441955.1743000001))"
waterreguleringswerk_legger.8,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,0,Onbekend,Aflaatwerk Tenkhorsterbeek,ON,Twentekanalen, TK1.KR.R.16.854,,-99,-99,-99,-99,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/_TK1.KR.R.16.854.html,,,,"POLYGON ((226365.99799999967 464703.9849999994, 226361.50200000033 464703.2419999987, 226361.49700000137 464703.26999999955, 226361.48800000176 464703.3260000013, 226360.1009999998 464711.36499999836, 226376.20699999854 464713.74599999934, 226377.73299999908 464705.9770000018, 226377.74599999934 464705.91600000113, 226375.186999999 464705.4910000004, 226365.99799999967 464703.9849999994))"
waterreguleringswerk_legger.9,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,0,Onbekend,Aflaatwerk Nettelhorsterbeek,ON,Twentekanalen, TK1.KR.L.16.930,,-99,-99,-99,-99,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/_TK1.KR.L.16.930.html,,,,"POLYGON ((226446.39799999818 464636.0769999996, 226445.98999999836 464635.2749999985, 226445.90900000185 464635.30700000003, 226441.41200000048 464637.10599999875, 226441.79300000146 464638.01000000164, 226442.65300000086 464640.06500000134, 226447.44299999997 464638.1270000003, 226446.76300000027 464636.79300000146, 226446.39799999818 464636.0769999996))"
waterreguleringswerk_legger.10,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,0,Onbekend,Aflaatwerk Bolksbeek,ON,Twentekanalen, TK2.KR.L.20.810,,-99,-99,-99,-99,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/_TK2.KR.L.20.810.html,,,,"POLYGON ((229707.29100000113 466679.125, 229707.23699999973 466679.0249999985, 229705.29199999943 466680.13599999994, 229705.32299999893 466680.1719999984, 229705.3440000005 466680.21599999815, 229708.29399999976 466685.6889999993, 229713.46499999985 466695.29100000113, 229716.01099999994 466700.0179999992, 229726.70100000128 466719.8680000007, 229726.75299999863 466719.93299999833, 229728.66299999878 466718.8570000008, 229728.6240000017 466718.81799999997, 229718.5450000018 466700.0469999984, 229717.96499999985 466698.9670000002, 229707.29100000113 466679.125))"
