VERSIE,DATUM_BESTAND,PEILDATUM,JAAR,BEHANDELEND_SPECIALISME_CD,TYPERENDE_DIAGNOSE_CD,ZORGPRODUCT_CD,ZORGACTIVITEIT_CD,ZORGPROFIELKLASSE_CD,AANTAL_PAT,AANTAL_SUBTRAJECT,AANTAL_ZAT,SOM_AANTAL_ZAT
2.0,2023-02-03,2023-02-01,2012,0301,103,079699007,039820,4,138,138,165,660
2.0,2023-02-03,2023-02-01,2012,0301,151,079599010,190011,1,3072,3104,3104,3104
2.0,2023-02-03,2023-02-01,2012,0301,209,079499014,039820,4,28,29,30,30
2.0,2023-02-03,2023-02-01,2012,0301,209,079499016,081093,7,4,4,4,4
2.0,2023-02-03,2023-02-01,2012,0301,255,079999016,190013,1,216,218,331,529
2.0,2023-02-03,2023-02-01,2012,0301,352,079999010,190013,1,331,367,724,922
2.0,2023-02-03,2023-02-01,2012,0301,359,079999014,039818,4,32,33,37,37
2.0,2023-02-03,2023-02-01,2012,0301,403,079899005,190013,1,17,17,90,1377
2.0,2023-02-03,2023-02-01,2012,0301,407,079899004,190035,2,820,867,872,1961
2.0,2023-02-03,2023-02-01,2012,0301,407,079899012,190013,1,8,8,46,46
2.0,2023-02-03,2023-02-01,2012,0301,409,079899015,039814,4,60,62,71,368
2.0,2023-02-03,2023-02-01,2012,0301,457,079899002,039823,4,210,226,318,813
2.0,2023-02-03,2023-02-01,2012,0301,457,079899017,039813,4,44,44,44,44
2.0,2023-02-03,2023-02-01,2012,0301,459,079899017,039813,4,32,32,32,32
2.0,2023-02-03,2023-02-01,2012,0301,459,079899019,031041,5,174,182,196,691
2.0,2023-02-03,2023-02-01,2012,0301,502,079799017,039818,4,49,49,80,80
2.0,2023-02-03,2023-02-01,2012,0301,509,079799026,190011,1,1047,1095,1095,1293
2.0,2023-02-03,2023-02-01,2012,0301,554,070401007,031282,5,32,32,34,331
2.0,2023-02-03,2023-02-01,2012,0301,554,070401008,039822,4,54079,55998,63257,115162
2.0,2023-02-03,2023-02-01,2012,0301,554,070401008,190055,2,56501,73193,73780,165157
2.0,2023-02-03,2023-02-01,2012,0301,557,070401015,039823,4,2702,2758,3229,7027
2.0,2023-02-03,2023-02-01,2012,0301,603,079799020,039810,6,66,68,89,1178
2.0,2023-02-03,2023-02-01,2012,0301,704,079799008,039515,4,74,74,104,401
2.0,2023-02-03,2023-02-01,2012,0301,709,079799002,190013,1,25,25,53,53
2.0,2023-02-03,2023-02-01,2012,0301,709,079799011,031295,5,695,718,745,1735
2.0,2023-02-03,2023-02-01,2012,0301,709,079799029,039818,4,130,134,134,233
2.0,2023-02-03,2023-02-01,2012,0301,852,070801003,039815,4,1,1,1,1
2.0,2023-02-03,2023-02-01,2012,0301,859,070801007,190012,1,281,282,306,2286
2.0,2023-02-03,2023-02-01,2012,0301,904,070601017,039808,4,71,71,72,171
2.0,2023-02-03,2023-02-01,2012,0301,907,070601004,190204,3,15,16,37,532
2.0,2023-02-03,2023-02-01,2012,0301,909,070601009,030898,5,292,413,472,1070
2.0,2023-02-03,2023-02-01,2012,0301,909,070601011,190013,1,294,298,728,1223
2.0,2023-02-03,2023-02-01,2012,0301,959,079699012,190011,1,259,259,261,360
2.0,2023-02-03,2023-02-01,2012,0302,04,182199023,190013,1,37,42,77,77
2.0,2023-02-03,2023-02-01,2012,0302,12,089999072,087111,7,47,47,49,346
2.0,2023-02-03,2023-02-01,2012,0302,14,089999083,082002,7,10,10,11,11
2.0,2023-02-03,2023-02-01,2012,0302,18,069499026,190702,4,7,8,12,211
2.0,2023-02-03,2023-02-01,2012,0302,21,029499016,190013,1,188,190,531,2313
2.0,2023-02-03,2023-02-01,2012,0302,31,109799042,032015,5,207,213,242,1245
