OBJECTID,GPLIDENT,RAPPORT,OPMERKING,DATUM,GPL_LEGENDA,FIGUURWEERGAVE,RICHTING,GlobalID,SHAPE_Length
1,BC2312, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_15.dwg,,{22A422BE-4651-4BDA-819A-5ACCB05D4E5D},0.00805926224297232
2,BC2313, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_7.dwg,,{A70CFA9D-D2EE-415F-A2B2-A10641C5F09A},0.00948456295858023
3,BC2314, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_12.dwg,,{75F27991-0CCA-4021-80A4-0D2971702459},0.00796450872994229
4,BC2315, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_14.dwg,,{69C8D59E-25D9-4CBA-8C6A-B4CBD89C2C07},0.00749920250096988
5,BC2316, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_9.dwg,,{DED8CCB6-13DD-492A-A8F3-BF4D9D68F878},0.00607363214931255
6,BC2317, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_11.dwg,,{81BFACE1-38A3-4633-B5BD-A9F525DE0173},0.00885580990147867
7,BC2318, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\Z_8.dwg,,{216F5770-508C-466D-927B-E198D50D1E1D},0.00182977019611913
8,BC2319, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\Z_3.dwg,,{A2E3B8A2-A02E-429D-BB3D-8A29E0B2F530},0.00835158759735492
9,BC2320, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_22.dwg,,{CE29BCAF-B530-4DB1-BFA2-358489A40510},0.00653330967610599
10,BC2321, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_20.dwg,,{4D65896B-F289-449D-B819-F5D9F16E0256},0.00866305645422628
11,BC2322, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_6.dwg,,{05C0DE30-FDDA-418A-AC17-1B27ED756810},0.00878972358493461
12,BC2323, , ,,99,Y:\GEO\GISProducten\Documenten\geoprofielen\Keringen\Dijkring53b\VS_18.dwg,,{B0C634A0-2D0B-40DA-8746-A27466626ADA},0.00642294576227493
