FID,omschr,voorz_vop,voorz_fop,voorz_vri,rijrtnghrb,rijrtngzij,afbuiging,invent_oms,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
kruispunten_wegvak.1,Kruispunt zonder voorrangsregeling,N,N,J,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij een zijstraat (D6R + F7)",Rechtdoor en rechtsaf toegestaan voor de linker zijstraat (D6R),,RW. 28 VBW.c                   RING ZUID,402404034,2014-11-01T00:00:00,27,040240403420141101,KPK0000822883,I,,POINT (201173.95600000024 502216.54030000046)
kruispunten_wegvak.2,T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een zijstraat,,,RW. 15 =A 18,600151286,2019-02-01T00:00:00,1,060015128620190201,KPK0000872054,I,,POINT (227428.43169999868 440550.61459999904)
kruispunten_wegvak.3,T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een zijstraat,,,RW. 15 =A 18,600152429,2021-04-01T00:00:00,11,060015242920210401,KPK0000872054,I,,POINT (227426.22450000048 440540.2745999992)
kruispunten_wegvak.4,T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een zijstraat,,,VBW.c & d =RW. 15,205260022,2014-11-01T00:00:00,8,020526002220141101,KPK0000606149,I,,POINT (102841.82239999995 430246.3238000013)
kruispunten_wegvak.5,Pseudo kruispunt zonder voorrangsregeling,N,N,J,Rechtdoor met rechtsaf toegestaan (linksaf verbod) voor de rechter hoofdrijbaan (D6R),Rechtdoor met rechtsaf toegestaan en keerverbod voor beide zijstraten (D6R + F7),,N331,600146237,2019-02-01T00:00:00,1,060014623720190201,KPK0000874380,I,,POINT (201065.9349000007 502347.0020999983)
kruispunten_wegvak.6,Pseudo rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,GESTERWEG                      ZUID GESTERWEG,600127189,2019-02-01T00:00:00,9,060012718920190201,KPK0000877718,I,,POINT (130793.1539000012 549085.9987999983)
kruispunten_wegvak.7,T-kruispunt met voorrangsregeling,N,N,N,"Alleen rechtdoor, er geldt geen keerverbod op beide hoofdrijbanen (D4)",,,VBW.c =RW.  7,600126457,2019-02-01T00:00:00,35,060012645720190201,KPK0000877719,I,,POINT (131221.68609999865 549197.4492000006)
kruispunten_wegvak.8,Kruispunt zonder voorrangsregeling,N,N,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,VBW.a en b RW.4                AANSLUITING VLIETWEG,600106352,2020-10-01T00:00:00,9,060010635220201001,KPK0001035645,I,,POINT (86877.51509999856 454509.97890000045)
kruispunten_wegvak.9,T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een zijstraat,,,VBW.c & d =RW. 15,600112636,2019-02-01T00:00:00,4,060011263620190201,KPK0000877782,I,,POINT (102849.1539000012 430261.0989000015)
kruispunten_wegvak.10,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,NOORDEINDE,600112412,2019-02-01T00:00:00,10,060011241220190201,KPK0000877783,I,,POINT (103913.10049999878 429922.41420000046)
kruispunten_wegvak.11,Pseudo T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een zijstraat,,,VBW.a & b =RW. 15,600119779,2021-01-01T00:00:00,11,060011977920210101,KPK0000877787,I,,POINT (105940.0987999998 429307.0003999993)
kruispunten_wegvak.12,Pseudo T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een zijstraat,,,VBW.a & b =RW. 15,600119777,2019-02-01T00:00:00,7,060011977720190201,KPK0000877787,I,,POINT (105949.17559999973 429311.8828999996)
kruispunten_wegvak.13,Pseudo T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Alle rijrichtingen toegestaan bij een zijstraat,,,VBW.a & b =RW. 15,211258022,2021-01-01T00:00:00,1,021125802220210101,KPK0000877787,I,,POINT (105941.08339999989 429303.3979999982)
kruispunten_wegvak.14,Rotonde,N,N,N,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij gelijkvloerse kruising (D6R + F7)",Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,OOST-WESTWEG=N255,600093802,2022-12-01T00:00:00,14,060009380220221201,KPK0000876230,I,,POINT (36305.919100001454 401390.9492000006)
kruispunten_wegvak.15,Rotonde,N,N,N,"Rechtdoor met rechtsaf toegestaan, EN keerverbod bij gelijkvloerse kruising (D6R + F7)",,,GAPINGSEWEG,600093877,2020-11-01T00:00:00,7,060009387720201101,KPK0000876236,I,,POINT (31414.85810000077 396450.27320000157)
kruispunten_wegvak.16,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,HOOFDWEG                       FINLANDWEG,600093543,2019-02-01T00:00:00,5,060009354320190201,KPK0000876975,I,,POINT (47226.00899999961 368493.743999999)
kruispunten_wegvak.17,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,HOOFDWEG                       FINLANDWEG,94136007,2021-01-01T00:00:00,8,009413600720210101,KPK0000876975,I,,POINT (47227.64440000057 368484.2586000003)
kruispunten_wegvak.18,Pseudo kruispunt met fysieke scheiding van de rijbanen,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,HOOFDWEG                       FINLANDWEG,600093546,2021-01-01T00:00:00,1,060009354620210101,KPK0000876975,I,,POINT (47234.696800000966 368480.9528999999)
kruispunten_wegvak.19,Kruispunt met voorrangsregeling,N,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,RIJKSWEG(N250)                 RIJKSWEG(N9),230495010,2021-04-01T00:00:00,19,023049501020210401,KPK0001071517,I,,POINT (115133 547679)
kruispunten_wegvak.20,Kruispunt met voorrangsregeling,N,N,J,"Alleen rechtdoor, keerverbod op linker hoofdrijbaan (D4 + F7)",Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,GOYERWEG,600134653,2019-02-01T00:00:00,17,060013465320190201,KPK0000933106,I,,POINT (146755.5273000002 477057.2804999985)
kruispunten_wegvak.21,Niet indeelbaar,N,J,J,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),L,OVERSTEEKPLAATS,600401903,2020-08-01T00:00:00,8,060040190320200801,KPK0001014162,I,,POINT (191029.60080000013 434884.19509999827)
