FID,datummutatie,naammuteerder,bron,status,genormeerd,objecttype,oevertype,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,objectcode,opmerkingen,gdb_geomattr_data,shape
oeverconstructie_verticaal_legger.1,2014-10-13T00:00:00,Fugro,Regionaal: MN,Vastgesteld,1,Damwand overig,2,,MN,Amsterdam-Rijnkanaal,"ARK1.OX.R.34,6",,Damwand,,"LINESTRING (133652.08100000024 457425.688000001, 133654.34899999946 457421.35500000045, 133655.53500000015 457418.80000000075, 133656.17399999872 457417.4129999988)"
oeverconstructie_verticaal_legger.2,2014-10-13T00:00:00,Fugro,Regionaal: MN,Vastgesteld,1,Damwand overig,2,,MN,Amsterdam-Rijnkanaal,"ARK1.OX.R.40,77",,Damwand,,"LINESTRING (135536.3299999982 451639.3269999996, 135536.80999999866 451638.618999999, 135539.17399999872 451632.1070000008, 135540.99500000104 451627.1409999989, 135541.13899999857 451626.01000000164)"
oeverconstructie_verticaal_legger.3,2014-10-13T00:00:00,Fugro,Regionaal: MN,Vastgesteld,1,Damwand staal,2,,MN,Merwedekanaal - Vaartse Rijn - Stadsbuitengracht Utrecht,"ARK6.OX.L.45,1",,Stalen damwand,,"LINESTRING (135230.50299999863 448390.6979999989, 135230.10500000045 448390.7969999984, 135227.45699999854 448380.4679999985, 135224.37799999863 448367.63899999857, 135221.05099999905 448353.8999999985, 135218.75 448344.43200000003, 135217.4759999998 448340.7569999993, 135215.87000000104 448336.1229999997, 135213.93299999833 448327.9789999984, 135211.0700000003 448316.8049999997, 135207.67599999905 448303.62900000066, 135204.46499999985 448291.08199999854, 135201.0390000008 448277.70800000057, 135197.5789999999 448264.2340000011, 135194.31799999997 448251.6860000007, 135192.94399999827 448246.5720000006, 135192.43100000173 448238.6259999983, 135191.5540000014 448225.99599999934, 135190.66000000015 448212.73699999973, 135189.68299999833 448199.1640000008, 135189.186999999 448192.79100000113, 135188.938000001 448188.73600000143, 135188.83900000155 448185.5080000013, 135188.5249999985 448177.5460000001, 135188.11100000143 448172.2329999991, 135187.31599999964 448162.46599999815)"
oeverconstructie_verticaal_legger.4,2014-10-13T00:00:00,Fugro,Regionaal: MN,Vastgesteld,1,Damwand overig,2,,MN,Merwedekanaal - Vaartse Rijn - Stadsbuitengracht Utrecht,"ARK5.OX.L.37,6",,Basaltblokken,,"LINESTRING (135386.75299999863 455123.0859999992, 135386.68200000003 455122.5249999985, 135390.25699999928 455119.438000001, 135394.86800000072 455115.45600000024, 135397.70100000128 455113.0089999996, 135397.9600000009 455113.2809999995, 135398.05600000173 455113.37999999896, 135398.06899999827 455113.37000000104, 135400.33100000024 455111.4530000016, 135408.03599999845 455104.85599999875, 135409.76799999923 455103.3740000017, 135417.57200000063 455096.76900000125, 135423.5949999988 455091.688000001, 135429.33199999854 455086.84899999946, 135436.15199999884 455081.0929999985, 135442.46700000018 455075.94999999925, 135447.19000000134 455072.125, 135451.9539999999 455068.2670000009, 135457.3350000009 455063.9079999998, 135459.85599999875 455061.8110000007, 135463.1009999998 455059.04399999976, 135469.84800000116 455053.29300000146, 135474.1889999993 455049.5920000002, 135476.85399999842 455047.3280000016)"
oeverconstructie_verticaal_legger.5,2014-10-13T00:00:00,Fugro,Regionaal: MN,Vastgesteld,1,Damwand overig,2,,MN,Amsterdam-Rijnkanaal,"ARK1.OX.L.34,37",,Damwand,,"LINESTRING (133799.94200000167 457623.2049999982, 133800.10599999875 457622.868999999, 133802.5009999983 457623.1240000017)"
oeverconstructie_verticaal_legger.6,2014-10-13T00:00:00,Fugro,Regionaal: MN,Vastgesteld,1,Damwand overig,2,,MN,Merwedekanaal - Vaartse Rijn - Stadsbuitengracht Utrecht,"ARK5.OX.L.37,43",,Basaltblokken als damwand,,"LINESTRING (135273.80900000036 455219.3429999985, 135274.28700000048 455219.3200000003, 135275.4849999994 455218.80099999905, 135282.51999999955 455212.6499999985, 135291.28700000048 455204.8969999999, 135300.2410000004 455197.061999999, 135310.1959999986 455188.4459999986, 135319.62900000066 455180.4230000004, 135329.9360000007 455171.6579999998, 135339.8759999983 455163.2349999994, 135349.6550000012 455154.9770000018, 135359.28599999845 455146.8189999983)"
oeverconstructie_verticaal_legger.7,2014-10-13T00:00:00,Fugro,Regionaal: MN,Vastgesteld,1,Damwand overig,2,,MN,Amsterdam-Rijnkanaal,"ARK1.OX.L.35,595",,Damwand,,"LINESTRING (133903.04199999943 456430.76199999824, 133903.24700000137 456430.36199999973, 133903.186999999 456429.9609999992, 133906.54199999943 456425.07499999925)"
oeverconstructie_verticaal_legger.8,2014-10-13T00:00:00,Fugro,Regionaal: MN,Vastgesteld,1,Azobe,2,,MN,Merwedekanaal - Vaartse Rijn - Stadsbuitengracht Utrecht,"ARK6.OX.R.43,9",,Azobe,,"LINESTRING (134657.7800000012 449391.2179999985, 134663.8289999999 449392.2710000016, 134668.7259999998 449387.9310000017, 134672.88100000098 449384.1229999997, 134677.11300000176 449380.37999999896, 134679.2890000008 449378.3599999994, 134680.16099999845 449377.71499999985, 134685.63100000098 449368.6559999995, 134688.22300000116 449364.36300000176, 134691.18200000003 449359.3920000009, 134694.27299999818 449354.118999999, 134695.48800000176 449352.0080000013, 134696.89699999988 449349.0219999999, 134699.3990000002 449343.7190000005, 134702.44000000134 449337.2710000016, 134703.82400000095 449334.2729999982, 134705.56899999827 449330.493999999, 134708.64200000092 449323.83900000155, 134710.5549999997 449319.6950000003, 134713.12099999934 449314.09699999914, 134716.93499999866 449305.76099999994, 134718.97100000083 449301.311999999, 134722.31799999997 449294.0029999986, 134724.7349999994 449288.7270000018)"
oeverconstructie_verticaal_legger.9,2014-10-13T00:00:00,Fugro,Regionaal: MN,Vastgesteld,1,Damwand overig,2,,MN,Merwedekanaal - Vaartse Rijn - Stadsbuitengracht Utrecht,"ARK5.OX.L.37,12",,Basaltblokken,,"LINESTRING (135029.91000000015 455435.44999999925, 135029.76799999923 455435.16600000113, 135029.75 455434.78400000185, 135029.8830000013 455434.3040000014, 135030.38100000098 455433.89499999955, 135037.82699999958 455427.73099999875, 135041.74599999934 455424.3779999986, 135045.31799999997 455421.3060000017, 135050.24300000072 455417.1270000003, 135055.16200000048 455413.0020000003, 135061.0799999982 455408.0240000002, 135066.56500000134 455403.32499999925, 135070.05700000003 455400.3260000013, 135076.21499999985 455395.12099999934, 135080.25299999863 455391.7019999996, 135081.52600000054 455390.6229999997, 135087.438000001 455385.59800000116, 135093.7490000017 455380.2329999991, 135100.16000000015 455374.7879999988, 135104.5390000008 455371.1490000002, 135106.438000001 455369.5760000013, 135112.4699999988 455364.55799999833, 135116.89499999955 455360.8920000009, 135122.813000001 455355.98099999875, 135126.87200000137 455352.54199999943, 135132.1099999994 455348.1160000004, 135136.62799999863 455344.2980000004, 135142.43299999833 455339.3990000002, 135148.30000000075 455334.43299999833, 135150.94399999827 455332.20800000057, 135156.94000000134 455327.3599999994)"
oeverconstructie_verticaal_legger.10,2014-10-13T00:00:00,Fugro,Regionaal: MN,Vastgesteld,1,Damwand overig,2,,MN,Amsterdam-Rijnkanaal,"ARK1.OX.L.35,34",,Damwand,,"LINESTRING (133798.9750000015 456670.6559999995, 133797.74700000137 456661.3770000003, 133797.68200000003 456660.30900000036, 133797.8110000007 456659.62999999896, 133798.19999999925 456658.88699999824, 133798.71700000018 456658.368999999, 133799.26700000092 456658.0460000001, 133799.91299999878 456657.8520000018, 133800.33399999887 456657.7870000005)"
