OBJECTID,PUIC,NAAM,REF_BORDSEIN_PUIC,REF_BORDSEIN_NAAM,AZIMUT,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_T,OFFSET,OFFSET_T,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,OPC_GEBIED_NAAM,OPC_GEBIED_NR,TECHNIEKVELD,PGO_GEBIED_NAAM,BEHEERDER,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT,X,Y,Z,PGO_GEBIED_NR,GELDIG_VANAF,PUBLICATIEDATUM,PCA,IN_GEBRUIK,PRORAIL_GEBIED,LATITUDE,LONGITUDE,KM_GEOCODE
1,d5d9a352-36e6-44c2-bb9a-db688e704c74,SJ_61AP,5e3ab3a3-d6f1-4a49-bd45-931c1276b576,,-263,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,625735",5.241286,"5,241286",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195316.09599999,469147.80599999,17.015,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20895417,5.97704172,88.625735
2,46bcba6f-f3a6-4514-a65c-d3e70a61dfdb,SJ_909L,ab786de0-1eab-46bc-8bd8-4b99170d9db1,,-265,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,550769",30.968658,"30,968658",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,195239.61499999,469125.705,16.911,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20876113,5.9759202,88.550769
3,b4a20fff-e288-4545-a6f7-a5f4b0e1c21f,SJ_59AR,3e068278-c5b4-4337-8cdd-9357bf6a927c,,-263,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,625365",14.345488,"14,345488",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195315.45199999,469138.717,16.913,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20887253,5.97703121,88.625365
4,10c64571-aefc-4c6d-839a-bfde20ddbc21,SJ_911L,8811df3b-8c0e-4904-98f9-09fc605340f5,,-267,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,516714",35.374957,"35,374957",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,195205.41099999,469123.24699999,17.216,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20874153,5.97541952,88.516714
5,59d84a18-ea08-4457-8e5d-3e312fa9dec0,SJ_911R,3c85915a-eed8-4fac-bfd6-0ae84758bc21,,-267,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,550798",47.938688,"47,938688",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,,,,195238.67499999,469108.761,17.039,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20860891,5.97590444,88.550798
6,a0cb2f81-b645-4ff1-af12-bcde777fdda3,SJ_37BQ,d71278d9-9602-42e8-963f-56a381ba2a62,,-87,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"87,956892",26.239849,"26,239849",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,194646.904,469164.19,17.06899999,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20914993,5.9672536,87.956892
7,988ccda3-5b52-4a1a-8311-9425aa48fcfe,SJ_65R,128d073b-50f1-4f6b-aa1e-36427e47fadc,,-235,60,Bestaand,015,,15,015__,Zwolle - Kampen,Zl-Kpn,Zwolle - Kampen ,"100,945178",-3.294745,"-3,294745",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle - Kampen,ZL-KPN,PPLG,191233.274,508150.666,1.41399999,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.55976435,5.92152262,100.945178
8,b7f59fb5-0924-4260-88bf-b5ebe799180b,SJ_4123L,3d26b1de-709e-4732-9acf-82d4708b7ff5,4070,-162,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,889453",19.218331,"19,218331",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle Rangeerterrein,ZLR,NCBG,201746.605,501213.988,1.875,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.49662771,6.07557462,0.889453
9,653551db-1dce-4ab6-9433-357f3dacd3e5,SJ_4065Q,f5196371-8682-4979-bee1-7816a914d075,4010,-140,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,347403",57.16609,"57,166090",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle Rangeerterrein,ZLR,NCBG,201465.635,500698.231,1.619,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.49201665,6.07136569,0.347403
10,1db243c1-3ef6-45f7-8b42-afebacba5932,SJ_4045L,3d1da1f5-bb8f-4943-86f5-8757e4cd8b64,4026,-135,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,365899",3.803529,"3,803529",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle Rangeerterrein,ZLR,NCBG,201441.529,500750.02299999,1.874,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.49248414,6.07101798,0.365899
