FID,length,filenaam,br_links,br_rechts,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_oschelde_2010.1,1796.293,grd_01,554.09997559,-535.59997559,2010-05-25T00:00:00,,,"LINESTRING (37038.23000000045 401702.5940000005, 35306.53099999949 402179.9690000005)"
vlieglijnen_oschelde_2010.2,7246.952,grd_02,427.1000061,-509.3999939,2010-05-25T00:00:00,,,"LINESTRING (69529.8590000011 382332.688000001, 63279.76999999955 386000.75)"
vlieglijnen_oschelde_2010.3,39318.266,grd_04,543.70001221,-526.90002441,2010-05-25T00:00:00,,,"LINESTRING (70634.2109999992 383146.75, 36782.21900000051 403145.9690000005)"
vlieglijnen_oschelde_2010.4,41240.973,grd_05,527.70001221,-481.5,2010-05-25T00:00:00,,,"LINESTRING (72351.45300000161 382868.5, 36801.210999999195 403773)"
vlieglijnen_oschelde_2010.5,44292.32,grd_06,532.29998779,-518.59997559,2010-05-25T00:00:00,,,"LINESTRING (74067.64799999818 382550.188000001, 35909.0700000003 405038.686999999)"
vlieglijnen_oschelde_2010.6,45581.879,grd_07,558.79998779,-540.09997559,2010-05-25T00:00:00,,,"LINESTRING (74524.11699999869 382934.0940000005, 35268.58999999985 406101.125)"
vlieglijnen_oschelde_2010.7,43669.836,grd_09,539.79998779,-505.20001221,2010-05-24T00:00:00,,,"LINESTRING (74992.04699999839 384038.9059999995, 37390.28099999949 406246.1559999995)"
vlieglijnen_oschelde_2010.8,42776.184,grd_10,459.1000061,-475.29998779,2010-05-24T00:00:00,,,"LINESTRING (74562.11699999869 385001.438000001, 37728.33999999985 406751.7190000005)"
vlieglijnen_oschelde_2010.9,43708.516,grd_11,501.3999939,-479.70001221,2010-05-24T00:00:00,,,"LINESTRING (75021.88300000131 385534.875, 37338.5700000003 407679.9059999995)"
vlieglijnen_oschelde_2010.10,42935.34,grd_12,487.8999939,-500.5,2010-05-24T00:00:00,,,"LINESTRING (74740.29699999839 386396.5309999995, 37706.48800000176 408120.7190000005)"
vlieglijnen_oschelde_2010.11,41620.75,grd_13,532.09997559,-519.29998779,2010-05-24T00:00:00,,,"LINESTRING (74937.14799999818 386958.875, 39042.89799999818 408027.563000001)"
vlieglijnen_oschelde_2010.12,40891.977,grd_14,546.20001221,-455.79998779,2010-05-24T00:00:00,,,"LINESTRING (74604.47700000182 387962.3440000005, 39318.55900000036 408627.7190000005)"
vlieglijnen_oschelde_2010.13,42295.754,grd_15,560.09997559,-485.29998779,2010-05-24T00:00:00,,,"LINESTRING (74783.1799999997 388497.875, 38349.28099999949 409980.4690000005)"
vlieglijnen_oschelde_2010.14,42093.688,grd_16,548.09997559,-412.3999939,2010-05-24T00:00:00,,,"LINESTRING (74395.64799999818 389391.1559999995, 38163.44099999964 410817.9059999995)"
vlieglijnen_oschelde_2010.15,40872.441,grd_17,512.59997559,-477.3999939,2010-05-24T00:00:00,,,"LINESTRING (74147.6559999995 390300.4690000005, 38908.289000000805 411006.5940000005)"
vlieglijnen_oschelde_2010.16,37093.773,grd_18,487.79998779,-464.20001221,2010-05-24T00:00:00,,,"LINESTRING (71567.06300000101 392458.5309999995, 39612.6090000011 411296.2809999995)"
vlieglijnen_oschelde_2010.17,21977.705,grd_19,444.20001221,-476.70001221,2010-05-24T00:00:00,,,"LINESTRING (59857.960999999195 400026.8440000005, 40955.8200000003 411239.7190000005)"
vlieglijnen_oschelde_2010.18,21755.195,grd_20,487.29998779,-478.3999939,2010-05-24T00:00:00,,,"LINESTRING (59655.550999999046 400822.625, 40947.26199999824 411926.1559999995)"
vlieglijnen_oschelde_2010.19,21614.82,grd_21,458,-451.1000061,2010-05-24T00:00:00,,,"LINESTRING (60832.870999999344 400888.75, 42242.210999999195 411915.436999999)"
vlieglijnen_oschelde_2010.20,21705.287,grd_22,483.70001221,-418.5,2010-05-24T00:00:00,,,"LINESTRING (61107.23000000045 401451.125, 42408.14799999818 412472.186999999)"
vlieglijnen_oschelde_2010.21,21724.953,grd_23,507.6000061,-486.8999939,2010-05-24T00:00:00,,,"LINESTRING (61920.64799999818 401673.688000001, 43217.3200000003 412726.25)"
vlieglijnen_oschelde_2010.22,21893.457,grd_24,468.70001221,-447.1000061,2010-05-24T00:00:00,,,"LINESTRING (62372.8590000011 402095.75, 43502.5700000003 413196.9059999995)"
