id;type;titel_kunstwerk;achternaam_kunstenaar;voornaam_kunstenaar;tussenvoegsel_kunstenaar;jaartal_plaatsing;jaartal_vervaardiging;collectie;wijk;adres;materiaal_1;materiaal_2;materiaal_3;materiaal_4;materiaal_5;latitude;longitude;omschrijving;samenvatting;foto_1;foto_2;foto_3;foto_4;foto_5;geo_point
2740.0;Buitenkunst;Wielrijder;Bayens (1924 - 2003);Hans;;1963;;Eindhoven;Woensel-Zuid;W.v.Kesselstraat;Brons;;;;;51.46148998504503;5.467044711112976;Wielrijder, brons, gedateerd en gesigneerd: '63 Bayens. Gegoten bij Stijlaart Rumpt.;;https://data.eindhoven.nl/api/v2/catalog/datasets/kunstwerken/files/8ce5c1ffb92f1a2ab2f26e6df9cc0e21;;;;;51.461489985, 5.46704471111
2746.0;Buitenkunst;Tekens van de dierenriem;Mignot (1915-1972);Willy;;1962;;Eindhoven;Stratum;Floraplein;Kalksteen;;;;;51.41628840665502;5.497436899475079;Vier reliefs aan wand fonteinbekken;;https://data.eindhoven.nl/api/v2/catalog/datasets/kunstwerken/files/87321f24123d7d7d42233e445da72981;;;;;51.4162884067, 5.49743689948
2753.0;Buitenkunst;Radiomonument;Termote (1887 - 1978);Albert (Albert Polydorus);;1936;;Eindhoven;Stratum;Alberdingk Thijmlaan, In het Stadswandelpark;Brons;;;;;51.426708151467906;5.481356978416443;Gegoten bij Prowaseck Leiden. Reli;;;;;;;51.4267081515, 5.48135697842
2756.0;Buitenkunst;Honor̩ de Balzac;Rodin;Auguste Ren̩;;1966;;Eindhoven;Centrum;Wal;Brons;;;;;51.434325290134;5.481138378381729;Gesigneerd: Rodin. Gegoten bij Susse Parijs. Opschriften: voetplaat voorzijde: Copy rights: By Musee Rodin 1965. Voetplaat achterzijde: Susse Fondeur Paris. Sokkel: herkomst: aankoop gemeente Eindhoven in 1964, jaar van plaatsing:1966. Opmerking: Andere exemplaren o.a. Te Parijs, Middelheim, Antwerpen, Museum of Modern Art New York.;;https://data.eindhoven.nl/api/v2/catalog/datasets/kunstwerken/files/123d4f580fecaa4db7fe4f9f76bda251;;;;;51.4343252901, 5.48113837838
2763.0;Buitenkunst;Torso;Schoffelen (1937 - );Sjra (Gerardus Cornelius);;1969;;Eindhoven;Centrum;Hermanus Boexstaat t.o. no. 1;Brons;;;;;51.440332401983206;5.478305295109749;Ongesigneerd. Gegoten bij Eijsbouts Asten.;;https://data.eindhoven.nl/api/v2/catalog/datasets/kunstwerken/files/164bb86925d4b698b7e64181fe2d7a88;;;;;51.440332402, 5.47830529511
2770.0;Buitenkunst;Het Volderke;Goddefroy;Hans;;1964;;Eindhoven;Centrum;Hermanus Boexstraat t.o. no. 23;Brons;;;;;51.440329685146494;5.478300601243973;Gesigneerd: H. Goddefroy. Opschriften: Dommel/ 'ne volder is 'ne goeie mens, salaai!/ 'ne kaoje mens is ginne volder, salaai!/ 'ne kaoje volder ister nie, salaai!/'ne goeie volder is ginne kaoje, salaai! Gegoten bij Dick Grosman Velp bij Arnhem. Herkomst: Schenking carnavalsvereniging 'De Volders' bij elfjarig bestaan. Onthuld op 8 februari 1964 door wethouder mr. P. van 't Hoff.;;https://data.eindhoven.nl/api/v2/catalog/datasets/kunstwerken/files/b89e5c1f02cd6ae34926c5135ee06251;;;;;51.4403296851, 5.47830060124
2771.0;Buitenkunst;Betonplastiek;Nix;Frank;;1970;;Eindhoven;Centrum;Hertogstraat;Beton;;;;;51.43227689798712;5.485616326332092;Herkomst: Geschonken door Hollandse Soci;;;;;;;51.432276898, 5.48561632633
2776.0;Buitenkunst;Potplanten;Kunstenaarsduo Huub & Adelheid Kortekaas;;;1979;;Eindhoven;Centrum;Stadhuisplein 1;Cortenstaal;;;;;51.43485534889798;5.480407476425171;250 x 150 cirkel (twee exemplaren) Uitgevoerd in samenwerking met Piet H;;;;;;;51.4348553489, 5.48040747643
2777.0;Buitenkunst;Elpida;Wenckebach (1895 - 1962);Oswald (Ludwig Oswald);;1980;;Eindhoven;Gestel;Hof Mendelssohnlaan;Brons;;;;;51.42625283879977;5.451206937432289;Ongesigneerd. Gegoten bij J.E. St;;;;;;;51.4262528388, 5.45120693743
2778.0;Buitenkunst;Communicatie;Couzijn;Wessel;;1981;;Eindhoven;Centrum;Oude Stadsgracht;Cortenstaal;;;;;51.4353838005465;5.481702901119245;1980-1981. Opschrift op driekhoekige ijzeren plaat: Ontw. Couzijn Uitv Hurks BV. Opschrift op losse ijzeren plaat in plaveisel: Aangeboden door DAF-TRUCKS ter gelegenheid van haar 50 jaar bestaan.;;https://data.eindhoven.nl/api/v2/catalog/datasets/kunstwerken/files/9061d093f7df94f48a5743900c176ae7;;;;;51.4353838005, 5.48170290112
2781.0;Buitenkunst;Het bestuur;Kampen (1939 - );David;van;1982;;Eindhoven;Stratum;Sint-Gerardusplein , plantsoen Sint-Gerardusplein tussen Gladiolusstraat en Ranonkelstraat;Brons;;;;;51.419767894978676;5.489252704928211;Gesigneerd: G. Hellegers II/III. Gegoten bij Stijlaart Rumpt. Aankoop Gemeente Eindhoven n.a.v. expositie beelden in het Stadswandelpark in 1982. Opmerking: Levi Straus International Amsterdam bezit een exemplaar, evenals de kunstenaar.;;https://data.eindhoven.nl/api/v2/catalog/datasets/kunstwerken/files/2345bbfaf41d487a09201a1cf0827c92;;;;;51.419767895, 5.48925270493
2783.0;Buitenkunst;Energie der grossen Linie;Mack;Heinz;;1981;;Eindhoven;Centrum;Stadhuisplein 10;RVS;Verlichting;Acrylaat;;;51.4350569;5.4797898;1980-1983. Ongesigneerd. Herkomst: Opdracht Gemeente Eindhoven. Jaar van plaatsing: in april 1983 geplaatst in  Dommelplantsoen tussen  Wal en Paradijslaan, sinds 1995 in de hal van het Stadskantoor. Opmerking: Bekroond ontwerp van de Internationale Prijsvraag ter gelegenheid van het honderdjarig bestaan van de gloeilamp, onderdeel van de manifestatie Licht '79;;https://data.eindhoven.nl/api/v2/catalog/datasets/kunstwerken/files/da7233a8671901bb610f5d0179509f55;;;;;51.4350569, 5.4797898
2789.0;Buitenkunst;Object (code M 045.1.048.1/1982);Roose;Wim;;1982;;Eindhoven;Stratum;Alberdingk Thijmlaan, In het Stadswandelpark;Staal;;;;;51.42518929886697;5.479858216177367;3 elementen. Gesigneerd op metalen plaatje: W. Roose code M 045-048/1982. Herkomst: Aankoop Gemeente Eindhoven n.a.v. de tentoonstelling Beelden in Het Stadswandelpark in 1982.;;https://data.eindhoven.nl/api/v2/catalog/datasets/kunstwerken/files/d1cae9d714cd160828f3612d6b3e6b37;;;;;51.4251892989, 5.47985821618
2793.0;Buitenkunst;Tandem;Kampen (1939 - );David;van;1982;;Eindhoven;Stratum;Alberdingk Thijmlaan, In het Stadswandelpark;Brons;;;;;51.42610775658323;5.483571141958237;Gemonogrammeerd en gedateerd: GH 79. Gegoten bij Eijsbouts Asten. Herkomst: Geschonken door DELA Eindhoven n.a.v. expositie beelden in het Stadswandelpark. Opmerking: Andere exemplaar in het bezit van de Provincie Overijssel en staat in het Provinciehuis te Zwolle. Verder zijn exemplaren in bezit van de Aegon 's-Gravenhage, Gemeente Heerlen en een particuliere collectie te Groningen.;;https://data.eindhoven.nl/api/v2/catalog/datasets/kunstwerken/files/03ea55763302b635000def3899420ab5;;;;;51.4261077566, 5.48357114196
2794.0;Buitenkunst;Kubus - Dik Box;Box;Dik;;1982;;Eindhoven;Stratum;Alberdingk Thijmlaan , Stadswandelpark;Aluminium;Staal;;;;51.42561773485586;5.48342227935791;Geplaatst in water. Herkomst. Aankoop Gemeente Eindhoven n.a.v. Tentoonstelling Beelden in the Stadswandelpark in 1982. Opmerking: In september 1998 is het beeld herplaatst.;;https://data.eindhoven.nl/api/v2/catalog/datasets/kunstwerken/files/49c57163325d89b926a5ddb2680469bc;;;;;51.4256177349, 5.48342227936
