FID,PEILBUIS_ID,LOCATIE,LATITUDE,LONGITUDE,ACTIEF

Peilbuizen.24841,D537634A-89B0-4F47-BB4B-1F686A7A0929,St. Willibrordusstraat in talud voor nr 22,52.15821862,5.37041521,0

Peilbuizen.24842,5FA653CC-BB1E-422E-8ADD-4E9ABD534E15,Soesterweg in groenstrook achter Goudenregenstraat,52.15968851,5.35169413,1

Peilbuizen.24843,C4BFEF18-9A6C-41EB-8FB0-8E03A594E997,Berkenweg X Utrechtseweg in groen op kop kantoor,52.15065178,5.37995904,1

Peilbuizen.24844,5664C9B8-B5D4-4B3C-A9E1-8B786E5318DA,Groen van Prinsterenlaan bij ZW punt school,52.15180919,5.36407624,1

Peilbuizen.24845,19F943BA-D4D9-4B40-AB3D-93B2D795C7E8,Mahlerstraat,52.14789146,5.40415386,1

Peilbuizen.24846,A2E77047-BB29-41F6-A400-A0C8D287C54D,Computerweg voor nr 38,52.17547397,5.41151789,1

Peilbuizen.24847,5D04499E-27B3-431C-A1D5-DA03446B4875,Station Schothorst bij trap t.o. bushalte,52.17537649,5.40357964,1

Peilbuizen.24848,E8D24530-C262-4290-8DD8-A8EF2BCC52D8,Sara Burgerhartsingel bij brug t.o. nr 169,52.17418192,5.39599207,0

Peilbuizen.24849,07494089-CCB1-4ECB-B1BC-6A8BB54307F5,Camera Obscurastraat,52.17407437,5.3897791,1

Peilbuizen.24850,2C5A2FFC-D1F4-4784-A84D-7D8D4153D7E9,Willem Mertenspad,52.17278888,5.37925385,0

Peilbuizen.24851,B54402F9-DED7-4F3C-B6AD-0E4ABBBED4A6,Brabantsestraat (bij bushalte),52.16047543,5.37826223,1

Peilbuizen.24852,E987FA64-31FA-496F-8695-7213E1EA313B,Lambert van Noortstraat t/o nr 75 naast garage,52.15646667,5.37636333,1

Peilbuizen.24853,ED186EB4-FE53-4177-B5D2-0B173EA38BB0,Lariksstraat (hoek Enk),52.16195242,5.3483894,1

Peilbuizen.24854,FD24748E-522C-4076-B873-DE8A7695EF1F,Bij sportveld VVZA,52.17815482,5.39127059,1

Peilbuizen.24855,56D95226-2985-4E21-90E0-5150888441D0,Klinket,52.19161742,5.40428765,1

Peilbuizen.24856,0D779AA2-E541-4C86-BA62-52675033D667,Van Tuylstraat voor nr 37,52.18635158,5.43367731,1

Peilbuizen.24857,5F5FCC0E-3EFA-4741-BDE2-01D484F25191,Van Tuylstraat voor nr 6,52.18975933,5.43011266,1

Peilbuizen.24858,76B1B955-E1DD-43AD-A76A-E9DDE622A899,Station Schothorst bij flat in plantsoen,52.1752419,5.40181068,1

Peilbuizen.24859,B8DE6659-8F81-48EC-B0AF-BF6DB993EF9A,Frans Halsstraat X Woestijgerweg (bij boom),52.14670628,5.38489776,1

Peilbuizen.24860,5D6760E0-CF85-4C3D-AC09-1C5D895A5AF6,Otellapad tussen huisnrs 24-26 in voetpad,52.15146714,5.4125129,1

Peilbuizen.24861,91F5A480-A336-4BC8-BA6B-4669DADDB6B9,Wolfseind 13,52.18955055,5.40188854,0

Peilbuizen.24862,75E270D7-1D47-4849-8EB8-6D79A155C4F9,Vathorst,52.18831685,5.41494681,0

Peilbuizen.24863,D486D547-702D-44A2-8B3B-CC3244317E14,Vathorst,52.19769112,5.41511358,0

Peilbuizen.24864,D91817C5-A775-4AE0-B654-559CD4881FFA,Gangboord 80,52.19408096,5.39668346,1

Peilbuizen.24865,419B2927-F85F-4B59-8D31-5EAF2DD3EEC0,Hooglied 18,52.19093555,5.39067221,1

Peilbuizen.24866,A21CB055-422E-486C-B512-3DAB0BEF21CD,Tolick hoek Gerstenkamp,52.18475113,5.37287647,1

Peilbuizen.24867,B896C8B3-890A-40FF-9040-2D287D7D6291,Balgzand hoek Bruggensingel,52.18552492,5.38822982,0

Peilbuizen.24868,C4C5D7CA-4F09-42CE-AE97-9CC1441A29C3,Springerstraat bij nr 41,52.18240566,5.39773367,1

Peilbuizen.24869,979208D1-9D2B-430C-BDED-A456B1E57338,Hermelijnvinder t.o. brug bij nr 60,52.18509143,5.40922747,0

Peilbuizen.24870,CD90CF14-6CE9-48D1-AEBA-EC1BA2AAC411,C. Drebbelstraat hoek Erasmusstraat (in gazon),52.18044473,5.40912281,0

Peilbuizen.24871,6DB02160-2FC0-4F2E-8D93-60C96EDC7DAA,Binckestraat,52.16299231,5.39045071,0

Peilbuizen.24872,77318338-9D04-431D-8DAE-7C8FDC686EB1,Dierenriem hoek Boogschutter bij Sporthal,52.16599431,5.38808314,1

Peilbuizen.24873,A3A683BD-7549-4A83-9A00-A9129DA5C1D8,Schimmelpenninckstraat (in knik t/o nr 36),52.16031397,5.38654851,1

Peilbuizen.24874,A9B19536-3C8D-4BC1-A1D3-D7DA2B8BEA5F,Ligusterstraat X Aucubastraat,52.15616021,5.36915927,1

Peilbuizen.24875,BF4911AA-FB7B-4592-BEBD-5BCF1E02287E,St. Willibrordesstraat in talud voor nr 22,52.15821862,5.37041521,1

Peilbuizen.24876,E7E4A5F3-399C-4E95-8810-8D31DC42210B,Merwedestraat X Spaarnestraat in boomspiegel NO,52.16107662,5.36940575,1

