Handelsnaam anonimiseerd;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Anoniem 1102;;;;1;;;;;;1
Anoniem 1104;;;;;;;1;;;1
Anoniem 1105;;;1;;;;;;;1
Anoniem 1110;;;;1;;;;;;1
Anoniem 1111;;;;;;;1;;;1
Anoniem 1114;;;;;;;1;;;1
Anoniem 1119;;;;;;1;;;;1
Anoniem 112;;;;;;1;;;;1
Anoniem 1120;;;;;;;1;;;1
Anoniem 1122;;;;;2;;;;;2
Anoniem 1127;;;;;;1;;;;1
Anoniem 1128;;;;;;;1;;;1
Anoniem 1129;;;;;;3;;;;3
Anoniem 113;;;;;;;1;;;1
Anoniem 1133;;;;;;;1;;;1
Anoniem 1134;;;;1;;1;1;;;1
Anoniem 1137;;;;1;;;;;;1
Anoniem 1138;;;;;;;1;;;1
Anoniem 114;;;;;;;1;;;1
Anoniem 1140;;;;;1;;;;;1
Anoniem 1143;;;;;;;1;;;1
Anoniem 1144;;;;;;1;;;;1
Anoniem 1146;;;;;;2;;;;2
Anoniem 1148;;;;;;;1;;;1
Anoniem 1149;;;;;;1;;;;1
Anoniem 115;;;;1;;;;;;1
Anoniem 1150;;;;;;;1;;;1
Anoniem 1151;;;1;1;;;;;;1
Anoniem 1153;;;1;;;;;;;1
Anoniem 1164;;;;1;;;;;;1
Anoniem 117;;;;;;1;;;;1
Anoniem 118;;;;;1;;;;;1
Anoniem 1182;;;;;;2;;;;2
Anoniem 1183;;;1;;;;;;;1
Anoniem 1184;;;;;;1;;;;1
Anoniem 1191;;;;;;;1;;;1
Anoniem 1198;;;;;;1;;;;1
Anoniem 12;;;;;2;;;;;2
Anoniem 1200;;;;;;1;;;;1
Anoniem 1201;;;;;;1;;;;1
Anoniem 1202;;;;1;;;;;;1
Anoniem 1205;;;;;;1;;;;1
Anoniem 1206;;;;;;1;;;;1
Anoniem 1213;;;;;;2;;;;2
Anoniem 1214;;;;1;;;;;;1
Anoniem 1215;;;;;;1;;;;1
Anoniem 1216;;;;1;;;;;;1
Anoniem 1219;;;;;;1;;;;1
Anoniem 122;;;;;;;1;;;1
Anoniem 1224;;;;1;;;;;;1
Anoniem 1225;;;;;;1;;;;1
Anoniem 1227;;;;;1;;;;;1
Anoniem 1230;;;;;;1;;;;1
Anoniem 1231;;;;;;1;;;;1
Anoniem 1232;;;;;;1;;;;1
Anoniem 1235;;;;1;;;;;;1
