FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
B18.269,EHAM,Norra,281,,14.38524447,B18,,,"LINESTRING (620215.5433 5796865.454600001, 593778.3837000001 5800303.251)"
B18.270,Norra,NL2,349,,8.55266841,B18,,,"LINESTRING (593778.3837000001 5800303.251, 590539.4556999998 5815819.199100001)"
B18.271,NL2,NL3,0,,36.41722092,B18,,,"LINESTRING (590539.4556999998 5815819.199100001, 589288.6248000003 5883298.5502)"
B18.272,NL3,NL4,29,,24.80595298,B18,,,"LINESTRING (589288.6248000003 5883298.5502, 610671.0179000003 5923995.354499999)"
B18.273,NL4,NL5,71,,64.00104618,B18,,,"LINESTRING (610671.0179000003 5923995.354499999, 721745.3496000003 5965602.013800001)"
B18.274,NL5,NL16,309,,55.97825124,B18,,,"LINESTRING (721745.3496000003 5965602.013800001, 638370.4919999996 6027336.967599999)"
B18.275,NL16,NL17,311,,18.85729169,B18,,,"LINESTRING (638370.4919999996 6027336.967599999, 611257.2177999998 6049387.111)"
B18.276,NL17,NL18,360,,20.767947,B18,,,"LINESTRING (611257.2177999998 6049387.111, 610134.8839999996 6087859.357100001)"
B18.277,NL18,NL21,310,,17.48783381,B18,,,"LINESTRING (610134.8839999996 6087859.357100001, 584837.3071999997 6108118.177999999)"
B18.278,NL21,NL20,189,,36.5853478,B18,,,"LINESTRING (584837.3071999997 6108118.177999999, 575155.2774999999 6041010.4956)"
B18.279,NL20,NL19,147,,19.37639043,B18,,,"LINESTRING (575155.2774999999 6041010.4956, 595237.6188000003 6011241.3015)"
B18.280,NL19,NL22,251,,24.78792434,B18,,,"LINESTRING (595237.6188000003 6011241.3015, 552183.0581999999 5995220.362500001)"
B18.281,NL22,NL23,341,,21.3650805,B18,,,"LINESTRING (552183.0581999999 5995220.362500001, 539076.2514000004 6032583.398399999)"
B18.282,NL23,NL24,13,,52.86069451,B18,,,"LINESTRING (539076.2514000004 6032583.398399999, 559523.7783000004 6128390.8467999995)"
B18.283,NL24,NL27,309,,17.49275666,B18,,,"LINESTRING (559523.7783000004 6128390.8467999995, 534214.6061000004 6148649.782400001)"
B18.284,NL27,NL26,194,,69.24806347,B18,,,"LINESTRING (534214.6061000004 6148649.782400001, 503014.08779999986 6024164.875700001)"
B18.285,NL26,NL25,172,,44.75015821,B18,,,"LINESTRING (503014.08779999986 6024164.875700001, 515430.8965999996 5942165.5337000005)"
B18.286,NL25,NL13,171,,22.30700417,B18,,,"LINESTRING (515430.8965999996 5942165.5337000005, 521920.0449000001 5901337.0989)"
B18.287,NL13,NL12,172,,36.42005342,B18,,,"LINESTRING (521920.0449000001 5901337.0989, 532126.7723000003 5834617.0964)"
B18.288,NL12,NL7,108,,16.51794308,B18,,,"LINESTRING (532126.7723000003 5834617.0964, 561292.0471000001 5825316.879000001)"
B18.289,NL7,NL2,109,,16.5927703,B18,,,"LINESTRING (561292.0471000001 5825316.879000001, 590539.4556999998 5815819.199100001)"
B18.290,NL2,Norra,169,,8.55266841,B18,,,"LINESTRING (590539.4556999998 5815819.199100001, 593778.3837000001 5800303.251)"
B18.291,Norra,EHAM,101,,14.38524447,B18,,,"LINESTRING (593778.3837000001 5800303.251, 620215.5433 5796865.454600001)"
