FID,soort_kuns,globalid,codebpn,disk_beh_o,districtna,objectnaam,objecttype,risicoaand,materiaal,status,beheersreg,contract,opmerking,info1,info2,info3,info4,info5,stichtings,muteerder,mutatie,geobron,hoofdwater,watersyste,watersys_1,subcat,zijde,km,element,beheerder,eigenaar,onderhoude,monument,et_source,se_anno_cad_data,gdb_geomattr_data,shape
kunstwerk_lijn.1,35,{8AE3FB7B-7F53-4CF1-99A1-4020E3BB4E88},"117.KM.L.1000,31",43E-100,WNZ Z,Remmingwerk Haringvlietbrug,Remmingswerk,Niet bekend,Niet bekend,Niet bekend,Wel in beheer, , ,"Haak, J",VOBO, , , ,0,haakj,1899-12-30T00:00:00,Getekend vrij,Rijn-Maasmonding,Zuidrand,117,KM,L,"1000,31",--,RWS,RWS,RWS,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_havl_kunstwerk_l,,,"LINESTRING (87003.0362999998 414961.6398999989, 86978.57770000026 414971.3902999982)"
kunstwerk_lijn.2,35,{5960FE59-140B-4BD6-8D45-F6ACB31E925C},"117.KM.R.1000,31",43E-100,WNZ Z,Remmingwerk Haringvlietbrug,Remmingswerk,Niet bekend,Niet bekend,Niet bekend,Wel in beheer, , ,"Haak, J",VOBO, , , ,0,haakj,1899-12-30T00:00:00,Getekend vrij,Rijn-Maasmonding,Zuidrand,117,KM,R,"1000,31",--,RWS,RWS,RWS,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_havl_kunstwerk_l,,,"LINESTRING (87015.76139999926 414992.5436999984, 86990.64169999957 415002.9550999999)"
kunstwerk_lijn.3,35,{26A33C59-EF81-4E9D-8FF6-6EA2FBD80DCE},"109C.KM.-.9,504",44B-353-01,WNZ Z,Remmingwerk Kolk L1 Helsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-05-07T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,9.504,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (113280.86400000006 424820.0229999982, 113275.01900000125 424828.26000000164)"
kunstwerk_lijn.4,35,{9096E89F-F084-45BC-B075-02DAFF762A51},"109C.KM.-.9,51",44B-353-01,WNZ Z,Remmingwerk Buitenhoofd Links Helsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-05-07T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,9.51,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (113270.51399999857 424862.62999999896, 113264.19299999997 424879.5859999992, 113258.94099999964 424899.1090000011)"
kunstwerk_lijn.5,35,{3A5021D9-5EC0-4B01-A297-2C4BF8A867F5},"109C.KM.-.9,509",44B-353-01,WNZ Z,Remmingwerk Buitenhoofd Rechts Helsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-05-07T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KM,-,9.509,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (113277.85399999842 424864.0920000002, 113278.55700000003 424875.0870000012)"
kunstwerk_lijn.6,35,{64D156DD-56C1-468B-9EDE-23703D8AFBC8},"109A.KM.-.971,66",44B-002-01,WNZ Z,Remmingwerk Binnenhoofd L2 Spieringsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,2011,haakj,2013-04-10T00:00:00,Matthias Buijze,Rijn-Maasmonding,Middendeel,109A,KM,-,971.66,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111935.60000000149 421264.6959999986, 111955.1790000014 421258.875)"
kunstwerk_lijn.7,35,{FA9E4878-564C-47E1-B3CA-AF8CE6D86A74},"109A.KM.-.971,661",44B-002-01,WNZ Z,Remmingwerk Buitenhoofd R2 Spieringsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,2011,haakj,2013-04-10T00:00:00,Matthias Buijze,Rijn-Maasmonding,Middendeel,109A,KM,-,971.661,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (111818.98849999905 421302.2377000004, 111801.66679999977 421310.38479999825)"
kunstwerk_lijn.8,35,{39FD7700-F052-4DA9-85F3-CB4A9C88974E},"109A.KM.-.971,65",44B-001-01,WNZ Z,Remmingswerk Binnenhoofd Links Biesboschsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-02-20T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,KM,-,971.65,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (119779.48800000176 424031.34099999815, 119779.3900000006 424028.8209999986, 119771.41000000015 423995.37000000104)"
kunstwerk_lijn.9,35,{CE588FDA-2D77-4F0A-921B-6D07F25CB574},"109A.KM.-.971,652",44B-001-01,WNZ Z,Remmingswerk Buitenhoofd Rechts Biesboschsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-02-20T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,KM,-,971.652,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (119785.86800000072 424136.01000000164, 119785.80099999905 424138.45600000024, 119793.87799999863 424171.46599999815, 119793.71700000018 424202.04199999943)"
kunstwerk_lijn.10,35,{4177F61E-281C-4C4D-9F67-847CCF083C2D},"109A.KM.-.971,653",44B-001-01,WNZ Z,Remmingswerk Binnenhoofd Rechts Biesboschsluis,Remmingswerk,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-02-20T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,KM,-,971.653,--,Niet bekend,Niet bekend,Niet bekend,nee,G:\civ\IGA_DMC\Intern\projecten_lopende\Databeheer\_PROJECTEN\VOVVOBO\fgdb\toekomstige_contracten_vobo.gdb\vobo_mema_kunstwerk_l,,,"LINESTRING (119787.20199999958 424031.55999999866, 119787.31500000134 424029.04100000113, 119795.9290000014 423995.3770000003, 119796.47399999946 423964.86100000143)"
