FID,OVW_STARTDATUM,BOOMKLASSE,BOOMHOOGTE,BUURT,EIGENAAR,FUNCTIE,KROONDIAMETER,PLANTWIJZE,STAMDIAMETER,STANDPLAATS,WIJKNAAM,ID,NEDERLANDSE_NAAM,BOOMSOORT,GEOMETRIE,PLANTJAAR,LONGITUDE,LATITUDE,OVW_MAX_SIZE
Gemeentelijke_bomen.15955441,2023-02-03,Geen vrije uitgroei,6-9 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Groep,0-10 cm,Ruw gras,Buitengebied-Oost,704,gewone es,Fraxinus excelsior,POINT (52.16590700945368 5.458685618624273),2013 (geschat),5.45868523084912,52.1659038471283,0

Gemeentelijke_bomen.15955442,2023-02-03,Geen vrije uitgroei,12-15 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,705,zomereik,Quercus robur,POINT (52.162967819915565 5.4596248945407835),1950,5.4596245538884,52.1629646773523,0

Gemeentelijke_bomen.15955443,2023-02-03,Geen vrije uitgroei,9-12 m,Rustenburg-Zuid,Gemeente Amersfoort,Rijkswegen,6,Groep,11-25 cm,Bosplantsoen,Rustenburg,408,zwarte els,Alnus glutinosa,POINT (52.16137859929181 5.419055931611493),1994,5.41905580169612,52.161375212183,0

Gemeentelijke_bomen.15955444,2023-02-03,Geen vrije uitgroei,9-12 m,Rustenburg-Zuid,Gemeente Amersfoort,Rijkswegen,6,Groep,11-25 cm,Bosplantsoen,Rustenburg,409,zwarte els,Alnus glutinosa,POINT (52.161394731212084 5.419044704515729),1994,5.41904457440497,52.161391343967,0

Gemeentelijke_bomen.15955445,2023-02-03,Geen vrije uitgroei,12-15 m,Rustenburg-Zuid,Gemeente Amersfoort,Rijkswegen,9,Groep,26-50 cm,Bosplantsoen,Rustenburg,410,schietwilg,Salix alba,POINT (52.16141777476736 5.419033482462868),1994,5.41903335205131,52.1614143873553,0

Gemeentelijke_bomen.15955446,2023-02-03,Geen vrije uitgroei,12-15 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,413,zomereik,Quercus robur,POINT (52.1623101195063 5.423742730586638),1950,5.42374256507916,52.162306755514,0

Gemeentelijke_bomen.15955447,2023-02-03,Geen vrije uitgroei,12-15 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Bosplantsoen,Buitengebied-Oost,780,gewone es,Fraxinus excelsior,POINT (52.156598946958354 5.459780378604459),1950,5.45978014906723,52.156595833082,0

Gemeentelijke_bomen.15955448,2023-02-03,Geen vrije uitgroei,6-9 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,3,Bomenrij,11-25 cm,Ruw gras,Buitengebied-Oost,166,zomereik,Quercus robur,POINT (52.162980206418865 5.439414730478136),1983,5.43941448249578,52.1629769340186,0

Gemeentelijke_bomen.15955449,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,167,zomereik,Quercus robur,POINT (52.16299372331693 5.43933582458681),1983,5.43933557674554,52.162990450366,0

Gemeentelijke_bomen.15955450,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,168,zomereik,Quercus robur,POINT (52.163027043971496 5.439188250587198),1983,5.43918800287829,52.1630237699546,0

Gemeentelijke_bomen.15955451,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,6,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,169,zomereik,Quercus robur,POINT (52.16304864981222 5.439109353889747),1983,5.43910910618968,52.1630453752084,0

Gemeentelijke_bomen.15955452,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,6,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,171,zomereik,Quercus robur,POINT (52.16310623939532 5.438957423213346),1983,5.43895717526904,52.1631029635892,0

Gemeentelijke_bomen.15955453,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,6,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,172,zomereik,Quercus robur,POINT (52.16313682790943 5.438890228956405),1983,5.43888998082057,52.1631335515485,0

Gemeentelijke_bomen.15955454,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,6,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,173,zomereik,Quercus robur,POINT (52.16317280841007 5.4388245023273525),1983,5.43882425390517,52.1631695314789,0

Gemeentelijke_bomen.15955455,2023-02-03,Geen vrije uitgroei,9-12 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,6,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,174,zomereik,Quercus robur,POINT (52.16321058328834 5.4387660853678295),1983,5.43876583659649,52.1632073058242,0

Gemeentelijke_bomen.15955456,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,508,zomereik,Quercus robur,POINT (52.16272469897397 5.450881160236276),1950,5.45088086390312,52.1627215002853,0

Gemeentelijke_bomen.15955457,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,509,zomereik,Quercus robur,POINT (52.16269971927522 5.450814756070026),1950,5.45081446046707,52.1626965202708,0

Gemeentelijke_bomen.15955458,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,510,zomereik,Quercus robur,POINT (52.16268000065533 5.450759065075279),1950,5.45075877006358,52.1626768013807,0

Gemeentelijke_bomen.15955459,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,15,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,687,zomereik,Quercus robur,POINT (52.16288147759949 5.454246854060085),1950,5.45424653960434,52.1628783000359,0

Gemeentelijke_bomen.15955460,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,15,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,688,zomereik,Quercus robur,POINT (52.16288282295854 5.454339356169189),1950,5.45433904126568,52.1628796459924,0

Gemeentelijke_bomen.15955461,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,690,zomereik,Quercus robur,POINT (52.16316476503155 5.456141975166579),1950,5.4561416470966,52.1631615985862,0

Gemeentelijke_bomen.15955462,2023-02-03,Geen vrije uitgroei,12-15 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,15,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,691,zomereik,Quercus robur,POINT (52.16314772495617 5.456013495794029),1950,5.45601316861137,52.1631445577449,0

Gemeentelijke_bomen.15955463,2023-02-03,Geen vrije uitgroei,12-15 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,695,zomereik,Quercus robur,POINT (52.163085879608026 5.455656355964619),1950,5.45565603149806,52.1630827103353,0

Gemeentelijke_bomen.15955464,2023-02-03,Geen vrije uitgroei,12-15 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,696,zomereik,Quercus robur,POINT (52.16307142116851 5.455582097465197),1950,5.45558177359077,52.1630682514746,0

Gemeentelijke_bomen.15955465,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,15,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,698,zomereik,Quercus robur,POINT (52.162992728730956 5.455222195312554),1950,5.4552218744554,52.1629895570367,0

Gemeentelijke_bomen.15955466,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,553,zomereik,Quercus robur,POINT (52.16314463168764 5.455673087036834),1950,5.4556727614752,52.1631414622583,0

Gemeentelijke_bomen.15955467,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,554,zomereik,Quercus robur,POINT (52.16315906583533 5.45575874553283),1950,5.45575841932659,52.163155896902,0

Gemeentelijke_bomen.15955468,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,482,zomereik,Quercus robur,POINT (52.162944657623264 5.453110136133579),1950,5.45310982580949,52.1629414723733,0

Gemeentelijke_bomen.15955469,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,483,zomereik,Quercus robur,POINT (52.16294469597108 5.453041627753538),1950,5.45304131774348,52.1629415102758,0

Gemeentelijke_bomen.15955470,2023-02-03,Geen vrije uitgroei,12-15 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,423,zomereik,Quercus robur,POINT (52.162101660372144 5.448955634327953),1950,5.44895535737549,52.1620984521003,0

Gemeentelijke_bomen.15955471,2023-02-03,Geen vrije uitgroei,12-15 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,424,zomereik,Quercus robur,POINT (52.162158115282324 5.449259713690894),1950,5.44925943439826,52.1621549087078,0

Gemeentelijke_bomen.15955472,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,15,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,722,gewone es,Fraxinus excelsior,POINT (52.16315682930722 5.460560773618484),1970,5.46056042533939,52.1631536921101,0

Gemeentelijke_bomen.15955473,2023-02-03,Geen vrije uitgroei,15-18 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,268,zomereik,Quercus robur,POINT (52.16263999083957 5.446122629475005),1980 (geschat),5.4461223563663,52.1626367620793,0

Gemeentelijke_bomen.15955474,2023-02-03,Geen vrije uitgroei,12-15 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,269,zomereik,Quercus robur,POINT (52.16264991918051 5.4460393369434446),1980 (geschat),5.44603906404939,52.1626466898468,0

Gemeentelijke_bomen.15955475,2023-02-03,Geen vrije uitgroei,12-15 m,Bloeidaal,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,270,zomereik,Quercus robur,POINT (52.162657154080286 5.445950194753055),1980 (geschat),5.4459499221457,52.1626539241483,0

Gemeentelijke_bomen.15955476,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,726,zomereik,Quercus robur,POINT (52.16325283774653 5.460723640332151),1950,5.46072328961198,52.1632497011986,0

Gemeentelijke_bomen.15955477,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,727,zomereik,Quercus robur,POINT (52.16321735871033 5.460614395760294),1950,5.46061404616845,52.1632142215958,0

Gemeentelijke_bomen.15955478,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Gazon,Buitengebied-Oost,728,zomereik,Quercus robur,POINT (52.16316747083746 5.46038416791122),1950,5.46038382025802,52.1631643324165,0

Gemeentelijke_bomen.15955479,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,15,Bomenrij,51-75 cm,Gazon,Buitengebied-Oost,729,gewone es,Fraxinus excelsior,POINT (52.16316090381877 5.460357396710378),1970,5.46035704929599,52.1631577652495,0

Gemeentelijke_bomen.15955480,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,15,Bomenrij,26-50 cm,Gazon,Buitengebied-Oost,730,gewone es,Fraxinus excelsior,POINT (52.16315236262774 5.460332761837318),1970,5.46033241468663,52.1631492239333,0

Gemeentelijke_bomen.15955481,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,9,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,513,zomereik,Quercus robur,POINT (52.162578786471144 5.45045277843199),1980 (geschat),5.45045248654666,52.1625755856783,0

Gemeentelijke_bomen.15955482,2023-02-03,Geen vrije uitgroei,6-9 m,Rustenburg-Zuid,Gemeente Amersfoort,Rijkswegen,3,Bomenrij,11-25 cm,Ruw gras,Rustenburg,392,gewone es cv.,Fraxinus excelsior Westhofs Glorie,POINT (52.16174843891472 5.41903447152183),2010,5.419034336063,52.1617450500386,0

Gemeentelijke_bomen.15955483,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,710,zomereik,Quercus robur,POINT (52.162994003546544 5.459862576536277),1950,5.45986223433211,52.1629908624431,0

Gemeentelijke_bomen.15955484,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,6,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,712,zwarte els,Alnus glutinosa,POINT (52.163016289113905 5.460018897134278),1970,5.46001855382014,52.1630131489485,0

Gemeentelijke_bomen.15955485,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,714,zomereik,Quercus robur,POINT (52.16304912160059 5.4601538268685115),1950,5.4601534823569,52.1630459821836,0

Gemeentelijke_bomen.15955486,2023-02-03,Geen vrije uitgroei,18-24 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,26-50 cm,Ruw gras,Buitengebied-Oost,715,zomereik,Quercus robur,POINT (52.16306488690708 5.46020737491894),1950,5.46020702988386,52.1630617477748,0

Gemeentelijke_bomen.15955487,2023-02-03,Geen vrije uitgroei,15-18 m,Stoutenburg-Noord,Gemeente Amersfoort,Agrarische bestemming,12,Bomenrij,51-75 cm,Ruw gras,Buitengebied-Oost,422,zomereik,Quercus robur,POINT (52.162138434260314 5.449131233233183),1950,5.44913095485881,52.1621352269498,0

Gemeentelijke_bomen.15955488,2023-02-03,Geen vrije uitgroei,9-12 m,Rustenburg-Zuid,Gemeente Amersfoort,Rijkswegen,3,Bomenrij,11-25 cm,Heesters,Rustenburg,305,gewone es cv.,Fraxinus excelsior Westhofs Glorie,POINT (52.168374445093605 5.422287130133382),1994,5.42228687764684,52.168371044336,0

