gemcode;gm_naam;jaar;lbrmtr;lbm9802;lbm9806;lbm9808;lbm9810;lbm9812;lbm0206;lbm0208;lbm0210;lbm0212;lbm0608;lbm0610;lbm0612;lbm0810;lbm0812;lbm1012;bev;lftsam;publ;veilig;vrz;won
3;Appingedam;1998;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-17,93448;-16,28495;-3,13558;24,11665;-7,38276;-19,27487
3;Appingedam;2002;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-2,79019;12,56515;-4,54342;25,22609;-15,16642;-13,80181
3;Appingedam;2006;5; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;-12,22859;8,21511;-1,13928;18,53365;-16,85898;-12,42442
3;Appingedam;2008;5; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;-2,08669;7,49747;-4,58953;19,73083;-16,96039;-5,52776
3;Appingedam;2010;5; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;-,89468;9,25193;2,70782;20,1381;-17,60475;-3,67657
3;Appingedam;2012;5; ; ; ; ;4; ; ; ;3; ; ;3; ;3;3;3,56807;3,32574;-2,73632;27,11578;-17,92008;-3,54121
5;Bedum;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8,60339;2,92754;,77556;37,70625;11,88547;26,48815
5;Bedum;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;18,47532;9,4594;-,71524;36,69145;-29,09816;30,77625
5;Bedum;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;15,17535;4,9084;,32213;35,11755;-29,87546;31,22235
5;Bedum;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;22,27486;6,29121;,90384;29,94699;-29,02989;30,88989
5;Bedum;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;22,5142;8,52395;10,00102;23,91212;-29,53661;30,98926
5;Bedum;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;25,11119;7,32887;-,95625;27,2272;-29,07959;29,40595
7;Bellingwedde;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-14,18141;19,65759;-14,7063;41,7914;-17,59361;36,73217
7;Bellingwedde;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4,35598;27,81246;-16,0102;39,86482;-22,7076;35,94363
7;Bellingwedde;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;-7,37613;25,00864;-16,14753;41,21344;-27,06116;35,20088
7;Bellingwedde;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;-,11865;23,30868;-26,23825;38,61241;-27,29394;36,08357
