;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
4Ustore;1;;;;;1
AAB Beveiligingen B.V.;2;;;;;2
About Flowers;1;;;;;1
ACT Financial Solutions B.V.;;;4;;;4
Active Health Center Ypenburg;;1;;;;1
AGVR B.V.;4;;;;;4
Albyco Nederland B.V.;1;;;;;1
All Golf;1;;;;;1
Amstel Graphics B.V.;1;;;;;1
anoniem_DEF_1003;1;;;;;1
anoniem_DEF_1059;1;;;;;1
anoniem_DEF_1069;1;;;;;1
anoniem_DEF_1162;1;;;;;1
anoniem_DEF_1172;1;;;;;1
anoniem_DEF_1184;;;4;;;4
anoniem_DEF_1210;1;;;;;1
anoniem_DEF_1228;1;;;;;1
anoniem_DEF_1257;;1;1;;;1
anoniem_DEF_1305;2;;;;;2
anoniem_DEF_149;1;;;;;1
anoniem_DEF_254;1;;;;;1
anoniem_DEF_273;1;;;;;1
anoniem_DEF_354;1;;;;;1
anoniem_DEF_403;1;;;;;1
anoniem_DEF_408;1;;;;;1
anoniem_DEF_410;1;;;;;1
anoniem_DEF_412;1;;;;;1
anoniem_DEF_419;1;;;;;1
anoniem_DEF_448;1;1;;;;1
anoniem_DEF_484;2;;;;;2
anoniem_DEF_488;1;;;;;1
anoniem_DEF_493;;1;;;;1
anoniem_DEF_498;;;;;;
anoniem_DEF_55;1;;;;;1
anoniem_DEF_584;1;;;;;1
anoniem_DEF_602;1;;;;;1
anoniem_DEF_664;1;;;;;1
anoniem_DEF_798;1;;;;;1
anoniem_DEF_802;1;;;;;1
anoniem_DEF_809;1;;;;;1
anoniem_DEF_818;1;;;;;1
anoniem_DEF_828;1;;;;;1
anoniem_DEF_83;1;;;;;1
anoniem_DEF_833;1;;;;;1
anoniem_DEF_898;3;;;;;3
anoniem_DEF_912;1;;;;;1
anoniem_DEF_949;3;;;;;3
ANWB-Rijopleiding;1;;;;;1
Appel B.V.;1;;;;;1
Aqua Experience Kymo;1;;;;;1
Arjo Nederland B.V.;1;;;;;1
Arma Verhuur Horeca B.V.;1;;;;;1
Armada Structures;;1;;;;1
ATS Systems B.V.;1;;;;;1
AXA;1;;;;;1
Bazelmans Audio Visual Rentals;1;;;;;1
Besselink Electro Import B.V.;1;;;;;1
Bever B.V.;1;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;1;;;;;1
Blommetje van Blom;1;;;;;1
Bob's Bloemen en Zo;1;;;;;1
Boels Verhuur;1;;;;;1
Boerhof Projectinrichters;1;;;;;1
Boon Schoen- en Sleutelservice Amersfoort;1;;;;;1
Bos Elektro B.V.;;;1;;;1
Bouwhekken Nederland B.V.;1;;;;;1
Bouwmaat Nederland B.V.;1;;;;;1
Brack Capital Germany (Netherlands) XXXI B.V.;;;;;2;2
Brasserie Westbeer;1;;;;;1
Brezan Automaterialen Goes;1;;;;;1
Bron Gascare B.V.;1;;;;;1
Buko Verhuur B.V.;;;;;5;5
BusinBedrijf B.V.;1;;;;;1
Business Fashion;1;;;;;1
Camping 'It Wiid' B.V.;;;;;2;2
Canon Nederland N.V.;1;;;;;1
CBOX Containers Netherlands B.V.;;;;;2;2
Center Parcs Netherlands N.V.;;2;;;;2
Centralpoint Nijmegen B.V.;1;;;;;1
Champion Biljarts B.V.;1;;;;;1
CIVON B.V.;1;;;;;1
Conrad Electronic Benelux B.V.;1;;;;;1
Coolblue B.V.;1;;;;;1
Croonwolter&dros B.V.;2;;;;;2
Culturele Vacatures B.V.;1;;;;;1
DDJ Media;1;;;;;1
De Algemene Boekhandel;1;;;;;1
De Impuls voor de Zorg;1;;;;;1
De Klomp Dierenartsen GD B.V.;1;;;;;1
De Laatste Eer Uitvaartverzorging B.V.;1;;;;;1
De Nationale Theaterkassa B.V.;1;;;;;1
De Schaar;1;;;;;1
De Vries Projekt Design B.V.;2;;;;;2
De Weerd Bouw&Installatieservice;;1;;;;1
Deba 2000 B.V.;2;;;;;2
Degens Natuursteen;1;;;;;1
Den Hartigh Adviesgroep B.V.;1;;;;;1
Destil B.V.;1;;;;;1
Devani Creative;1;;;;;1
Deventrade B.V.;2;;;;;2
Diaber Benelux B.V.;;;5;;;5
Dierenkliniek Velp-Veluwezoom;1;;;;;1
Digital Revolution B.V.;1;;;;;1
Discountoffice.nl B.V.;1;;;;;1
Dixi Sanitary Services B.V.;6;;;;;6
Dokkumer Vlaggen Centrale B.V.;1;;;;;1
Dörr Kampen B.V.;1;;;;;1
DPS Power B.V.;;;2;;;2
Drukwerkoffice B.V.;1;;;;;1
DSH Domburg Sportprijzen Holland/Promopin.nl;2;;;;;2
Dunea N.V.;;;4;;;4
Dutraco Gouda B.V.;;;1;;;1
Duursma Electro V.O.F.;1;;;;;1
E Z Up Europe B.V.;1;;;;;1
Eco Toilet B.V.;1;;;;;1
Emseq Audiovisuals;1;;;;;1
En Profiel;1;;;;;1
Enduris B.V.;;;2;;;2
Eneco B.V.;;;9;;;9
Eneco Services B.V.;;;3;;;3
Eneco Zakelijk;;;5;;;5
Enexis Netbeheer B.V.;;;7;;;7
Ennatuurlijk B.V.;;;4;;;4
Eriks B.V.;;;1;;;1
ESVSHOP B.V.;;1;;;;1
Euro Events B.V.;1;;;;;1
Eurofleur Leusden B.V.;1;;;;;1
Europresto B.V.;1;;;;;1
Evidensia Dierenklinieken B.V.;1;;;;;1
Expert Dieren B.V.;2;;;;;2
Exploitatie Maatschappij Komfort B.V.;1;1;;;1;2
FietsNED B.V.;1;;;;;1
Flevonice B.V.;2;;;;;2
Friand Elektrotechniek B.V.;;;2;;;2
Fudura B.V.;;;3;;;3
Global Connection Expat Partner Support B.V.;;2;;;;2
Golfbaan Het Rijk van Nijmegen B.V.;2;;;;;2
Good Life International B.V.;2;;;;;2
Groenendijk Bedrijfskleding B.V.;1;;;;;1
Häfele Nederland B.V.;1;;;;;1
Hagatex B.V.;1;;;;;1
Handelsonderneming Erpe-Soesterberg V.O.F.;1;;;;;1
Hatz-Nederland B.V.;;;2;;;2
Health2Work B.V.;1;;;;;1
Hobrand B.V.;;;2;;;2
Hoekstra Management Consulting;;;1;;;1
Hogenboom Vakantieparken B.V.;;1;;;;1
Holding Veterinair Paardencentrum B.V.;1;;;;;1
Hollandse Telecommunicatie Maatschappij;1;;;;;1
Horticoop B.V.;1;;;;;1
Hotel Supply International B.V.;1;;;;;1
Hotel Triniteit;1;;;;;1
Hotel-Restaurant 'Oud London';1;;;;;1
House of Sports;1;;;;;1
Idem Dito Reclame;2;;;;;2
Igorowitz International;1;;;;;1
Inbraakpreventie 'M.I.B.' B.V.;1;;;;;1
Industrial Solutions Zuid-Oost B.V.;;;3;;;3
Informatique Computers & Componenten;1;;;;;1
Ing.bur. en Techn. Hand.ondernem. Autron B.V.;1;;;;;1
Ingenieursbureau Ebatech B.V.;;;4;;;4
Intratuin Duiven;1;;;;;1
Jalema B.V.;1;;;;;1
Joulz Infradiensten B.V.;;;1;;;1
Juma International B.V.;1;;;;;1
Jungheinrich Nederland B.V.;1;;;;;1
Keizer Kijk op Kleur;1;;;;;1
Kenter;;;2;;;2
Kentie Nederland B.V.;1;;;;;1
King Nederland B.V.;1;;;;;1
Koninklijke Gazelle N.V.;6;;;;;6
Koninklijke Van Twist B.V.;;;1;;;1
Kop Beveiliging B.V.;1;;;;;1
Kringapotheek Velperweg;1;;;;;1
Kruitbosch en De Weerd Deventer B.V.;;;1;;;1
KVT Gas B.V.;;;1;;;1
Kwint B.V.;4;;;;;4
Landal GreenParks Beheer en Projecten B.V.;;2;;;;2
Lasaulec B.V.;1;;;;;1
Liander N.V.;;;7;;;7
Linden Bedrijfskleding B.V.;1;;;;;1
Lopital Nederland B.V.;1;;;;;1
M&T Projectmanagement;;;2;;;2
Machine- en Apparatenfabriek Combimac B.V.;;;1;;;1
Manutan B.V.;1;;;;;1
Mastermate Brinkman B.V.;1;;;;;1
Maxifleur B.V.;1;;;;;1
Medipoint;1;;;;;1
MediReva B.V.;1;;;;;1
Moesson Tjalie Robinson;1;;;;;1
Mo-Tech Industries;4;;;;;4
Mulder Motoren B.V.;;;1;;;1
N.V. Rendo;;;2;;;2
N.V. Waterbedrijf Groningen;;;2;;;2
NAMA;1;;;;;1
NBA Installatietechniek;1;;;;;1
Nilfisk B.V.;1;;;;;1
Novymed International B.V.;1;;;;;1
Nyink B.V.;1;;;;;1
O crew;1;;;;;1
Office Depot B.V.;1;;;;;1
Osma;1;;;;;1
Pacor-Pamero;1;;;;;1
Pactechno;1;;;;;1
Papyrus Groep Nederland B.V.;1;;;;;1
Parfumerie Douglas Nederland B.V.;1;;;;;1
Paul Company;1;;;;;1
Pictogrammenwinkel;1;;;;;1
Poelsma Best in Beeld;1;;;;;1
Powertec Diesel Services B.V.;1;;;;;1
Q-Mobility;1;;;;;1
R.T.H.-Relli Technology Holland B.V.;;;1;;;1
Ras Renes Aluminium- en Staalbouw B.V.;1;;;;;1
Redblok;1;;;;;1
Reflex Shooting B.V.;1;;;;;1
Resort Brunssummerheide B.V.;;1;;;4;4
Rijkaart;1;;;;;1
Rijnja Repro;1;;;;;1
Ritom Beveiligingstechniek B.V.;1;;;;;1
ROHDE & GRAHL B.V.;1;;;;;1
Roompot Service B.V.;;2;;;;2
Rotterdam Airport B.V.;;;1;;;1
Rotterdam Airport Vastgoed B.V.;;;4;;;4
Rubix-Group;1;;;;;1
Schiphol Nederland B.V.;;;1;;;1
Scratch no More B.V.;1;;;;;1
Servall B.V.;1;;;;;1
Sligro B.V.;1;;;;;1
Staples Nederland B.V.;1;;;;;1
Stedin;;;7;;;7
Stertil B.V.;;;;;2;2
Stok Didam;1;;;;;1
Storm Plastificeren;1;;;;;1
Strijbosch B.V.;4;;;;;4
techniekwebshop.nl;1;;;;;1
Technisch Bureau Magema B.V.;2;;;;;2
Technische Unie B.V.;1;;;;;1
Tempo-Team Professionals B.V.;1;;;;;1
Top Movers Nederland B.V.;1;;;7;;7
Totalezorgwinkel.nl;1;;;;;1
Transposafe Systems;1;;;;;1
Trenton B.V.;;;1;;;1
Troedoor B.V.;1;;;;;1
Tuin! Leeuwarden;1;;;;;1
Tweewielergroothandel Kik-Goes;1;;;;;1
V.V. IJsselmeervogels;2;;;;;2
Van Bodegraven Elektromotoren B.V.;;;1;;;1
Van Buuren Hollandse IJzerwarenhandel B.V.;1;;;;;1
Van der Bijl Diervoeders B.V.;1;;;;;1
Van Wiefferen B.V.;2;;;;;2
Vattenfall Energy Trading Netherlands N.V.;;;;;;
Vattenfall Sales Nederland N.V.;;;9;;;9
Verbeek Reclame B.V.;1;;;;;1
Vink Kunststoffen B.V.;1;;;;;1
Vink Lisse B.V.;1;;;;;1
Visual Workplace B.V.;1;;;;;1
Vivante Assen;1;;;;;1
VKRC;1;;;;;1
Wansink's Woninginrichting V.O.F.;1;;;;;1
Wax Art Studio;1;;;;;1
Wereldkeuken Roosendaal B.V.;1;;;;;1
