buurtnummer,buurtnaam,oppervlakte
1604,zeeheldenbuurt,203584
1701,kromhoutpark,103165
1702,westend,58321
1703,schildersbuurt noord,42329
1704,schildersbuurt zuid,72682
1705,schrijversbuurt,114521
1001,binnenstad west,247785
1002,binnenstad oost,283952
1003,koningsplein,83014
1004,oude dijk,180330
1101,veemarktkwartier,100711
1102,tivoli,314601
1103,hoogvenne oost,165447
1104,hoogvenne west,214218
1105,piushaven,96371
1201,armhoef noord-west,97655
1202,armhoef noord-oost,74348
1203,armhoef zuid,119810
1301,jeruzalem noord,98230
1302,jeruzalem zuid,102109
1401,fatima west,158298
1402,fatima oost,125316
1403,fatima noord,65713
1404,bedrijventerrein aabe,114388
1405,hoevenseweg,62859
1501,broekhoven i west,20471
1502,broekhoven i,181044
1503,voltterrein,90583
1504,broekhoven ii west,209225
1505,broekhoven ii oost,91093
1601,afrikaanderbuurt west,119802
1602,afrikaanderbuurt midden,229280
1603,afrikaanderbuurt oost,149663
2702,theresia midden,260029
2703,theresia oost,149317
2801,spoorzone noord-west,17274
2802,spoorzone noord-oost,142796
2901,smariusterrein,119703
2902,ind.terrein kanaalzone noord,267713
2903,ind.terrein kanaalzone noord-oost,142151
2904,melis stokestraat,105862
2905,ind.terrein kanaalzone oost,233465
2906,ind.terrein kanaalzone zuid,119845
2907,kanaalzone bosscheweg,37647
3001,moerenburg,1537937
3101,leijpark,402267
3102,koningshoeven,403159
1706,staatsliedenbuurt oost,275625
1707,het laar,128522
1801,trouwlaan,185026
1802,uitvindersbuurt,177516
1901,sint anna noord,190529
1902,sint anna zuid,150499
2001,bomenbuurt west,134797
2002,bomenbuurt midden,231059
2003,bomenbuurt oost,126908
2101,vgl-terrein,135723
2102,talentsquare,21325
2103,spoorlaan,60418
2201,bouwmeestersbuurt noord,268659
2202,bouwmeestersbuurt zuid,212209
2301,textielbuurt west,133212
2302,textielbuurt oost,128253
2303,nassaubuurt,170522
2304,kasteel west,214748
2305,kasteel oost,177400
2401,goirke noord,119215
2402,pastorieklamp west,261711
2403,pastorieklamp oost ,98005
2501,sint pieterspark,208758
2502,hoefstraat noord,125875
2503,padua,129636
2504,hoefstraat zuid,173764
2601,besterd,175001
2602,rosmolen,78250
2603,loven noord,122240
2604,loven zuid,144329
2605,loven oost,117847
2701,theresia west,134521
3203,vogeltjesbuurt west,135064
3204,vogeltjesbuurt oost,101286
3205,visserijbuurt,145591
3206,groenewoud oost,61810
3601,friezenlaan,295867
3602,burgemeestersbuurt,377031
3603,staatsliedenbuurt west,189958
3701,universiteit,205438
3702,abdij- en torenbuurt,183761
3703,universiteit campus,113000
3704,kastelenbuurt noord,239245
3705,kastelenbuurt zuid,254089
3706,sportweg,164496
3707,notre dame,266019
