RIJKSMONNR;NAAM;TYPEMONUM;CBSCATEGOR;CBSCODE;OORSPRFUNC;SUBCATNR;SUBCATOMS;HFDCATCODE;HFDCATOMS;TYPECHOBJ;BEGBOUWJR;EINDBOUWJR;GRS_DATUM;INSCHRDAT;GEMEENTE;GEMEENTENR;PROVINCIE;PROVCODE;PLAATS;SITUERING;STRAAT;HUISNUMMER;TOEVOEGING;POSTCODE;BAG_PLAATS;X_COORD;Y_COORD;LONG;LAT;COORDHERK;KICH_URL;STATUS;EXTRACTDAT;COUNTER
17439;;onroerend gebouwd;Gebouwen, woonhuizen;5;;0;Woonhuis(K);;Woningen en woningbouwcomplexen;"Bouwkunst; woonhuis";0;0;;19670111;'s-Gravenhage;0;Zuid-Holland;ZH;'s-Gravenhage;;Amaliastraat;7;;2514 JC;'s-Gravenhage;80916;455569;4.306354200463389;52.083426722598425;BAG;https://monumentenregister.cultureelerfgoed.nl/Pdf/Monument/17439;rijksmonument;20190626;41
17440;;onroerend gebouwd;Gebouwen, woonhuizen;5;;0;Woonhuis(K);;Woningen en woningbouwcomplexen;"Bouwkunst; woonhuis";0;0;;19670111;'s-Gravenhage;0;Zuid-Holland;ZH;'s-Gravenhage;;Amaliastraat;9;;2514 JC;'s-Gravenhage;80911;455577;4.306279527771905;52.08349794745585;BAG;https://monumentenregister.cultureelerfgoed.nl/Pdf/Monument/17440;rijksmonument;20190626;42
17441;;onroerend gebouwd;Gebouwen, woonhuizen;5;;0;Woonhuis(K);;Woningen en woningbouwcomplexen;"Bouwkunst; woonhuis";0;0;;19670111;'s-Gravenhage;0;Zuid-Holland;ZH;'s-Gravenhage;;Amaliastraat;11;;2514 JC;'s-Gravenhage;80906;455585;4.306204854842077;52.08356917226447;BAG;https://monumentenregister.cultureelerfgoed.nl/Pdf/Monument/17441;rijksmonument;20190626;43
17442;;onroerend gebouwd;Gebouwen, woonhuizen;5;;0;Woonhuis(K);;Woningen en woningbouwcomplexen;"Bouwkunst; woonhuis";0;0;;19670111;'s-Gravenhage;0;Zuid-Holland;ZH;'s-Gravenhage;;Amaliastraat;13;;2514 JC;'s-Gravenhage;80900;455595;4.3061151601193774;52.08365823666424;BAG;https://monumentenregister.cultureelerfgoed.nl/Pdf/Monument/17442;rijksmonument;20190626;44
17443;;onroerend gebouwd;Gebouwen, woonhuizen;5;;0;Woonhuis(K);;Woningen en woningbouwcomplexen;"Bouwkunst; woonhuis";0;0;;19670111;'s-Gravenhage;0;Zuid-Holland;ZH;'s-Gravenhage;;Amaliastraat;15;;2514 JC;'s-Gravenhage;80906;455585;4.306204854842077;52.08356917226447;BAG;https://monumentenregister.cultureelerfgoed.nl/Pdf/Monument/17443;rijksmonument;20190626;45
17444;;onroerend gebouwd;Gebouwen, woonhuizen;5;;0;Woonhuis(K);;Woningen en woningbouwcomplexen;"Bouwkunst; woonhuis";0;0;;19670111;'s-Gravenhage;0;Zuid-Holland;ZH;'s-Gravenhage;;Amaliastraat;2;;2514 JC;'s-Gravenhage;80916;455532;4.30636223610047;52.08309421337561;BAG;https://monumentenregister.cultureelerfgoed.nl/Pdf/Monument/17444;rijksmonument;20190626;46
17445;;onroerend gebouwd;Gebouwen, woonhuizen;5;;0;Woonhuis(K);;Woningen en woningbouwcomplexen;"Bouwkunst; woonhuis";0;0;;19670111;'s-Gravenhage;0;Zuid-Holland;ZH;'s-Gravenhage;;Amaliastraat;4;;2514 JC;'s-Gravenhage;80911;455542;4.306287129594695;52.08318341171484;BAG;https://monumentenregister.cultureelerfgoed.nl/Pdf/Monument/17445;rijksmonument;20190626;47
17446;;onroerend gebouwd;Gebouwen, woonhuizen;5;;0;Woonhuis(K);;Woningen en woningbouwcomplexen;"Bouwkunst; woonhuis";0;0;;19670111;'s-Gravenhage;0;Zuid-Holland;ZH;'s-Gravenhage;;Amaliastraat;6;;2514 JC;'s-Gravenhage;80905;455550;4.306197870238071;52.08325450271459;BAG;https://monumentenregister.cultureelerfgoed.nl/Pdf/Monument/17446;rijksmonument;20190626;48
17447;;onroerend gebouwd;Gebouwen, woonhuizen;5;;0;Woonhuis(K);;Woningen en woningbouwcomplexen;"Bouwkunst; woonhuis";0;0;;19711006;'s-Gravenhage;0;Zuid-Holland;ZH;'s-Gravenhage;;Amaliastraat;8;;2514 JC;'s-Gravenhage;80900;455559;4.30612298036084;52.08333471421006;BAG;https://monumentenregister.cultureelerfgoed.nl/Pdf/Monument/17447;rijksmonument;20190626;49
17448;;onroerend gebouwd;Gebouwen, woonhuizen;5;;0;Woonhuis(K);;Woningen en woningbouwcomplexen;"Bouwkunst; woonhuis";0;0;;19670111;'s-Gravenhage;0;Zuid-Holland;ZH;'s-Gravenhage;;Amaliastraat;10;;2514 JC;'s-Gravenhage;80895;455568;4.306048090214255;52.08341492565616;BAG;https://monumentenregister.cultureelerfgoed.nl/Pdf/Monument/17448;rijksmonument;20190626;50
17449;;onroerend gebouwd;Gebouwen, woonhuizen;5;;0;Woonhuis(K);;Woningen en woningbouwcomplexen;"Bouwkunst; woonhuis";0;0;;19670111;'s-Gravenhage;0;Zuid-Holland;ZH;'s-Gravenhage;;Amaliastraat;12;;2514 JC;'s-Gravenhage;80890;455576;4.305973417056495;52.08348615031838;BAG;https://monumentenregister.cultureelerfgoed.nl/Pdf/Monument/17449;rijksmonument;20190626;51
17450;;onroerend gebouwd;Gebouwen, woonhuizen;5;;0;Woonhuis(K);;Woningen en woningbouwcomplexen;"Bouwkunst; woonhuis";0;0;;19670111;'s-Gravenhage;0;Zuid-Holland;ZH;'s-Gravenhage;;Amaliastraat;14;;2514 JC;'s-Gravenhage;80884;455585;4.305883939318552;52.08356622780817;BAG;https://monumentenregister.cultureelerfgoed.nl/Pdf/Monument/17450;rijksmonument;20190626;52
