Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6-ICT
Ando Algemene Nederlandse Drukkerij Onderneming;;;;1;;;1
Axway;;;;1;;;1
B2B Productions;;;;1;;;1
BCT Automatisering;;;;1;;;1
BMS Assurance;;;;;1;;1
BPI Services;;1;;;;;1
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;;;;;1;1
Bumicom Telecom;2;1;;;;;2
CM Club Message Benelux (incl. Callfactory);;;;;;1;1
Comparex (incl. PC-Ware);;;;;1;;1
Coosto;;;;2;;;2
Dataplus Netherlands;;;1;;;;1
DBA.nl;;;;2;;;2
De Algemene Beglazing;;;;1;;;1
De Telefoongids (KPN);;;;;;1;1
Entopic;;;;1;1;;1
Fujitsu Technology Solutions (vh Fujitsu Siemens);3;;;;;;3
GFK Group (incl. Panel Services, Intomart);;;2;;;;2
HP Hewlett Packard (incl. Autonomy, Verity);;3;;;;;3
IBM (incl. Cognos);;;;1;;;1
Icorp;;;;2;;;2
I-Creative;;;;1;;;1
Infostrada (vh Parkpost);;;;3;;;3
Infravision;;;;1;;;1
ING Bank;;;;1;1;;1
Internet Unie;;;;1;;;1
Isource;;;;1;;;1
Jacot (incl. Jacot Audiovisueel, en Technisch Bureau Jacot);1;;;;;;1
KPN (incl. Getronics, PTT Telecom);;;3;;2;4;4
Mavim Holding;;;;4;;;4
Misco Solutions (vh SCC Services);4;;;;;;4
Multi Post Nederland;2;;;;;;2
Multicopy (incl. Andre Cossee);;;;1;;;1
NMS National Multiple Services;;;;1;;;1
Nordined-Prequest;;;;1;;;1
Novagraaf Nederland;;;;1;;;1
Oracle;;;;3;;;3
Pardon Consult (vh Wassenaar Consult);;;;1;;;1
Pointlogic;;;2;2;;;2
PQR;2;;;;;;2
Preware IT;;;;1;;;1
Prisma;;;;2;;;2
Protinus It;3;4;1;1;2;;5
Quovadis Trustlink;;;1;;;;1
SAP Nederland;;;;2;;;2
Scholten Awater & Partners;2;;;1;;;2
Softcrow;;;;1;;;1
Software Connection;;;;2;;;2
Tele2 (incl. Versatel, BBeyond);;;;;;3;3
Telindus (incl. ISIT, 2-Store);6;;;;3;;6
Trusted-ID;;;;3;;;3
Viadesk;;;;2;;;2
Viadomus;;;;1;;;1
Vodafone (incl. Libertel);;;;;;3;3
Winkwaves;;;2;;;;2
Worksphere - Stork en Strukton;;;;;1;;1
XS4ALL Internet;;;;;1;;1
Eindtotaal;6;5;4;6;4;5;7
