FID,id,naamgebied,hoekpunt,easting_etrs89,northing_etrs89,nb_dgrad_etrs89,ol_dgrad_etrs89,nb_grad_dmin_etrs89,ol_grad_dmin_etrs89,gdb_geomattr_data,shape
wingebieden_hoekpunten.1,81,L12H,5,625271.6803,5913043.4919,53.35167365,4.88207614,53° 21.100',4° 52.925',,POINT (625271.6803000001 5913043.491900001)
wingebieden_hoekpunten.2,82,L12H,6,625651.677,5912518.4955,53.34686693,4.88757338,53° 20.812',4° 53.254',,POINT (625651.6770000001 5912518.4955)
wingebieden_hoekpunten.3,83,L12K,1,628774.8299,5916492.0001,53.38181282,4.93607939,53° 22.909',4° 56.165',,POINT (628774.8299000002 5916492.0001)
wingebieden_hoekpunten.4,84,L12K,2,630466.3999,5917887.18,53.3939315,4.96207168,53° 23.636',4° 57.724',,POINT (630466.3998999996 5917887.18)
wingebieden_hoekpunten.5,85,L12K,3,630849.5495,5917364.4799,53.38914101,4.96761346,53° 23.348',4° 58.057',,POINT (630849.5494999997 5917364.479900001)
wingebieden_hoekpunten.6,86,L12K,4,629261.3096,5915939.66,53.37673198,4.94316283,53° 22.604',4° 56.590',,POINT (629261.3096000003 5915939.66)
wingebieden_hoekpunten.7,87,L12L,1,636400.3688,5918562.9472,53.39850266,5.05154274,53° 23.910',5° 03.093',,POINT (636400.3688000003 5918562.9472)
wingebieden_hoekpunten.8,88,L12L,2,633895.2371,5916962.4472,53.38476614,5.01321102,53° 23.086',5° 00.793',,POINT (633895.2370999996 5916962.4472)
wingebieden_hoekpunten.9,89,L12L,3,632845.4343,5916250.4925,53.37863542,4.99713764,53° 22.718',4° 59.828',,POINT (632845.4342999998 5916250.4925)
wingebieden_hoekpunten.10,90,L12L,4,631577.4107,5915251.9531,53.36998232,4.97767152,53° 22.199',4° 58.660',,POINT (631577.4106999999 5915251.9531)
wingebieden_hoekpunten.11,91,L12L,5,631073.3584,5916008.0316,53.37689983,4.97041387,53° 22.614',4° 58.225',,POINT (631073.3584000003 5916008.0316)
wingebieden_hoekpunten.12,92,L12L,6,633210.891,5917606.5559,53.3907254,5.00320002,53° 23.444',5° 00.192',,POINT (633210.8909999998 5917606.5559)
wingebieden_hoekpunten.13,93,L12L,7,635989.9142,5919390.4916,53.40604243,5.04573027,53° 24.363',5° 02.744',,POINT (635989.9142000005 5919390.491599999)
wingebieden_hoekpunten.14,94,L12M,1,620397.9648,5913189.4188,53.35411667,4.80895,53° 21.247',4° 48.537',,POINT (620397.9648000002 5913189.4188)
wingebieden_hoekpunten.15,95,L12M,2,620795.4965,5912090.1772,53.34415,4.8145,53° 20.649',4° 48.870',,POINT (620795.4965000004 5912090.177200001)
wingebieden_hoekpunten.16,96,L12M,3,619383.576,5911154.807,53.33606667,4.79295,53° 20.164',4° 47.577',,POINT (619383.5760000004 5911154.807)
wingebieden_hoekpunten.17,97,L12M,4,619057.8586,5912322.735,53.34663333,4.7885,53° 20.798',4° 47.310',,POINT (619057.8585999999 5912322.734999999)
wingebieden_hoekpunten.18,98,L12M,5,617875.7662,5911556.8254,53.34001667,4.77046667,53° 20.401',4° 46.228',,POINT (617875.7662000004 5911556.8254)
wingebieden_hoekpunten.19,99,L12M,6,617540.5521,5912720.8972,53.35055,4.76586667,53° 21.033',4° 45.952',,POINT (617540.5521 5912720.8972)
wingebieden_hoekpunten.20,100,L12M,7,617206.5481,5913886.8735,53.3611,4.76128333,53° 21.666',4° 45.677',,POINT (617206.5481000002 5913886.873500001)
wingebieden_hoekpunten.21,101,L12M,8,618404.5404,5914662.3096,53.3678,4.77956667,53° 22.068',4° 46.774',,POINT (618404.5404000003 5914662.309599999)
wingebieden_hoekpunten.22,102,L12M,9,619584.7342,5915424.63,53.37438333,4.79758333,53° 22.463',4° 47.855',,POINT (619584.7341999998 5915424.630000001)
wingebieden_hoekpunten.23,103,L12M,10,619988.9035,5914312.5131,53.3643,4.80323333,53° 21.858',4° 48.194',,POINT (619988.9035 5914312.5131)
wingebieden_hoekpunten.24,104,L12N,1,622001.019,5913261.8474,53.3544,4.83305,53° 21.264',4° 49.983',,POINT (622001.0190000003 5913261.8474)
wingebieden_hoekpunten.25,105,L12N,2,621625.7246,5912877.4985,53.35103333,4.82726667,53° 21.062',4° 49.636',,POINT (621625.7246000003 5912877.498500001)
wingebieden_hoekpunten.26,106,L12N,3,621172.4134,5913982.6743,53.36106667,4.82088333,53° 21.664',4° 49.253',,POINT (621172.4134 5913982.6743)
wingebieden_hoekpunten.27,107,L12N,4,620867.0431,5914818.954,53.36865,4.81661667,53° 22.119',4° 48.997',,POINT (620867.0431000004 5914818.954)
wingebieden_hoekpunten.28,108,L12N,5,622572.8996,5915916.3789,53.37811667,4.84266667,53° 22.687',4° 50.560',,POINT (622572.8996000001 5915916.378900001)
wingebieden_hoekpunten.29,109,L12N,6,622985.4093,5915279.6136,53.3723,4.84861667,53° 22.338',4° 50.917',,POINT (622985.4093000004 5915279.613600001)
wingebieden_hoekpunten.30,110,L12N,7,621635.7586,5914306.1714,53.36386667,4.82796667,53° 21.832',4° 49.678',,POINT (621635.7586000003 5914306.171399999)
wingebieden_hoekpunten.31,111,L12O,1,629312.9976,5915880.9734,53.37619211,4.94391534,53° 22.572',4° 56.635',,POINT (629312.9976000004 5915880.9734000005)
wingebieden_hoekpunten.32,112,L12O,2,628337.6589,5915136.4774,53.36974151,4.92896026,53° 22.184',4° 55.738',,POINT (628337.6589000002 5915136.477399999)
wingebieden_hoekpunten.33,113,L12O,3,627271.5541,5914336.0247,53.36280814,4.91262396,53° 21.768',4° 54.757',,POINT (627271.5541000003 5914336.024700001)
