FID,naam,se_anno_cad_data,gdb_geomattr_data,shape
1e_herziening_serie8_index.1,02a beijersche veer_1902,,,"POLYGON ((106749.46400000155 445061.26000000164, 106749.46400000155 446317.3900000006, 108765.51900000125 446317.3900000006, 108765.51900000125 445061.26000000164, 106749.46400000155 445061.26000000164))"
1e_herziening_serie8_index.2,03 moordrecht_1904,,,"POLYGON ((105494.26900000125 443867.6400000006, 105494.26900000125 445881.9849999994, 106763.17300000042 445881.9849999994, 106763.17300000042 443867.6400000006, 105494.26900000125 443867.6400000006))"
1e_herziening_serie8_index.3,04a de snelle_1905,,,"POLYGON ((103988.92399999872 442616.8539999984, 103988.92399999872 443885.5329999998, 105989.10200000182 443885.5329999998, 105989.10200000182 442616.8539999984, 103988.92399999872 442616.8539999984))"
1e_herziening_serie8_index.4,05  kortenoord_1904,,,"POLYGON ((102730.06399999931 441599.0560000017, 102730.06399999931 443311.4470000006, 103987.96400000155 443311.4470000006, 103987.96400000155 441599.0560000017, 102730.06399999931 441599.0560000017))"
1e_herziening_serie8_index.5,06 groot hitland_1905,,,"POLYGON ((103116.91699999943 439591.48600000143, 103116.91699999943 441598.5069999993, 104381.85500000045 441598.5069999993, 104381.85500000045 439591.48600000143, 103116.91699999943 439591.48600000143))"
1e_herziening_serie8_index.6,07 ouderkerk_1906,,,"POLYGON ((101659.08799999952 438342.25, 101659.08799999952 439620.5170000009, 103669.92199999839 439620.5170000009, 103669.92199999839 438342.25, 101659.08799999952 438342.25))"
1e_herziening_serie8_index.7,08 capelle_1906,,,"POLYGON ((100400.29500000179 437110.19999999925, 100400.29500000179 438357.2129999995, 102403.78799999878 438357.2129999995, 102403.78799999878 437110.19999999925, 100400.29500000179 437110.19999999925))"
1e_herziening_serie8_index.8,09 krimpen_1907,,,"POLYGON ((99130.86499999836 435910.76000000164, 99130.86499999836 437931.6070000008, 100406.50800000131 437931.6070000008, 100406.50800000131 435910.76000000164, 99130.86499999836 435910.76000000164))"
1e_herziening_serie8_index.9,10 stormpolder_1907,,,"POLYGON ((97136.19900000095 435333.1649999991, 97136.19900000095 436662.6730000004, 99116.56399999931 436662.6730000004, 99116.56399999931 435333.1649999991, 97136.19900000095 435333.1649999991))"
1e_herziening_serie8_index.10,01a gouda_1902,,,"POLYGON ((108115.63899999857 446301.1409999989, 108115.63899999857 447565.21400000155, 110122.51799999923 447565.21400000155, 110122.51799999923 446301.1409999989, 108115.63899999857 446301.1409999989))"
1e_herziening_serie8_index.11,02a beijersche veer_1902,,,"POLYGON ((106749.46400000155 445061.26000000164, 106749.46400000155 446317.3900000006, 108765.51900000125 446317.3900000006, 108765.51900000125 445061.26000000164, 106749.46400000155 445061.26000000164))"
1e_herziening_serie8_index.12,03 moordrecht_1904,,,"POLYGON ((105494.26900000125 443867.6400000006, 105494.26900000125 445881.9849999994, 106763.17300000042 445881.9849999994, 106763.17300000042 443867.6400000006, 105494.26900000125 443867.6400000006))"
1e_herziening_serie8_index.13,04a de snelle_1905,,,"POLYGON ((103988.92399999872 442616.8539999984, 103988.92399999872 443885.5329999998, 105989.10200000182 443885.5329999998, 105989.10200000182 442616.8539999984, 103988.92399999872 442616.8539999984))"
1e_herziening_serie8_index.14,05  kortenoord_1904,,,"POLYGON ((102730.06399999931 441599.0560000017, 102730.06399999931 443311.4470000006, 103987.96400000155 443311.4470000006, 103987.96400000155 441599.0560000017, 102730.06399999931 441599.0560000017))"
1e_herziening_serie8_index.15,06 groot hitland_1905,,,"POLYGON ((103116.91699999943 439591.48600000143, 103116.91699999943 441598.5069999993, 104381.85500000045 441598.5069999993, 104381.85500000045 439591.48600000143, 103116.91699999943 439591.48600000143))"
1e_herziening_serie8_index.16,07 ouderkerk_1906,,,"POLYGON ((101659.08799999952 438342.25, 101659.08799999952 439620.5170000009, 103669.92199999839 439620.5170000009, 103669.92199999839 438342.25, 101659.08799999952 438342.25))"
1e_herziening_serie8_index.17,08 capelle_1906,,,"POLYGON ((100400.29500000179 437110.19999999925, 100400.29500000179 438357.2129999995, 102403.78799999878 438357.2129999995, 102403.78799999878 437110.19999999925, 100400.29500000179 437110.19999999925))"
1e_herziening_serie8_index.18,09 krimpen_1907,,,"POLYGON ((99130.86499999836 435910.76000000164, 99130.86499999836 437931.6070000008, 100406.50800000131 437931.6070000008, 100406.50800000131 435910.76000000164, 99130.86499999836 435910.76000000164))"
1e_herziening_serie8_index.19,10 stormpolder_1907,,,"POLYGON ((97136.19900000095 435333.1649999991, 97136.19900000095 436662.6730000004, 99116.56399999931 436662.6730000004, 99116.56399999931 435333.1649999991, 97136.19900000095 435333.1649999991))"
1e_herziening_serie8_index.20,01a gouda_1902,,,"POLYGON ((108115.63899999857 446301.1409999989, 108115.63899999857 447565.21400000155, 110122.51799999923 447565.21400000155, 110122.51799999923 446301.1409999989, 108115.63899999857 446301.1409999989))"
