FID,naam,se_anno_cad_data,gdb_geomattr_data,shape
2e_herziening_serie2_index.1,01 herwen_1917,,,"POLYGON ((201986.49399999902 429998.4849999994, 201986.49399999902 437982.3770000003, 207309.41699999943 437982.3770000003, 207309.41699999943 429998.4849999994, 201986.49399999902 429998.4849999994))"
2e_herziening_serie2_index.2,03 huussen_1915,,,"POLYGON ((191993.0460000001 434816.9459999986, 191993.0460000001 443282.4780000001, 196994.4299999997 443282.4780000001, 196994.4299999997 434816.9459999986, 191993.0460000001 434816.9459999986))"
2e_herziening_serie2_index.3,04 arnhem_1916,,,"POLYGON ((183990.30000000075 439402.618999999, 183990.30000000075 444402.6090000011, 191995.09800000116 444402.6090000011, 191995.09800000116 439402.618999999, 183990.30000000075 439402.618999999))"
2e_herziening_serie2_index.4,05 renkum_1917,,,"POLYGON ((176002.2109999992 439394.4620000012, 176002.2109999992 444395.86300000176, 183985.65199999884 444395.86300000176, 183985.65199999884 439394.4620000012, 176002.2109999992 439394.4620000012))"
2e_herziening_serie2_index.5,06 wageningen_4e uitg_1961,,,"POLYGON ((168593.375 437805.95699999854, 168593.375 442783.98699999973, 176601.65300000086 442783.98699999973, 176601.65300000086 437805.95699999854, 168593.375 437805.95699999854))"
2e_herziening_serie2_index.6,07 rhenen_1918,,,"POLYGON ((162972.06799999997 437096.5520000011, 162972.06799999997 445083.7199999988, 168518.76799999923 445083.7199999988, 168518.76799999923 437096.5520000011, 162972.06799999997 437096.5520000011))"
2e_herziening_serie2_index.7,08 amerongen_1920,,,"POLYGON ((154990.97800000012 441116.83300000057, 154990.97800000012 446085.13699999824, 163022.55700000003 446085.13699999824, 163022.55700000003 441116.83300000057, 154990.97800000012 441116.83300000057))"
2e_herziening_serie2_index.8,09 wijk bij duurstede_1919,,,"POLYGON ((146993.24700000137 439391.0229999982, 146993.24700000137 444393.25400000066, 155016.5859999992 444393.25400000066, 155016.5859999992 439391.0229999982, 146993.24700000137 439391.0229999982))"
2e_herziening_serie2_index.9,10 culenborg_1924,,,"POLYGON ((139178.11400000006 439602.6950000003, 139178.11400000006 444587.55999999866, 147029.6330000013 444587.55999999866, 147029.6330000013 439602.6950000003, 139178.11400000006 439602.6950000003))"
2e_herziening_serie2_index.10,11 vianen_4e uitg_1961,,,"POLYGON ((128582.30999999866 441603.56700000167, 128582.30999999866 447586.15100000054, 137611.20899999887 447586.15100000054, 137611.20899999887 441603.56700000167, 128582.30999999866 441603.56700000167))"
2e_herziening_serie2_index.11,12 ameide_4e uitg_1959,,,"POLYGON ((120595.125 438313.8110000007, 120595.125 444280.3979999982, 128602.62200000137 444280.3979999982, 128602.62200000137 438313.8110000007, 120595.125 438313.8110000007))"
2e_herziening_serie2_index.12,13 schoonhoven_4e uitg_1960,,,"POLYGON ((112590.16299999878 435612.9780000001, 112590.16299999878 440583.9690000005, 120612.25200000033 440583.9690000005, 120612.25200000033 435612.9780000001, 112590.16299999878 435612.9780000001))"
2e_herziening_serie2_index.13,14 lekkerkerk_4e uitg_1961,,,"POLYGON ((104589.23999999836 432769.1339999996, 104589.23999999836 437740.8669999987, 112621.05299999937 437740.8669999987, 112621.05299999937 432769.1339999996, 104589.23999999836 432769.1339999996))"
