Instelling; Verleend 
Accordeonvereniging Musetta; 500,00 
AOC Terra VMBO Groen Meppel; 4.218,24 
AOC Terra VMBO Groen Meppel; 1.534,52 
AOC Terra VMBO Groen Meppel; 1.541,28 
AV De Sprinter; 1.216,60 
AV De Sprinter; 1.900,00 
AV De Sprinter; 362,31 
AV De Sprinter; 2.415,38 
Badmintonclub Meppeler Meppers; 405,72 
Badmintonvereniging Nijeveen; 163,21 
Badmintonvereniging Nijeveen; 51,63 
Beeldenpark De Havixhorst; 3.000,00 
Belangenvereniging Onderling S; 990,30 
Bewust Meppel; 724,61 
Buurt-, Wijk- en Speeltuinvere; 1.400,93 
Buurtspeeltuinvereniging Ezing; 1.400,93 
Buurtvereniging 'De Hesselinge; 4.057,83 
Buurtvereniging Emmastraat e.o; 724,62 
Buurtvereniging Frans Halsstra; 241,54 
Buurtvereniging Het Rogat; 241,54 
Buurtvereniging Noordpoolster; 724,62 
Buurtvereniging Onze Jan Steen; 724,62 
CCM de Plataan; 225.596,03 
Christelijk Mannenkoor 'Meppel; 1.745,28 
Christelijke Gemengde Zangvere; 1.654,25 
Christelijke Muziekvereniging; 33.967,90 
Christelijke Voetbalvereniging; 4.337,34 
CKO Kleurrijk Meppel; 3.704,00 
DH Beheer bv; 10.000,00 
Doomijn Kinderopvang Noord; 9.630,00 
Dorpshuis De Schalle; 59.251,08 
Drukkerijmuseum  Meppel; 25.679,00 
Drukkerijmuseum  Meppel; 3.760,00 
FC MEO gehandicaptenvoetbal; 676,30 
FC Meppel Gymnastiek; 5.935,96 
FC Meppel Gymnastiek; 479,51 
Gemengde Zangvereniging Cresce; 905,80 
GGD Drenthe; 10.549,67 
Glorify; 561,57 
Historische Vereniging Nijevee; 2.498,19 
Historische Vereniging Nijevee; 10,68 
Humanitas Meppel e.o.; 3.719,68 
Huus van de Taol; 483,08 
Icare Jeugdgezondheidszorg; 467.768,00 
Icare Jeugdgezondheidszorg; 10.549,67 
IJs- en Skeelerclub Nijeveen; 1.255,81 
IJs- en Skeelerclub Nijeveen; 300,00 
Kinderopvangorganisatie Meppel; 7.500,00 
KMTP afdeling Meppel; 241,54 
Korfbalvereniging Dos'46; 1.748,48 
Korfbalvereniging Dos'46; 966,15 
Kunsthuis Secretarie; 26.550,77 
Lord Nelson b.v.; 966,15 
Melody Singers Meppel; 1.684,80 
Meppel Az Handbal; 318,80 
Meppeler Handelsvereniging; 15.000,00 
