Openbare ruimte;Straatcode        (BAG-id);Huisnr van;Huisnr t/m;Postcode;Wijk;Woonplaats;Type;
Albert Schweitzerlaan;0268300000000155;113;139;6525 JS;17 - Heijendaal;Nijmegen;Weg;
Albert Trouwborststraat;0268300000001788;3;29;6541 GS;20 - Biezen;Nijmegen;Weg;
Albert Trouwborststraat;0268300000001788;4;26;6541 GS;20 - Biezen;Nijmegen;Weg;
Albert van Hedelgaard;0268300000001904;3;35;6663 RV;70 - Lent;Lent;Weg;
Albert van Hedelgaard;0268300000001904;4;24;6663 RV;70 - Lent;Lent;Weg;
Albertus Magnusstraat;0268300000000842;1;19;6525 RA;18 - Brakkenstein;Nijmegen;Weg;
Albertus Magnusstraat;0268300000000842;2;20;6525 RB;18 - Brakkenstein;Nijmegen;Weg;
Aldenhaagstraat;0268300000000843;1;45;6535 MX;16 - Hatert;Nijmegen;Weg;
Aldenhaagstraat;0268300000000843;2;44;6535 MZ;16 - Hatert;Nijmegen;Weg;
Aldenhof;0268300000000269;1101;1101;6537 AC;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1102;1150;6537 AB;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1201;1219;6537 BE;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1202;1226;6537 BJ;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1221;1231;6537 BG;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1228;1238;6537 BK;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1233;1259;6537 BH;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1301;1341;6537 CB;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1302;1320;6537 CC;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1322;1390;6537 CD;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1401;1471;6537 CH;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2101;2145;6537 BL;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2102;2152;6537 BN;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2147;2187;6537 BM;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2154;2172;6537 BP;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2201;6521;;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2300;2318;6537 BX;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2301;2329;6537 BT;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2320;2368;6537 BZ;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2331;2357;6537 BV;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2359;2387;6537 BW;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2400;2412;6537 BS;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2401;2401;6537 BS;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3000;3046;6537 AD;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3001;3001;6537 AD;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3048;3094;6537 AE;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3100;3146;6537 AG;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3148;3194;6537 AH;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3196;3196;6537 AJ;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3200;3250;6537 AL;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3201;3219;6537 AK;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3300;3346;6537 AP;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3301;3331;6537 AM;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3333;3383;6537 AN;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3400;3448;6537 AT;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3401;3431;6537 AR;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3433;3495;6537 AS;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3501;3547;6537 AV;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3549;3595;6537 AW;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3600;3618;6537 AZ;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3601;3647;6537 AX;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3700;3722;6537 BB;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3701;3747;6537 BA;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3800;3882;6537 BD;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;3801;3827;6537 BC;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;4000;4030;6537 CE;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;4001;4029;6537 CE;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;4100;4114;6537 CG;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;5001;5015;6537 EA;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;5002;5012;6537 EC;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;5017;5049;6537 EB;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;5101;5127;6537 DS;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;5102;5118;6537 DX;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;5201;5229;6537 CT;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;5301;5331;6537 CJ;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;5302;5302;6537 CJ;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6001;6009;6537 DG;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6002;6032;6537 DH;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6100;6160;6537 DN;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6101;6159;6537 DL;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6161;6195;6537 DM;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6162;6180;6537 DP;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6201;6201;6537 DJ;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6202;6204;6537 DJ;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6302;6306;6537 DK;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6401;6445;6537 DD;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6402;6468;6537 DE;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6500;6518;;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6601;6627;6537 CV;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6602;6662;6537 CW;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6664;6674;6537 CX;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6700;6728;6537 DC;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;6701;6719;6537 DB;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;7000;7018;6537 DW;35 - Aldenhof;Nijmegen;Weg;
