IMGEO_KLASSE;IMGEO_TYPE_PLUS;IMGEO_OBJECTBEGIN;IMGEO_BRONHOUDER;ID;IMGEO_LOKAALID;X;Y;LONG;LAT
Straatmeubilair;abri;2019-10-24;'s-Gravenhage (G);66243141;G0518.88F10692-1119-41CB-B776-67291AD6CE18;75289.756;453741.943;4.224712362270463;52.06622659262582
Straatmeubilair;abri;2019-10-24;'s-Gravenhage (G);66243993;G0518.A11C3B99-027D-4605-A7F5-AF740706F5F8;77143.772;454867.142;4.251489468391796;52.07660210896059
Straatmeubilair;abri;2019-10-24;'s-Gravenhage (G);66243768;G0518.DE3BB1F4-A683-4940-BB6D-C961C4416A47;76807.197;454649.35;4.246630575171056;52.074597460975376
Straatmeubilair;abri;2017-08-16;'s-Gravenhage (G);64263903;G0518.DCA6BF49-A3E7-462F-9450-C1E17788E846;75415.721;453389.676;4.2266311894054684;52.063079031675514
Straatmeubilair;abri;2014-06-19;'s-Gravenhage (G);64264090;G0518.FCB8EA51-2AF2-B4FA-E040-2A0A313C2F1B;75242.825;453672.913;4.224044183395575;52.06559949207036
Straatmeubilair;abri;2014-06-19;'s-Gravenhage (G);64264116;G0518.FCB8EA51-5066-B4FA-E040-2A0A313C2F1B;75370.61;453403.226;4.225970306532753;52.06319431579712
Straatmeubilair;abri;2016-12-22;'s-Gravenhage (G);63749608;G0518.92C78181-AA4C-4F23-9E0E-E5999B811271;80603.402;457266.809;4.301423793222859;52.098642961791825
Straatmeubilair;abri;2017-02-20;'s-Gravenhage (G);64101158;G0518.CEDDC228-9160-4785-B0AD-B41A577CE89F;77904.931;456379.929;4.262248734609041;52.09030350341854
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);64268896;G0518.14280CB9-B7EC-0772-E053-530A0B0AF16A;80926.33;452462.951;4.30717890421946;52.05551514961434
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);64268913;G0518.14280CB9-AF16-0772-E053-530A0B0AF16A;80945.973;452367.674;4.3074859137250465;52.0546615395354
