beroepsopleiding_id;beroepsopleiding;SectorunitID;Sectorunit
bc036;Betonboren;1;Sectorunit techniek en gebouwde omgeving
bc037;Betonreparatie;1;Sectorunit techniek en gebouwde omgeving
bc115;Dekvloeren leggen;1;Sectorunit techniek en gebouwde omgeving
bc117;Glaszetten;1;Sectorunit techniek en gebouwde omgeving
bc124;Industrieel onderhoud;1;Sectorunit techniek en gebouwde omgeving
bc155;Operationele techniek;1;Sectorunit techniek en gebouwde omgeving
bc239;Slopen;1;Sectorunit techniek en gebouwde omgeving
bc280;Industriële processen;1;Sectorunit techniek en gebouwde omgeving
bc281;Analisten;1;Sectorunit techniek en gebouwde omgeving
bc288;Betonstaalverwerken;1;Sectorunit techniek en gebouwde omgeving
bc289;Betontimmeren;1;Sectorunit techniek en gebouwde omgeving
bc295;Dakdekken;1;Sectorunit techniek en gebouwde omgeving
bc298;Precisietechniek;1;Sectorunit techniek en gebouwde omgeving
bc302;Human technology;1;Sectorunit techniek en gebouwde omgeving
bc311;Machinaal houtbewerken;1;Sectorunit techniek en gebouwde omgeving
bc312;Machinisten;1;Sectorunit techniek en gebouwde omgeving
bc316;Industriële lakverwerking;1;Sectorunit techniek en gebouwde omgeving
bc320;Schilderen;1;Sectorunit techniek en gebouwde omgeving
bc321;Stukadoren;1;Sectorunit techniek en gebouwde omgeving
bc324;Metaalbewerken;1;Sectorunit techniek en gebouwde omgeving
bc325;Metselen;1;Sectorunit techniek en gebouwde omgeving
bc326;Meubels en (scheeps)interieurs maken;1;Sectorunit techniek en gebouwde omgeving
bc327;Meubels stofferen;1;Sectorunit techniek en gebouwde omgeving
bc328;Middenkader engineering;1;Sectorunit techniek en gebouwde omgeving
bc329;Kaderfunctie afbouw, onderhoud en interieur;1;Sectorunit techniek en gebouwde omgeving
bc331;Natuursteenbewerken;1;Sectorunit techniek en gebouwde omgeving
bc332;Onderhoud- en verbouwbedrijf;1;Sectorunit techniek en gebouwde omgeving
bc339;Plafond-/wandmontage;1;Sectorunit techniek en gebouwde omgeving
bc349;Specialist schilderen;1;Sectorunit techniek en gebouwde omgeving
bc351;Steigerbouw;1;Sectorunit techniek en gebouwde omgeving
bc353;Tegelzetten;1;Sectorunit techniek en gebouwde omgeving
bc355;Timmeren;1;Sectorunit techniek en gebouwde omgeving
bc370;Technisch tekenen;1;Sectorunit techniek en gebouwde omgeving
bc371;Elektrotechnische installaties;1;Sectorunit techniek en gebouwde omgeving
bc372;Werktuigkundige installaties (montage);1;Sectorunit techniek en gebouwde omgeving
bc376;Afval, milieu, beheer en onderhoud openbare ruimte;1;Sectorunit techniek en gebouwde omgeving
bc381;Industrieel produceren met hout;1;Sectorunit techniek en gebouwde omgeving
bc396;Isolatiewerken;1;Sectorunit techniek en gebouwde omgeving
bc397;Koude- en klimaatsystemen;1;Sectorunit techniek en gebouwde omgeving
bc398;Engineering koude- en klimaatsystemen;1;Sectorunit techniek en gebouwde omgeving
bc401;Procestechniek;1;Sectorunit techniek en gebouwde omgeving
bc402;Restauratievakmanschap in de bouw;1;Sectorunit techniek en gebouwde omgeving
bc405;Werkvoorbereiden/uitvoeren;1;Sectorunit techniek en gebouwde omgeving
bc406;Grond-, water- en wegenbouw;1;Sectorunit techniek en gebouwde omgeving
bc408;Voegen / gevelbehandelen;1;Sectorunit techniek en gebouwde omgeving
bc409;Middenkader bouw en infra;1;Sectorunit techniek en gebouwde omgeving
