registr.nr,NAAM VERZOEKER,ONDERWERP,DATUM BESLUIT
347,Telegraaf,Risico profielen,4-Jan
230,natuurlijke persoon,informatiebeveiliging binnen de gemeente Utrecht,5-Jan
334,HMB Juridisch Advies,verkeersovertreding ,6-Jan
331,HMB Juridisch Advies ,verkeersovertreding ,7-Jan
361,Volkskrant,tegenprestatie bijstandsgerechtigden,12-Jan
354,natuurlijke persoon,exploitatiesubsidie en afspraken met huurders over Castellum Hoge Woerd,14-Jan
363,Stichting Kringloop Centrum Utrecht,vaststellingsovereenkomst gemeente-Bergerac-Tomlow,18-Jan
320,natuurlijke persoon,vergunningaanvragen coffeeshops 2014 tot en met heden,18-Jan
339,natuurlijke persoon,evaluatie oplaadpunten elektrisch rijden,19-Jan
367,7x4 Legal Services ,personeelsdossiers boa's THOR,19-Jan
342,7 x 4 Legal Services ,logbestanden webserver,19-Jan
368,De Stad Utrecht,schikking parkmanagement Papendorp,21-Jan
328,Telegraaf,evaluatie Tour de France,27-Jan
345,RTV Utrecht ,demonstraties Pegida en Internationale Socialisten,27-Jan
241,La Cosa Mia,Prozee-terrein,2/11/2016
377,natuurlijke persoon,onderbouwing locatiekeuze vuilcontainers Rivierenwijk locatie 54,2/18/2016
378,natuurlijke persoon,taak risico-analyse hijsen ondergrondse vuilcontainers,2/18/2016
379,natuurlijke persoon,werkinstructie personeel vuilniswagen,2/18/2016
346,Gezelschap van Gildenhuizen,besluit geen Ajax supporters toe te laten bij wedstrijd,2/18/2016
16,natuurlijke persoon,procesdossier onjuist geplaatste fiets,2/3/2016
9,Salus Juridische Diensten BV,verkeersovertreding ,2/16/2016
39,natuurlijke persoon,persbericht demonstraties Pegida,2/17/2016
23,natuurlijke persoon,opdrachtverlening plaatsing camera's Pijlsweerd,2/18/2016
7,natuurlijke persoon,vooronderzoek webarchivering,2/23/2016
41,natuurlijke persoon,geluidsnormen ULU moskee,2/24/2016
4,SRK Rechtsbijstand,besluiten aankoop en herontwikkeling schoollocatie Van Lieflandln 115/117,2/25/2016
48,natuurlijke persoon,rapport check softdrugscriteria aanvraag exploitatievergunning 2013,2/26/2016
27,natuurlijke persoon,kosten publieksvoorlichting nieuwe stadskantoor,2/23/2016
30,natuurlijke persoon,ingebrekestellingen en klachten WWB,2/15/2016
32,Meerts Rechtspraktijk,verkeersovertreding ,2/26/2016
6,Meerts Rechtspraktijk,verkeersovertreding ,2/26/2016
34,natuurlijke persoon,klachten sneeuwbalfestival 2015,2/26/2016
38,natuurlijke persoon,klachten sneeuwbalfestival 2016,2/26/2016
