OBJECTID,BUURTCODE,BUURTNAAM,DATUMBEGINGELDIGHEID,DATUMEINDEGELDIGHEID,REL_LIGTIN_WYK,RELNUM_OMVAT_TGO,RELNUM_OMVAT_PND,SHAPE__Area,SHAPE__Length
1,3550405,Zeister bos,,,35504,0,0,23114336.4985352,31464.2604496957
2,3550309,Weidegebied,,,35503,0,0,10984863.3994141,19803.8429806989
3,3550205,Vollenhove,,,35502,0,0,2255249.43603516,7049.246344244
4,3550304,Vogelwijk,,,35503,0,0,1298070.27880859,6376.01736083221
5,3550407,Verspreide huizen Austerlitz,,,35504,0,0,9520563.60131836,22412.1713706269
6,3550206,Utrechtseweg,,,35502,0,0,2456394.57470703,14951.0876079505
7,3550404,Station NS,,,35504,0,0,521526.194335938,3448.64976717034
8,3550203,Staatsliedenkwartier,,,35502,0,0,687953.217041016,3586.26466348932
9,3550507,Soestdijkerweg e.o.,,,35505,0,0,6168483.51586914,11343.857975415
10,3550201,Patijnpark,,,35502,0,0,1675903.64770508,7548.52538606779
11,3550302,Nijenheim,,,35503,0,0,744031.119384766,4402.84650379229
12,3550204,Mooi zeist,,,35502,0,0,1868525.66918945,7713.23950092785
13,3550104,Lyceumkwartier,,,35501,0,0,5950773.76367188,13664.5481318177
14,3550402,Kerckebosch,,,35504,0,0,1670914.39282227,7072.71797747762
15,3550501,Huis ter Heide zuid,,,35505,0,0,2252091.61352539,6682.93627429643
16,3550502,Huis ter Heide noord,,,35505,0,0,2369031.56030273,7658.9494050326
17,3550401,Hoge Dennen,,,35504,0,0,3198892.23266602,10950.5988331551
18,3550105,Het Slot e.o.,,,35501,0,0,1224334.09936523,5021.44418044469
19,3550403,Driebergseweg,,,35504,0,0,3409742.68066406,11860.1883083789
20,3550202,Dijnselburg,,,35502,0,0,4126178.53100586,14003.7854170531
21,3550505,Den Dolder zuid,,,35505,0,0,3348350.40893555,11090.3326117178
22,3550506,Den Dolder noord,,,35505,0,0,7759134.32910156,11365.7620248194
23,3550306,De Clomp,,,35503,0,0,320827.278076172,2597.68426199349
24,3550303,Crosestein,,,35503,0,0,358680.311035156,2858.36280501213
25,3550307,Couwenhoven,,,35503,0,0,905023.114501953,5134.59740210104
26,3550102,Centrumschil zuid,,,35501,0,0,1600855.78857422,7693.02244755492
27,3550103,Centrumschil noord,,,35501,0,0,1796720.89379883,9787.74849563963
28,3550101,Carré,,,35501,0,0,936916.350830078,5266.80169547187
29,3550305,Brugakker,,,35503,0,0,783874.626708984,4148.28369187537
30,3550503,Bosch en Duin,,,35505,0,0,12110838.9250488,19418.0604285486
31,3550308,Blikkenburg e.o.,,,35503,0,0,2449272.97216797,7813.63119584642
32,3550504,Beukbergen,,,35505,0,0,5204686.39453125,11985.3780022866
33,3550406,Austerlitz,,,35504,0,0,1947497.66625977,7929.48573795866
34,3550301,Griffensteijn/Kersbergen,,,35503,0,0,1681724.88598633,8170.77549317604
35,3550508,Sterrenberg,,,35505,0,0,2049896.54711914,5838.90138506432
