OBJECTID,PUIC,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,Shape__Area,Shape__Length
1,f3462fecee2c44fbb9b204e659d9efae,2021/01/27 07:53:58+00,L0004,Prorail,bestaand,0,620,,620,620__,Alkmaar,Hdr-Zd,Den Helder - Zaandam ,,,111307.241306,516968.998,52.63846737,4.74173346,1069.039,283,gerealiseerd,1069.0388675,889.591541639116
2,7bb6fcdb7cbe4237bfbeab148a562441,2022/02/17 14:15:56+00,L0004,Prorail,bestaand,0,626,c,626,626_c,Hoorn,Zd-Ekz,Zaandam - Enkhuizen ,,,132373.564028,517601.566,52.64543419,5.052895,1034.33,283,gerealiseerd,1034.3302035,862.935939118727
3,b0e7ff3dc30c4333e0530b29a8c0f035,2020/10/09 17:39:05+00,L0004,Prorail,bestaand,0,620,,620,620__,Alkmaar,Hdr-Zd,Den Helder - Zaandam ,,,111430.655732,516983.2725,52.63860553,4.74355467,449.505,283,gerealiseerd,449.504939,374.19672938227
4,aa8fedb55e460c8fe05332a1e90a2c91,2020/10/02 13:41:38+00,L0004,Prorail,bestaand,0,508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,,,189257.327792,444376.387,51.98672464,5.88591228,1182.425,283,,1182.425094,938.767500952642
5,b0e7ff3dbf9a4333e0530b29a8c0f035,2020/10/09 17:39:17+00,L0004,Prorail,bestaand,0,620,,620,620__,Alkmaar,Hdr-Zd,Den Helder - Zaandam ,,,111469.935712,516979.8685,52.63857808,4.74413537,270.581,283,gerealiseerd,270.580745,230.132583907757
6,e78a7ad80ac5687de0530b29a8c0c22a,2022/09/05 10:48:45+00,L0004,Prorail,bestaand,0,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,,,162493.080747,506853.4045,52.5492572,5.4976751,1734.931,283,,1734.93078,886.157040573053
7,d8d58cb0c90910aae0530b29a8c01170,2022/03/07 11:00:13+00,L0004,Prorail,bestaand,0,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,,,201799.1075,501435.12423,52.49861004,6.07637775,1635.933,283,gerealiseerd,1635.9334425,971.001935210214
8,e78a7ad80b6c687de0530b29a8c0c22a,2022/09/05 10:48:50+00,L0004,Prorail,bestaand,0,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,,,162442.91567,506832.4445,52.54906952,5.49693505,1739.751,283,,1739.7506175,1123.16139990422
9,be12d2e71edf4b8abc2d229831d61d9d,2017/12/14 14:40:14+00,L0004,Prorail,bestaand,0,620,,620,620__,Alkmaar,Hdr-Zd,Den Helder - Zaandam ,,,110766.033,516694.498456,52.63595689,4.73377533,4.252,283,,4.251824,12.0619424606091
10,befceba259e34b1ce0531529a8c04556,2021/04/07 10:35:31+00,L0004,Prorail,bestaand,0,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,Hlg-Nscg,Harlingen - Nieuweschans Grens ,,,237109.057342,579117.5385,53.19241494,6.61573126,1622.748,283,gerealiseerd,1622.748364,1087.80322578693
11,f93fe9ab452a444cabce919b131069e6,2020/09/18 15:24:41+00,L0004,Prorail,bestaand,0,922,,922,922__,Leidschendam Lijnwerkplaats,Ldvn-Ldvwpl,Leidschenveen - Leidschendam werkplaats ,,,86505.419142,454246.6385,52.07226241,4.38815418,5.912,283,gerealiseerd,5.912264,13.9731916155991
12,c4a0ad2399dd48a88fd70715178d0e11,2021/02/01 15:52:27+00,L0004,Prorail,bestaand,0,927,,927,927__,Watergraafsmeer,Wgm-Dmn,Watergraafsmeer - Diemen ,,,124813.968805,485460.4795,52.35621286,4.94410905,395.892,283,gerealiseerd,395.8917885,522.134901271369
13,befceba257344b1ce0531529a8c04556,2021/04/07 10:35:24+00,L0004,Prorail,bestaand,0,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,Hlg-Nscg,Harlingen - Nieuweschans Grens ,,,237280.630467,579079.8545,53.19205007,6.61828814,1413.132,283,gerealiseerd,1413.132231,846.929940787002
14,dbe8bc0e6e1c0721e0530b29a8c0b194,2022/06/20 14:36:22+00,L0004,Prorail,bestaand,0,028,,28,028__,Hengelo - Enschede Grens,Zp-Esg,Zutphen - Enschede Grens ,,,257217.783906,471467.7075,52.22180082,6.88317733,1112.953,283,,1112.952797,637.171488370019
15,9964aafefed945f98d9e9b4a5be4f139,2021/12/22 13:31:09+00,L0004,Prorail,bestaand,0,805,a,805,805_a,Dordrecht Zeehaventerrein,Ddr-Ddrz,Dordrecht - Dordrecht Zeehaventerrein ,,,104503.182145,424758.0855,51.80916378,4.65497515,316.625,283,gerealiseerd,316.6249605,314.096562511154
16,5694fdfc02ad4a68b0670f3478c47db9,2020/09/11 15:24:16+00,L0004,Prorail,bestaand,1,105,,105,105__,Woerden - Gouda,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,,,111295.235799,447541.352,52.01450861,4.75056361,6.873,283,gerealiseerd,6.873072,15.9025208348394
17,befceba259144b1ce0531529a8c04556,2021/04/07 10:35:27+00,L0004,Prorail,bestaand,0,552,b,552,552_b,Groningen Losplaats,Hlg-Nscg,Harlingen - Nieuweschans Grens ,,,236488.200366,579502.0315,53.19596397,6.60654134,38.71,283,gerealiseerd,38.710275,35.9013418771461
18,befceba25b914b1ce0531529a8c04556,2021/04/07 10:34:53+00,L0004,Prorail,bestaand,0,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,Hlg-Nscg,Harlingen - Nieuweschans Grens ,,,237284.962687,579032.586,53.19162475,6.61834086,25.837,283,gerealiseerd,25.8366335,35.5717420640186
19,9f03d735d5d749d79e0d3ca444bcd1b0,2022/03/07 11:00:14+00,L0004,Prorail,bestaand,0,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,,,201810.0545,501432.296187,52.49858368,6.07653855,1601.832,283,gerealiseerd,1601.8316275,974.980493321962
20,c8f8da26b2db4820857e25a313c02d3e,2022/12/13 13:43:51+00,L0004,Prorail,bestaand,0,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,,,162845.780568,383956.4815,51.44464618,5.50005567,1396.542,283,gerealiseerd,1396.5421095,804.355338210508
21,ea07d3f1f8d343729e9cffb275f24100,2021/12/22 13:31:13+00,L0004,Prorail,bestaand,0,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,,,104634.419606,424685.204,51.80852059,4.65688861,300.544,283,gerealiseerd,300.544356,316.021950753905
22,e259eb2b88de46e7a53ceed8eae622e7,2021/01/08 17:09:57+00,L0004,Prorail,bestaand,0,514,a,514,514_a,Nijmegen,Ah-Vl,Arnhem - Venlo ,,,187326.953,427291.717238,51.83328317,5.85620574,3137.122,283,gerealiseerd,3137.1216675,1347.6233896991
23,bff42b680f794dd38ca8aaaae07cf9f5,2023/01/26 16:01:29+00,L0004,Prorail,bestaand,0,011,,11,011__,Assen - Haren,Mp-Gn,Meppel - Groningen ,,,238011.503,575883.254045,53.1632193,6.6283971,3.108,283,,3.108345,8.09383649331778
24,befceba25ccc4b1ce0531529a8c04556,2021/04/07 10:34:55+00,L0004,Prorail,bestaand,0,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,Hlg-Nscg,Harlingen - Nieuweschans Grens ,,,237102.705584,579094.7375,53.19221107,6.61563042,1632.322,283,gerealiseerd,1632.321962,1056.42749918156
25,befceba259024b1ce0531529a8c04556,2021/04/07 10:35:04+00,L0004,Prorail,bestaand,0,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,Hlg-Nscg,Harlingen - Nieuweschans Grens ,,,237288.428662,579036.5035,53.19165941,6.61839371,15.966,283,gerealiseerd,15.966032,33.8219521798158
26,e78a7ad80b87687de0530b29a8c0c22a,2022/09/05 10:49:31+00,L0004,Prorail,bestaand,0,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,,,163301.13804,506837.8305,52.54910554,5.50958784,1545.996,283,,1545.996298,896.945734428761
27,266a6f3cf0d24159bc5bff3120dc557c,2020/02/04 08:13:31+00,L0004,Prorail,bestaand,0,927,,927,927__,Watergraafsmeer,Wgm-Dmn,Watergraafsmeer - Diemen ,,,125676.592,484763.5845,52.34999631,4.95683172,20.319,283,gerealiseerd,20.319193,28.5982770734475
28,befceba259d94b1ce0531529a8c04556,2021/04/07 10:35:06+00,L0004,Prorail,bestaand,0,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,Hlg-Nscg,Harlingen - Nieuweschans Grens ,,,237258.067508,579078.473,53.19204112,6.61795028,1509.451,283,gerealiseerd,1509.4513835,924.271543081764
29,befceba258724b1ce0531529a8c04556,2021/04/07 10:35:09+00,L0004,Prorail,bestaand,0,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,Hlg-Nscg,Harlingen - Nieuweschans Grens ,,,236560.683673,579450.401,53.1954891,6.6076126,823.946,283,gerealiseerd,823.945901,351.850318769166
30,befceba257354b1ce0531529a8c04556,2021/04/07 10:35:15+00,L0004,Prorail,bestaand,0,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,Hlg-Nscg,Harlingen - Nieuweschans Grens ,,,237240.37058,579061.8625,53.19189461,6.61768131,1452.54,283,gerealiseerd,1452.5398125,882.670036741121
31,befceba259054b1ce0531529a8c04556,2021/04/07 10:35:17+00,L0004,Prorail,bestaand,0,552,b,552,552_b,Groningen Losplaats,Hlg-Nscg,Harlingen - Nieuweschans Grens ,,,236484.585557,579496.191,53.19591205,6.60648578,72.565,283,gerealiseerd,72.56479,40.2850150371294
32,befceba25b944b1ce0531529a8c04556,2021/04/07 10:35:21+00,L0004,Prorail,bestaand,0,552,b,552,552_b,Groningen Losplaats,Hlg-Nscg,Harlingen - Nieuweschans Grens ,,,236480.911698,579490.321,53.19585988,6.60642933,38.78,283,gerealiseerd,38.77992,35.9105203980058
33,8c72a26dfbd346309a4608931f7d4bec,2021/01/08 17:10:02+00,L0004,Prorail,bestaand,0,514,a,514,514_a,Nijmegen,Ah-Vl,Arnhem - Venlo ,,,187287.94827,427299.8515,51.83335855,5.85564063,942.396,283,gerealiseerd,942.396128,457.578359755376
34,befceba25a324b1ce0531529a8c04556,2021/04/07 10:35:13+00,L0004,Prorail,bestaand,0,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,Hlg-Nscg,Harlingen - Nieuweschans Grens ,,,237109.07483,579104.188,53.19229499,6.61572811,1565.731,283,gerealiseerd,1565.7306675,1056.03620896834
35,862a14a82f724b38ac12adf9df17fef1,2020/09/18 15:24:39+00,L0004,Prorail,bestaand,0,922,,922,922__,Leidschendam Lijnwerkplaats,Ldvn-Ldvwpl,Leidschenveen - Leidschendam werkplaats ,,,86433.664936,454271.264,52.07247484,4.38710279,6.504,283,gerealiseerd,6.503793,14.6232501113209
36,cc5c5bca38eb44bcbd1de80d853bb9b4,2023/01/24 12:52:10+00,L0004,Prorail,bestaand,0,084,,84,084__,Amsterdam Sloterdijk - Haarlem,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,,,111590.218149,488801.1585,52.38535022,4.74957835,92.383,283,gerealiseerd,92.382947,54.2904045132151
37,6722a22661c24051aeee493c74f71aea,2022/04/07 14:26:23+00,L0004,Prorail,bestaand,0,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,,,201833.384,501659.342575,52.5006221,6.07691394,1658.963,283,gerealiseerd,1658.96315,766.612011309373
38,d8d58cb0c84e10aae0530b29a8c01170,2022/03/07 11:00:17+00,L0004,Prorail,bestaand,0,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,,,203699.957781,501649.4235,52.5003699,6.10439925,967.757,283,gerealiseerd,967.7574775,656.602025180805
39,a4220488437248cbabb29156a9b2595c,2015/10/08 14:55:01+00,L0004,Prorail,bestaand,0,927,,927,927__,Watergraafsmeer,Wgm-Dmn,Watergraafsmeer - Diemen ,,,124832.105087,485314.5565,52.35490239,4.94438834,961.354,283,gerealiseerd,961.354321,688.758374715588
40,9a72e3d6c1c449cca43a4cf2d8fa0f00,2016/01/04 11:46:03+00,L0004,Prorail,bestaand,0,504,b,504,504_b,Heerlen,Std-Hz,Sittard - Herzogenrath (D) ,,,195809.750232,322710.8765,50.89272428,5.96720278,291.442,283,gerealiseerd,291.441658,618.022154265116
41,8ec27b77a29b43e9b2b6e1a2c53e76e5,2020/09/18 15:24:21+00,L0004,Prorail,bestaand,0,922,,922,922__,Leidschendam Lijnwerkplaats,Ldvn-Ldvwpl,Leidschenveen - Leidschendam werkplaats ,,,86369.111099,454303.3205,52.07275493,4.3861549,6.44,283,gerealiseerd,6.4399685,14.620475601351
42,a6009d2eef8676f5e05332a1e90a8c71,2023/01/24 08:04:21+00,L0004,Prorail,bestaand,0,084,,84,084__,Amsterdam Sloterdijk - Haarlem,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,,,111468.204692,488846.731,52.38575012,4.74778035,968.662,283,gerealiseerd,968.6621995,482.859924847768
43,ac33d6305a187c19e0530b29a8c0b512,2022/01/20 11:33:20+00,L0004,Prorail,bestaand,0,011,,11,011__,Assen - Haren,Mp-Gn,Meppel - Groningen ,,,238038.671,575770.668282,53.16220363,6.62877423,22.714,283,gerealiseerd,22.714269,37.8674585870584
44,ac33d6305b557c19e0530b29a8c0b512,2022/01/20 11:33:16+00,L0004,Prorail,bestaand,0,011,,11,011__,Assen - Haren,Mp-Gn,Meppel - Groningen ,,,238019.7625,575844.922164,53.16287365,6.6285107,26.883,283,gerealiseerd,26.883067,47.5726502021921
45,ac33d6305a897c19e0530b29a8c0b512,2022/01/20 11:33:21+00,L0004,Prorail,bestaand,0,011,,11,011__,Assen - Haren,Mp-Gn,Meppel - Groningen ,,,238027.191,575819.592919,53.16264495,6.62861522,25.041,283,gerealiseerd,25.0409465,42.4184155201555
