Rijlabels;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;Eindtotaal
Significant B.V.;;2;;;;2
Sociaal Economisch OndeRzoek Rotterdam B.V.;;4;;;;4
Sportimpuls.nl B.V.;;3;;;;3
Spring Advocaten;;1;;;;1
Sranang B.V.;;1;;1;;1
SRK Rechtsbijstand;;1;;1;;1
Start People Industriële Diensten B.V.;;2;3;;;3
Stg. Beh. Derdengeld. Adv.kant. Jap-A-Joe;;;;1;;1
Stg. Beh. Derdengeld. Boskamp&Willems Advoc.;;;;1;;1
Stg. Beheer Derdengelden De Koning Advocaten;;1;;1;;1
Stg. Beheer Derdengelden Everaert Advocaten;;1;;1;;1
Stg. Beheer Derdengelden Köster Advo. N.V.;;1;;1;;1
Stg. Derd.geld. v.d. Assum & Van Delft Adv.;;;;1;;1
Stg. Expert.centr. Ber.onderw. (Stg. ecbo);;1;;;;1
Stg. ProDemos - Huis voor dem. en rechtsstaat;;3;;;;3
Stg. Routerings (Int.)Nat. Informatiestromen;;2;;;;2
Stibbe B.V.;;1;;1;;1
Sticht. Beheer Derdengelden Wybenga advocaten;;;;1;;1
Stichting Achmea Rechtsbijstand;;;;1;;1
Stichting AOVVT;;2;;;;2
Stichting Beheer Derdengeld. Jumelet Verhagen;;1;;1;;1
Stichting Beheer Derdengelden Freshfields;;1;;1;;1
Stichting Bureau Kwaliteit Kinderopvang;;1;;;;1
Stichting Codename Future;;2;;;;2
Stichting Derdengelden Aratis Advocaten;;;;1;;1
Stichting Derdengelden Köse & Van Immerseel;;1;;1;;1
Stichting Derdengelden mr. J.P.C. ten Wolde;;1;;1;;1
Stichting Derdengelden Vallenduuk Advocaten;;1;;1;;1
Stichting FairWork;;3;;;;3
Stichting MOVISIE;;4;;;;4
Stichting Nederlands Migratie Instituut;;7;;;;7
Stichting SEO Economisch Onderzoek;;5;;;;5
Stichting Sociaal Consulent voor Chinezen;;1;;1;;1
Stichting Stimulansz;;2;;;;2
Studio A Mediamelange;;;2;;;2
Studio-OOK;;;1;;;1
Tappan Communicatie B.V.;;2;2;;;3
Tauw B.V.;;4;;;;4
The Oddshop B.V.;;;2;;;2
theFactor.e B.V.;;;1;;;1
thomas van daalen ontwerp;;;1;;;1
Thuis & Partners Advocaten;;1;;1;;1
Timac Management International B.V.;;1;;;;1
TMG Landelijke Media B.V.;;1;;;;1
TNO International Holding B.V.;;2;;;;2
TNS Nipo B.V.;;2;2;;;3
Tomlow Advocaten;;;;1;;1
Transformation Technologies B.V.;;2;;;;2
V.L. van Wieringen Advocaat;;1;;;;1
Valerie Kuypers Fotografie;;;1;;;1
Van Arkel Gerechtsdeurwaarders;;2;;;;2
Van de Bunt Management B.V.;;3;;;;3
van der Hel Advocaten;;1;;1;;1
Van der Woude De Graaf Advocaten;;;;1;;1
Van Seggelen & Partners Gerechtsdeurwaarders;;1;;;;1
Vandoornehuiskes en Partners B.V.;;2;;;;2
VCK Travel B.V.;;2;;;;2
Veldkamp Marktonderzoek B.V.;;1;3;;;3
Werkcentra;;1;;;;1
Wijn & Stael Holding B.V.;;1;;;;1
Work with Joy;;3;;;;3
YOUnite Coaching Training Consulting;;2;;;;2
Zasja;;2;;;;2
Eindtotaal;3;9;7;4;6;9
